rank,id,item
5,549,org.argouml.model.mdr.MetaTypesMDRImpl.getEnumeration()
263,1641,org.argouml.ui.explorer.ExplorerPopup.initMenuCreate()
2569,1671,org.argouml.kernel.Project.addSearchPath(String)
25,1884,org.argouml.cognitive.ui.ToDoByPoster.toDoItemsRemoved(ToDoListEvent)
2,1911,org.argouml.persistence.XmiFilePersister.hasAnIcon()
5,1942,org.argouml.uml.ui.model_management.ActionAddPackageImport.getChoices()
3179,2144,org.argouml.uml.ui.behavior.use_cases.ActionNewExtensionPoint.ActionNewExtensionPoint()
3474,2145,org.argouml.uml.ui.behavior.use_cases.ActionNewExtensionPoint.ActionNewExtensionPoint()
32,2225,"org.argouml.uml.diagram.DiagramFactory.createDiagram(Class,Object,Object)"
181,2460,org.argouml.uml.reveng.FileImportSupport.getConfigPanel()
10,2472,org.argouml.ui.SettingsDialog.SettingsDialog()
22,2500,org.argouml.uml.PredicateFind.matchDiagram(Diagram)
229,2522,"org.argouml.uml.ui.foundation.core.UMLDefaultValueExpressionModel.UMLDefaultValueExpressionModel(UMLUserInterfaceContainer,String)"
22,2618,org.argouml.uml.notation.uml.AssociationRoleNotationUml.AssociationRoleNotationUml(Object)
18,2712,org.argouml.uml.notation.uml.AssociationRoleNotationUml.AssociationRoleNotationUml(Object)
11939,2732,org.argouml.ui.StylePanelFig.parseBBox()
112,3100,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
17,3145,org.argouml.uml.diagram.ui.UMLDiagram.getSelectedAction()
324,3164,org.argouml.uml.ui.TabProps.createPropPanel(Object)
2,3197,org.argouml.uml.ui.behavior.activity_graphs.ActionNewEntryCallAction.ActionNewEntryCallAction()
772,3350,org.argouml.uml.diagram.ui.FigAssociation.paintClarifiers(Graphics)
374,3363,org.argouml.uml.notation.uml.ObjectFlowStateStateNotationUml.ObjectFlowStateStateNotationUml(Object)
39,3498,"org.argouml.ui.ProjectBrowser.TitleHandler.buildTitle(String,ArgoDiagram)"
57,3619,org.argouml.uml.diagram.ui.FigAssociation.layoutEdge()
12350,3631,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuEdit(int)
11194,3665,org.argouml.uml.diagram.state.StateDiagramGraphModel.canAddNode(Object)
441,3711,"org.argouml.persistence.XMIParser.readModels(Project,URL)"
12,3718,org.argouml.model.mdr.MDRModelImplementation.getProfileModel()
484,3773,org.argouml.ui.explorer.ExplorerTreeModel.itemStateChanged(ItemEvent)
11630,3774,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.canAddNode(Object)
444,3790,"org.argouml.ui.ProjectBrowser.trySave(boolean,File)"
7249,3803,org.argouml.uml.diagram.ui.FigNodeModelElement.keyReleased(KeyEvent)
110,3812,org.argouml.persistence.PGMLStackParser.PGMLStackParser(Map)
7394,3814,org.argouml.uml.ui.ActionCollaborationDiagram.createDiagram()
108,3848,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.canAddNode(Object)
1237,3882,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
74,3911,org.argouml.uml.ui.behavior.common_behavior.ActionRemoveArgument.ActionRemoveArgument()
47,3912,org.argouml.uml.ui.behavior.common_behavior.UMLActionArgumentListModel.UMLActionArgumentListModel()
300,3918,org.argouml.uml.ui.behavior.state_machines.PropPanelGuard.PropPanelGuard()
46,3921,"org.argouml.ui.ProjectBrowser.loadProject(File,boolean)"
360,3923,"org.argouml.persistence.XMIParser.registerDiagrams(Project,Collection,boolean)"
3,3938,org.argouml.ui.cmd.GenericArgoMenuBar.getViewToolbar()
713,3945,org.argouml.uml.ui.behavior.state_machines.UMLCallEventOperationComboBox2.actionPerformed(ActionEvent)
10908,3947,org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteAction(Object)
11996,3974,"org.argouml.uml.diagram.static_structure.ui.FigClass.updateListeners(Object,Object)"
88,4005,org.argouml.uml.ui.behavior.activity_graphs.PropPanelActivityGraph.getContextComboBoxModel()
