rank,id,item
237,549,org.argouml.model.mdr.MetaTypesMDRImpl.getEnumeration()
10,1641,org.argouml.ui.explorer.ExplorerPopup.initMenuCreate()
2887,1671,org.argouml.kernel.TestProject.testAddSearchPath()
25,1884,org.argouml.cognitive.ui.ToDoByPoster.toDoItemsRemoved(ToDoListEvent)
2718,1911,org.argouml.uml.ui.ActionOpenProject.actionPerformed(ActionEvent)
1,1942,"org.argouml.model.mdr.ModelManagementHelperMDRImpl.setImportedElements(Object,Collection)"
1629,2144,org.argouml.uml.ui.behavior.use_cases.PropPanelUseCase.PropPanelUseCase()
507,2145,org.argouml.ui.targetmanager.TargetManager.endTargetTransaction()
3,2225,org.argouml.uml.ui.ActionCollaborationDiagram.createDiagram()
4210,2460,org.argouml.uml.reveng.FileImportSupport.getConfigPanel()
1,2472,org.argouml.ui.SettingsDialog.SettingsDialog()
6,2500,org.argouml.uml.PredicateFind.matchDiagram(Diagram)
429,2522,org.argouml.uml.ui.foundation.core.PropPanelAttribute.PropPanelAttribute()
3,2618,org.argouml.uml.notation.AssociationRoleNotation.AssociationRoleNotation(Object)
1,2712,org.argouml.uml.notation.uml.AssociationRoleNotationUml.toString()
3065,2732,org.argouml.ui.StylePanelFig.parseBBox()
1113,3100,org.argouml.uml.ui.UMLListCellRenderer2.makeText(Object)
8,3145,org.argouml.uml.diagram.ui.UMLDiagram.setSelectedAction(Action)
9,3164,org.argouml.uml.diagram.state.ui.FigState.addListenersForTransition(Object)
6,3197,org.argouml.uml.ui.behavior.activity_graphs.ActionNewEntryCallAction.ActionNewEntryCallAction()
540,3350,org.argouml.uml.diagram.ui.FigAssociation.paintClarifiers(Graphics)
4,3363,org.argouml.uml.notation.ObjectFlowStateTypeNotation.ObjectFlowStateTypeNotation(Object)
426,3498,org.argouml.ui.GUITestProjectBrowser.testSetTitle()
516,3619,org.argouml.uml.diagram.ui.FigAssociation.layoutEdge()
2084,3631,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuEdit(int)
97,3665,org.argouml.uml.diagram.state.StateDiagramGraphModel.canAddNode(Object)
6707,3711,"org.argouml.persistence.XMIParser.readModels(Project,InputSource)"
1277,3718,org.argouml.kernel.Project.remove()
106,3773,org.argouml.ui.explorer.ExplorerTreeModel.itemStateChanged(ItemEvent)
5529,3774,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.canAddNode(Object)
4950,3790,"org.argouml.ui.ProjectBrowser.trySave(boolean,File)"
2497,3803,org.argouml.uml.diagram.ui.FigNodeModelElement.keyReleased(KeyEvent)
4589,3812,org.argouml.persistence.PGMLStackParser.PGMLStackParser(Map)
1391,3814,org.argouml.uml.ui.ActionCollaborationDiagram.createDiagram()
186,3848,"org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer.getFigNodeFor(GraphModel,Layer,Object,Map)"
2889,3882,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
1074,3911,org.argouml.uml.ui.behavior.common_behavior.ActionRemoveArgument.ActionRemoveArgument()
1176,3912,org.argouml.uml.ui.behavior.common_behavior.UMLActionArgumentListModel.UMLActionArgumentListModel()
