rank,id,item
50,549,org.argouml.uml.diagram.ui.FigEnumLiteralsCompartment
174,1641,org.argouml.ui.explorer.ExplorerPopup
101,1671,org.argouml.kernel.Project
3,1884,org.argouml.cognitive.ui.ToDoByOffender
4,1911,org.argouml.uml.ui.ActionOpenProject
126,1942,org.argouml.uml.ui.model_management.UMLClassifierPackageImportsListModel
137,2144,org.argouml.uml.ui.behavior.use_cases.PropPanelUseCase
212,2145,org.argouml.uml.ui.behavior.use_cases.PropPanelUseCase
15,2225,org.argouml.uml.diagram.state.ui.UMLStateDiagram
1688,2460,org.argouml.uml.reveng.FileImportSupport
6,2472,org.argouml.ui.SettingsDialog
13,2500,org.argouml.uml.PredicateFind
70,2522,org.argouml.uml.ui.foundation.core.UMLInitialValueExpressionModel
10,2618,org.argouml.uml.notation.AssociationRoleNotation
3,2712,org.argouml.uml.notation.AssociationRoleNotation
1707,2732,org.argouml.ui.StylePanelFig
207,3100,org.argouml.uml.ui.UMLListCellRenderer2
8,3145,org.argouml.uml.diagram.ui.UMLDiagram
1,3164,org.argouml.uml.ui.behavior.state_machines.AbstractPropPanelState
3,3197,org.argouml.uml.notation.CallStateNotation
249,3350,org.argouml.uml.diagram.state.ui.FigTransition
17,3363,org.argouml.uml.notation.uml.ObjectFlowStateStateNotationUml
28,3498,org.argouml.ui.ProjectBrowser.TitleHandler
622,3619,org.argouml.uml.diagram.ui.FigAssociation
1717,3631,org.argouml.ui.cmd.GenericArgoMenuBar
952,3665,org.argouml.uml.diagram.state.StateDiagramGraphModel
507,3711,org.argouml.persistence.XMIParser
10,3718,org.argouml.uml.ProfileJava
36,3773,org.argouml.ui.explorer.ExplorerTreeModel
1081,3774,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel
922,3790,org.argouml.ui.ProjectBrowser
289,3803,org.argouml.uml.diagram.ui.FigNodeModelElement
139,3812,org.argouml.persistence.PGMLStackParser
529,3814,org.argouml.uml.ui.ActionCollaborationDiagram
292,3848,org.argouml.uml.diagram.static_structure.ui.FigDataType
