rank,id,item
108,549,org.argouml.model.mdr.MetaTypesMDRImpl.getEnumeration()
10352,1641,"org.argouml.ui.explorer.ExplorerPopup.ExplorerPopup(Object,MouseEvent)"
999,1671,org.argouml.kernel.TestProject.testAddSearchPath()
18,1884,org.argouml.cognitive.ui.ToDoByPoster.toDoItemsRemoved(ToDoListEvent)
3,1911,org.argouml.uml.ui.ActionOpenProject.actionPerformed(ActionEvent)
117,1942,org.argouml.uml.ui.model_management.UMLClassifierPackageImportsListModel.propertyChange(PropertyChangeEvent)
3559,2144,org.argouml.uml.ui.behavior.use_cases.ActionNewExtensionPoint.ActionNewExtensionPoint()
3550,2145,org.argouml.uml.ui.behavior.use_cases.ActionNewExtensionPoint.ActionNewExtensionPoint()
7,2225,org.argouml.uml.ui.ActionCollaborationDiagram.createDiagram()
11681,2460,org.argouml.uml.reveng.FileImportSupport.getConfigPanel()
41,2472,org.argouml.ui.SettingsDialog.handleSave()
78,2500,org.argouml.uml.PredicateFind.matchDiagram(Diagram)
6,2522,org.argouml.uml.ui.foundation.core.PropPanelAttribute.PropPanelAttribute()
18,2618,org.argouml.uml.notation.AssociationRoleNotation.AssociationRoleNotation(Object)
16,2712,org.argouml.uml.notation.AssociationRoleNotation.AssociationRoleNotation(Object)
868,2732,org.argouml.ui.StylePanelFig.parseBBox()
2975,3100,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
94,3145,org.argouml.uml.diagram.ui.UMLDiagram.setSelectedAction(Action)
5,3164,"org.argouml.uml.ui.behavior.state_machines.AbstractPropPanelState.AbstractPropPanelState(String,ImageIcon,Orientation)"
12,3197,org.argouml.uml.notation.uml.CallStateNotationUml.CallStateNotationUml(Object)
7115,3350,org.argouml.uml.diagram.state.ui.FigTransition.paintClarifiers(Graphics)
8,3363,"org.argouml.uml.notation.uml.ObjectFlowStateTypeNotationUml.parseObjectFlowState1(Object,String)"
12,3498,org.argouml.ui.GUITestProjectBrowser.testSetTitle()
11797,3619,org.argouml.uml.diagram.ui.FigAssociation.layoutEdge()
12333,3631,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuEdit(int)
11069,3665,org.argouml.uml.diagram.state.StateDiagramGraphModel.canAddNode(Object)
1328,3711,"org.argouml.persistence.XMIParser.readModels(Project,InputSource)"
1449,3718,org.argouml.model.mdr.MDRModelImplementation.setProfileModel(RefObject)
449,3773,org.argouml.ui.explorer.ExplorerTreeModel.itemStateChanged(ItemEvent)
12094,3774,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.canAddNode(Object)
273,3790,"org.argouml.ui.ProjectBrowser.trySave(boolean,File)"
411,3803,org.argouml.uml.diagram.ui.FigNodeModelElement.keyTyped(KeyEvent)
2458,3812,org.argouml.persistence.PGMLStackParser.PGMLStackParser(Map)
7126,3814,org.argouml.uml.ui.ActionCollaborationDiagram.createDiagram()
151,3848,"org.argouml.uml.diagram.static_structure.ui.FigDataType.translate(int,int)"
11551,3882,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
108,3911,org.argouml.uml.ui.behavior.common_behavior.ActionRemoveArgument.ActionRemoveArgument()
1860,3912,org.argouml.uml.ui.behavior.common_behavior.UMLActionArgumentListModel.UMLActionArgumentListModel()
259,3918,org.argouml.uml.ui.behavior.state_machines.PropPanelGuard.PropPanelGuard()
12343,3921,"org.argouml.ui.ProjectBrowser.loadProject(File,boolean)"
489,3923,"org.argouml.persistence.XMIParser.registerDiagrams(Project,Collection,boolean)"
76,3938,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuFile(int)
534,3945,org.argouml.uml.ui.behavior.state_machines.UMLCallEventOperationComboBox2.actionPerformed(ActionEvent)
10546,3947,org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteAction(Object)
11886,3974,"org.argouml.uml.diagram.static_structure.ui.FigClass.updateListeners(Object,Object)"
102,4005,org.argouml.uml.ui.behavior.activity_graphs.PropPanelActivityGraph.getContextComboBoxModel()
327,4007,org.argouml.uml.diagram.ui.FigNodeModelElement.setDiElement(DiElement)
275,4019,org.argouml.ui.ProjectBrowser.getNewFile()
51,4031,org.argouml.uml.ui.foundation.extension_mechanisms.UMLStereotypeTagDefinitionListModel.UMLStereotypeTagDefinitionListModel()
86,4037,org.argouml.uml.diagram.ui.FigAssociation.chooseArrowHeads(Object)
8880,4043,org.argouml.uml.diagram.state.ui.FigState.renderingChanged()
841,4049,org.argouml.uml.ui.foundation.core.UMLAssociationConnectionListModel.addOtherModelEventListeners(Object)
15,4078,org.argouml.uml.ui.behavior.common_behavior.PropPanelCallAction.initialize()
1523,4085,"org.argouml.uml.ui.behavior.state_machines.PopupMenuNewEvent.PopupMenuNewEvent(String,UMLMutableLinkedList)"
243,4088,org.argouml.uml.ui.behavior.common_behavior.UMLReceptionSignalComboBoxModel.propertyChange(PropertyChangeEvent)
10644,4100,org.argouml.ui.explorer.NameOrder.getName(Object)
1,4101,"org.argouml.uml.ui.UMLComboBoxNavigator.UMLComboBoxNavigator(UMLUserInterfaceContainer,String,JComboBox)"
3420,4103,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
10008,4129,org.argouml.uml.diagram.activity.ui.FigActionState.modelChanged(PropertyChangeEvent)
1686,4130,org.argouml.ui.cmd.ActionNew.actionPerformed(ActionEvent)
3,4137,org.argouml.uml.ui.foundation.extension_mechanisms.UMLExtendedElementsListModel.UMLExtendedElementsListModel()
302,4148,org.argouml.uml.ui.foundation.core.UMLOperationSpecificationDocument.UMLOperationSpecificationDocument()
9685,4155,org.argouml.uml.ui.ActionSaveProject.actionPerformed(ActionEvent)
12193,4162,"org.argouml.ocl.CriticOclEvaluator.evalToString(Object,String)"
3,4173,org.argouml.uml.ui.TabTaggedValuesModel.TabTaggedValuesModel()
1148,4178,org.argouml.uml.ui.foundation.core.PropPanelComment.PropPanelComment()
6658,4180,org.argouml.uml.diagram.static_structure.ui.FigPackage.setLineWidth(int)
12349,4181,"org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer.getFigEdgeFor(GraphModel,Layer,Object,Map)"
1475,4194,org.argouml.uml.ui.TabProps.createPropPanel(Object)
5034,4200,org.argouml.ui.explorer.PerspectiveManager.loadRules()
198,4222,org.argouml.uml.ui.UMLComboBoxModel2.getName(Object)
8,4227,org.argouml.uml.diagram.ui.CompartmentFigText.setNotationProvider(NotationProvider4)
2790,4231,org.argouml.uml.diagram.activity.ui.UMLActivityDiagram.initialize(Object)
8253,4245,org.argouml.uml.diagram.ui.TabDiagram.setTarget(Object)
1003,4272,"org.argouml.uml.cognitive.checklist.UMLCheckItem.expand(String,Object)"
12139,4276,org.argouml.uml.ui.ActionDeleteModelElements.actionPerformed(ActionEvent)
5070,4279,org.argouml.uml.notation.java.AssociationEndNameNotationJava.AssociationEndNameNotationJava(Object)
16,4280,org.argouml.ui.ProjectBrowser.trySave(boolean)
352,4281,org.argouml.kernel.TestProject.testDeleteOperationWithStateDiagram()
24,4298,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuView(int)
302,4302,org.argouml.uml.diagram.sequence.ui.FigClassifierRole.modelChanged(PropertyChangeEvent)
37,4324,org.argouml.ui.ProjectBrowser.getNewFile()
189,4330,org.argouml.cognitive.ui.TabToDo.updateActionsEnabled(Object)
8258,4342,org.argouml.model.mdr.UmlFactoryMDRImpl.delete(Object)
1438,4349,"org.argouml.uml.diagram.activity.ui.FigCallState.updateListeners(Object,Object)"
20,4354,"org.argouml.uml.diagram.deployment.ui.DeploymentDiagramRenderer.setSourcePort(FigEdge,FigNode)"
6346,4362,"org.argouml.uml.diagram.collaboration.ui.CollabDiagramRenderer.setSourcePort(FigEdge,FigNode)"
1,4363,org.argouml.uml.diagram.state.ui.FigTransition.setOwner(Object)
2745,4364,org.argouml.uml.diagram.use_case.UseCaseDiagramGraphModel.canAddNode(Object)
6403,4367,org.argouml.uml.diagram.sequence.ui.SequenceDiagramLayer.updateNodeStates(FigMessagePort)
69,4372,"org.argouml.model.mdr.CoreHelperMDRImpl.removeAnnotatedElement(Object,Object)"
