rank,id,item
28,549,org.argouml.ui.targetmanager.ActionAddEnumerationLiteral.ActionAddEnumerationLiteral()
11,1641,org.argouml.ui.explorer.ExplorerPopup.initMenuCreate()
1363,1671,org.argouml.kernel.TestProject.testAddSearchPath()
9,1884,org.argouml.cognitive.ui.ToDoByPoster.toDoItemsRemoved(ToDoListEvent)
2216,1911,org.argouml.uml.ui.ActionOpenProject.actionPerformed(ActionEvent)
1938,1942,"org.argouml.model.mdr.ModelManagementHelperMDRImpl.setImportedElements(Object,Collection)"
1303,2144,org.argouml.uml.ui.behavior.use_cases.PropPanelUseCase.PropPanelUseCase()
1723,2145,org.argouml.uml.ui.behavior.use_cases.ActionNewExtensionPoint.actionPerformed(ActionEvent)
4,2225,org.argouml.uml.ui.ActionCollaborationDiagram.createDiagram()
3611,2460,org.argouml.uml.reveng.FileImportSupport.getConfigPanel()
3,2472,org.argouml.ui.SettingsDialog.handleOpen()
6,2500,"org.argouml.ui.TabResults.depthFirst(Object,Diagram)"
2100,2522,org.argouml.uml.ui.foundation.core.PropPanelAttribute.PropPanelAttribute()
3,2618,org.argouml.uml.notation.AssociationRoleNotation.AssociationRoleNotation(Object)
1,2712,org.argouml.uml.notation.uml.AssociationRoleNotationUml.toString()
3791,2732,org.argouml.ui.StylePanelFig.parseBBox()
1107,3100,org.argouml.uml.ui.UMLListCellRenderer2.makeText(Object)
6,3145,org.argouml.uml.diagram.ui.UMLDiagram.setSelectedAction(Action)
9,3164,org.argouml.uml.diagram.state.ui.FigState.addListenersForTransition(Object)
6,3197,org.argouml.uml.ui.behavior.activity_graphs.ActionNewEntryCallAction.ActionNewEntryCallAction()
555,3350,org.argouml.uml.diagram.ui.FigAssociation.paintClarifiers(Graphics)
5,3363,org.argouml.uml.notation.ObjectFlowStateTypeNotation.ObjectFlowStateTypeNotation(Object)
2748,3498,org.argouml.ui.GUITestProjectBrowser.testSetTitle()
1616,3619,org.argouml.uml.diagram.ui.FigAssociation.layoutEdge()
1287,3631,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuEdit(int)
114,3665,org.argouml.uml.diagram.state.StateDiagramGraphModel.canAddNode(Object)
7007,3711,"org.argouml.persistence.XMIParser.readModels(Project,InputSource)"
79,3718,org.argouml.uml.ProfileJava.loadProfile(String)
2760,3773,org.argouml.ui.explorer.ExplorerTreeModel.itemStateChanged(ItemEvent)
5144,3774,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.canAddNode(Object)
5185,3790,"org.argouml.ui.ProjectBrowser.trySave(boolean,File)"
425,3803,org.argouml.uml.diagram.ui.FigNodeModelElement.keyReleased(KeyEvent)
3179,3812,org.argouml.persistence.PGMLStackParser.PGMLStackParser(Map)
6956,3814,org.argouml.uml.ui.ActionCollaborationDiagram.createDiagram()
747,3848,"org.argouml.uml.diagram.static_structure.ui.FigDataType.FigDataType(GraphModel,Object)"
3135,3882,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
297,3911,org.argouml.uml.ui.behavior.common_behavior.ActionRemoveArgument.ActionRemoveArgument()
300,3912,org.argouml.uml.ui.behavior.common_behavior.UMLActionArgumentListModel.UMLActionArgumentListModel()
2798,3918,org.argouml.uml.ui.behavior.state_machines.PropPanelGuard.PropPanelGuard()
8,3921,"org.argouml.ui.ProjectBrowser.loadProject(File,boolean)"
948,3923,"org.argouml.persistence.XMIParser.registerDiagrams(Project,Collection,boolean)"
2,3938,org.argouml.ui.cmd.GenericArgoMenuBar.getViewToolbar()
724,3945,org.argouml.uml.ui.behavior.state_machines.UMLCallEventOperationComboBox2.actionPerformed(ActionEvent)
5150,3947,org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteSignal(Object)
3085,3974,"org.argouml.uml.diagram.static_structure.ui.FigClass.updateListeners(Object,Object)"
11,4005,org.argouml.uml.ui.behavior.activity_graphs.PropPanelActivityGraph.getContextComboBoxModel()
1941,4007,org.argouml.uml.diagram.ui.FigNodeModelElement.removeFromDiagram()
7,4019,"org.argouml.ui.ProjectBrowser.loadProject(File,boolean)"
60,4031,org.argouml.uml.reveng.java.Modeller.addStereotypes(Object)
39,4037,org.argouml.uml.diagram.ui.FigAssociation.renderingChanged()
4622,4043,org.argouml.uml.diagram.state.ui.FigState.renderingChanged()
549,4049,org.argouml.uml.ui.UMLModelElementListModel2.getChangedElement(PropertyChangeEvent)
6,4078,org.argouml.uml.ui.behavior.common_behavior.PropPanelCallAction.initialize()
965,4085,"org.argouml.uml.ui.behavior.state_machines.PopupMenuNewEvent.PopupMenuNewEvent(String,UMLMutableLinkedList)"
1988,4088,org.argouml.uml.ui.behavior.common_behavior.UMLReceptionSignalComboBoxModel.propertyChange(PropertyChangeEvent)
5090,4100,org.argouml.ui.explorer.NameOrder.getName(Object)
4,4101,"org.argouml.uml.ui.UMLComboBoxNavigator.UMLComboBoxNavigator(UMLUserInterfaceContainer,String,JComboBox)"
5330,4103,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
577,4129,org.argouml.uml.diagram.activity.ui.FigActionState.modelChanged(PropertyChangeEvent)
926,4130,org.argouml.model.mdr.ModelEventPumpMDRImpl.stopPumpingEvents()
1894,4137,org.argouml.uml.ui.foundation.extension_mechanisms.UMLExtendedElementsListModel.UMLExtendedElementsListModel()
2029,4148,org.argouml.uml.ui.foundation.core.UMLOperationSpecificationDocument.UMLOperationSpecificationDocument()
87,4155,org.argouml.uml.ui.ActionSaveProject.actionPerformed(ActionEvent)
7641,4162,"org.argouml.ocl.CriticOclEvaluator.evalToString(Object,String)"
1,4173,org.argouml.uml.ui.TabTaggedValuesModel.TabTaggedValuesModel(TabTaggedValues)
629,4178,org.argouml.uml.ui.foundation.core.PropPanelComment.PropPanelComment()
23,4180,org.argouml.uml.diagram.ui.FigStereotypesCompartment.populate()
511,4181,"org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer.getFigEdgeFor(GraphModel,Layer,Object,Map)"
35,4194,org.argouml.uml.ui.TabProps.createPropPanel(Object)
3227,4200,org.argouml.ui.explorer.PerspectiveManager.loadRules()
1412,4222,org.argouml.uml.ui.UMLComboBoxModel2.getName(Object)
37,4227,org.argouml.uml.diagram.ui.FigEdgeModelElement.notationChanged(ArgoNotationEvent)
329,4231,org.argouml.uml.diagram.activity.ui.UMLActivityDiagram.initialize(Object)
565,4245,org.argouml.uml.diagram.ui.TabDiagram.setTarget(Object)
5727,4272,"org.argouml.uml.cognitive.checklist.UMLCheckItem.expand(String,Object)"
3318,4276,org.argouml.uml.ui.ActionDeleteModelElements.actionPerformed(ActionEvent)
1965,4279,org.argouml.uml.notation.java.AssociationEndNameNotationJava.parse(String)
5,4280,"org.argouml.ui.ProjectBrowser.trySave(boolean,boolean)"
2668,4281,org.argouml.kernel.TestProject.testDeleteOperationWithStateDiagram()
12,4298,org.argouml.notation.ui.ActionNotation.menuSelected(MenuEvent)
1367,4302,org.argouml.uml.diagram.sequence.ui.FigClassifierRole.modelChanged(PropertyChangeEvent)
8,4324,"org.argouml.persistence.PersistenceManager.setSaveFileChooserFilters(JFileChooser,String)"
5207,4330,org.argouml.cognitive.ui.TabToDo.updateActionsEnabled(Object)
3570,4342,org.argouml.model.mdr.UmlFactoryMDRImpl.delete(Object)
211,4349,"org.argouml.uml.diagram.activity.ui.FigCallState.updateListeners(Object,Object)"
46,4354,"org.argouml.uml.diagram.deployment.ui.DeploymentDiagramRenderer.setSourcePort(FigEdge,FigNode)"
221,4362,"org.argouml.uml.diagram.collaboration.ui.CollabDiagramRenderer.getFigEdgeFor(GraphModel,Layer,Object,Map)"
2606,4363,org.argouml.uml.diagram.state.ui.FigTransition.setOwner(Object)
623,4364,org.argouml.uml.diagram.collaboration.CollabDiagramGraphModel.canAddNode(Object)
8461,4367,org.argouml.uml.diagram.sequence.ui.SequenceDiagramLayer.updateNodeStates(FigMessagePort)
2747,4372,"org.argouml.model.mdr.CoreHelperMDRImpl.removeAnnotatedElement(Object,Object)"
