rank,id,item
555,549,org.argouml.model.mdr.MetaTypesMDRImpl.getEnumeration()
31,1641,org.argouml.ui.explorer.ExplorerPopup.initMenuCreate()
349,1671,org.argouml.kernel.TestProject.testAddSearchPath()
92,1884,org.argouml.cognitive.ui.ToDoByPoster.toDoItemsRemoved(ToDoListEvent)
62,1911,org.argouml.uml.ui.ProjectFileView.getIcon(File)
19,1942,org.argouml.uml.ui.model_management.ActionAddPackageImport.getSelected()
2266,2144,org.argouml.uml.ui.behavior.use_cases.PropPanelUseCase.PropPanelUseCase()
1923,2145,org.argouml.uml.ui.behavior.use_cases.PropPanelUseCase.PropPanelUseCase()
14,2225,"org.argouml.uml.diagram.DiagramFactory.createDiagram(Class,Object,Object)"
124,2460,org.argouml.uml.reveng.FileImportSupport.getConfigPanel()
4,2472,org.argouml.ui.SettingsDialog.handleCancel()
92,2500,org.argouml.uml.PredicateFind.matchDiagram(Diagram)
23,2522,"org.argouml.uml.ui.foundation.core.UMLInitialValueExpressionModel.UMLInitialValueExpressionModel(UMLUserInterfaceContainer,String)"
7,2618,"org.argouml.uml.notation.uml.AssociationRoleNotationUml.parseRole(Object,String)"
8,2712,org.argouml.uml.notation.uml.AssociationRoleNotationUml.AssociationRoleNotationUml(Object)
765,2732,org.argouml.ui.StylePanelFig.parseBBox()
687,3100,org.argouml.uml.ui.UMLListCellRenderer2.makeText(Object)
18,3145,org.argouml.uml.diagram.ui.UMLDiagram.deselectAllTools()
19,3164,org.argouml.uml.ui.behavior.state_machines.PropPanelCompositeState.addExtraButtons()
1,3197,org.argouml.uml.ui.behavior.activity_graphs.ActionNewEntryCallAction.ActionNewEntryCallAction()
2816,3350,"org.argouml.uml.diagram.ui.FigEdgeModelElement.indicateBounds(FigText,Graphics)"
20,3363,org.argouml.uml.notation.ObjectFlowStateStateNotation.ObjectFlowStateStateNotation(Object)
8,3498,"org.argouml.ui.ProjectBrowser.TitleHandler.buildTitle(String,ArgoDiagram)"
453,3619,org.argouml.uml.diagram.ui.FigAssociation.layoutEdge()
609,3631,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuEdit(int)
147,3665,org.argouml.uml.diagram.state.StateDiagramGraphModel.canAddNode(Object)
709,3711,"org.argouml.persistence.XMIParser.readModels(Project,URL)"
46,3718,"org.argouml.model.mdr.XmiReaderImpl.parse(InputSource,boolean)"
20,3773,org.argouml.ui.explorer.ExplorerTreeModel.itemStateChanged(ItemEvent)
4838,3774,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.canAddNode(Object)
747,3790,"org.argouml.ui.ProjectBrowser.trySave(boolean,File)"
9541,3803,org.argouml.uml.diagram.ui.FigNodeModelElement.keyReleased(KeyEvent)
1214,3812,org.argouml.persistence.PGMLStackParser.PGMLStackParser(Map)
1098,3848,"org.argouml.uml.diagram.static_structure.ui.FigDataType.FigDataType(GraphModel,Object,String)"
769,3882,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
4,3911,org.argouml.uml.ui.behavior.common_behavior.ActionRemoveArgument.ActionRemoveArgument()
39,3912,org.argouml.uml.ui.behavior.common_behavior.UMLActionArgumentListModel.UMLActionArgumentListModel()
765,3918,org.argouml.uml.ui.behavior.state_machines.PropPanelGuard.PropPanelGuard()
57,3921,"org.argouml.ui.ProjectBrowser.loadProject(File,boolean)"
683,3923,"org.argouml.persistence.XMIParser.registerDiagrams(Project,Collection,boolean)"
3,3938,org.argouml.ui.cmd.GenericArgoMenuBar.makeButtonsTransparent(JToolBar)
24,3945,org.argouml.uml.ui.behavior.state_machines.UMLCallEventOperationComboBox2.actionPerformed(ActionEvent)
538,3947,org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteSignal(Object)
1630,4005,org.argouml.uml.ui.behavior.state_machines.PropPanelStateMachine.initialize()
195,4007,org.argouml.uml.diagram.ui.FigNodeModelElement.postLoad()
95,4019,org.argouml.ui.ProjectBrowser.getNewFile()
3,4031,org.argouml.uml.ui.foundation.extension_mechanisms.UMLStereotypeTagDefinitionListModel.UMLStereotypeTagDefinitionListModel()
4369,4037,org.argouml.uml.diagram.ui.FigAssociation.chooseArrowHeads(Object)
9397,4043,org.argouml.uml.diagram.state.ui.FigState.renderingChanged()
1063,4049,org.argouml.uml.ui.UMLModelElementListModel2.getChangedElement(PropertyChangeEvent)
768,4078,org.argouml.uml.ui.behavior.common_behavior.PropPanelCallAction.initialize()
1254,4085,"org.argouml.uml.ui.behavior.state_machines.PopupMenuNewEvent.PopupMenuNewEvent(String,UMLMutableLinkedList)"
228,4088,org.argouml.model.mdr.DataTypesHelperMDRImpl.multiplicityRangeToString(MultiplicityRange)
1776,4100,org.argouml.ui.explorer.NameOrder.getName(Object)
1,4101,"org.argouml.uml.ui.UMLComboBoxNavigator.UMLComboBoxNavigator(UMLUserInterfaceContainer,String,JComboBox)"
2303,4103,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
590,4129,org.argouml.uml.diagram.activity.ui.FigActionState.updateListeners(Object)
627,4130,org.argouml.ui.cmd.ActionNew.actionPerformed(ActionEvent)
2,4137,org.argouml.uml.ui.foundation.extension_mechanisms.UMLExtendedElementsListModel.UMLExtendedElementsListModel()
5,4148,org.argouml.uml.ui.foundation.core.UMLOperationSpecificationDocument.UMLOperationSpecificationDocument()
232,4155,org.argouml.uml.ui.ActionSaveProject.actionPerformed(ActionEvent)
184,4162,"org.argouml.ocl.CriticOclEvaluator.evalToString(Object,String)"
3,4173,org.argouml.uml.ui.TabTaggedValuesModel.TabTaggedValuesModel(TabTaggedValues)
838,4178,org.argouml.uml.ui.foundation.core.PropPanelComment.PropPanelComment()
359,4180,org.argouml.uml.diagram.static_structure.ui.FigPackage.setLineWidth(int)
284,4181,"org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer.getFigEdgeFor(GraphModel,Layer,Object,Map)"
28,4194,org.argouml.uml.ui.foundation.core.PropPanelTaggedValue.PropPanelTaggedValue()
1486,4200,org.argouml.ui.explorer.PerspectiveManager.loadRules()
487,4222,org.argouml.uml.ui.UMLComboBoxModel2.getName(Object)
41,4227,org.argouml.uml.diagram.ui.CompartmentFigText.setNotationProvider(NotationProvider4)
2853,4231,org.argouml.uml.diagram.activity.ui.UMLActivityDiagram.initialize(Object)
4063,4245,org.argouml.uml.diagram.ui.TabDiagram.setTarget(Object)
1125,4272,"org.argouml.uml.cognitive.checklist.UMLCheckItem.expand(String,Object)"
1991,4276,org.argouml.uml.ui.ActionDeleteModelElements.actionPerformed(ActionEvent)
2453,4279,org.argouml.uml.notation.java.InitNotationJava.init()
14,4280,org.argouml.ui.ProjectBrowser.trySave(boolean)
58,4281,org.argouml.kernel.TestProject.testDeleteOperationWithStateDiagram()
15,4298,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuFile(int)
1334,4302,org.argouml.uml.diagram.sequence.ui.FigClassifierRole.modelChanged(PropertyChangeEvent)
12,4324,org.argouml.persistence.TestPersistenceManager.testSetSaveFileChooserFilters()
659,4330,org.argouml.cognitive.ui.TabToDo.updateActionsEnabled(Object)
2081,4342,org.argouml.model.mdr.UmlFactoryMDRImpl.delete(Object)
274,4349,"org.argouml.uml.diagram.activity.ui.FigCallState.updateListeners(Object,Object)"
71,4354,"org.argouml.uml.diagram.deployment.ui.DeploymentDiagramRenderer.setDestPort(FigEdge,FigNode)"
7327,4362,"org.argouml.uml.diagram.collaboration.ui.CollabDiagramRenderer.setSourcePort(FigEdge,FigNode)"
1,4363,org.argouml.uml.diagram.state.ui.FigTransition.setOwner(Object)
1641,4364,org.argouml.uml.diagram.collaboration.CollabDiagramGraphModel.canAddNode(Object)
4914,4367,org.argouml.uml.diagram.sequence.ui.SequenceDiagramLayer.updateNodeStates(FigMessagePort)
15,4372,org.argouml.uml.diagram.static_structure.ui.FigEdgeNote.modelChanged(PropertyChangeEvent)
