rank,id,item
10,549,org.argouml.uml.diagram.static_structure.ui.FigStereotypeDeclaration.getPopUpActions(MouseEvent)
758,1641,org.argouml.ui.explorer.ExplorerPopup.initMenuCreate()
2696,1671,org.argouml.kernel.TestProject.testAddSearchPath()
1661,1884,org.argouml.cognitive.ui.ToDoByOffender.toDoItemsRemoved(ToDoListEvent)
1986,1911,org.argouml.uml.ui.ProjectFileView.ProjectFileView()
4,1942,"org.argouml.model.mdr.ModelManagementHelperMDRImpl.setImportedElements(Object,Collection)"
3457,2144,org.argouml.uml.ui.foundation.core.PropPanelClassifier.getOperationScroll()
3375,2145,org.argouml.uml.ui.behavior.use_cases.ActionNewExtensionPoint.ActionNewExtensionPoint()
56,2225,org.argouml.uml.ui.behavior.collaborations.PropPanelCollaboration.PropPanelCollaboration()
3631,2460,org.argouml.uml.reveng.FileImportSupport.getConfigPanel()
111,2472,org.argouml.ui.ActionSettings.ActionSettings()
11,2500,org.argouml.uml.PredicateFind.matchDiagram(Diagram)
1987,2522,org.argouml.uml.ui.foundation.core.PropPanelParameter.PropPanelParameter()
177,2618,org.argouml.uml.diagram.ui.FigAssociation.textEditStarted(FigText)
198,2712,org.argouml.uml.diagram.collaboration.ui.FigAssociationRole.initNotationProviders(Object)
2552,2732,org.argouml.ui.StylePanelFig.parseBBox()
100,3100,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
4042,3145,org.argouml.uml.diagram.ui.RadioAction.actionPerformed(java.awt.event.ActionEvent)
1,3164,org.argouml.uml.diagram.state.ui.FigState.updateListeners(Object)
886,3197,"org.argouml.uml.ui.behavior.activity_graphs.PropPanelCallState.PropPanelCallState(String,ImageIcon,Orientation)"
343,3350,org.argouml.uml.diagram.state.ui.FigTransition.paintClarifiers(Graphics)
9,3363,"org.argouml.uml.generator.ParserDisplay.parseObjectFlowState1(String,Object)"
1,3498,"org.argouml.ui.ProjectBrowser.TitleHandler.buildTitle(String,ArgoDiagram)"
1874,3619,org.argouml.uml.diagram.ui.FigAssociation.layoutEdge()
2840,3631,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuEdit(int)
7066,3665,org.argouml.uml.diagram.state.StateDiagramGraphModel.canAddNode(Object)
3836,3711,org.argouml.ui.SettingsTabPreferences.handleSettingsTabSave()
30,3718,org.argouml.kernel.Project.remove()
47,3773,org.argouml.ui.explorer.ExplorerTreeModel.itemStateChanged(ItemEvent)
4882,3774,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.canAddNode(Object)
529,3790,org.argouml.ui.ProjectBrowser.isFileReadonly(File)
3464,3803,org.argouml.uml.diagram.ui.FigNodeModelElement.keyReleased(KeyEvent)
1918,3812,org.argouml.persistence.PGMLStackParser.PGMLStackParser(Map)
1028,3848,org.argouml.uml.diagram.static_structure.ui.FigInterface.FigInterface()
96,3882,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
2633,3911,org.argouml.uml.ui.behavior.common_behavior.ActionRemoveArgument.ActionRemoveArgument()
3053,3912,org.argouml.uml.ui.behavior.common_behavior.ActionRemoveArgument.actionPerformed(ActionEvent)
54,3918,org.argouml.uml.ui.behavior.common_behavior.PropPanelArgument.PropPanelArgument()
270,3921,"org.argouml.ui.ProjectBrowser.loadProject(File,boolean)"
2124,3923,"org.argouml.persistence.XMIParser.registerDiagrams(Project,Collection,boolean)"
5397,3938,org.argouml.ui.cmd.GenericArgoMenuBar.makeButtonsTransparent(JToolBar)
1797,3945,org.argouml.uml.ui.behavior.state_machines.UMLCallEventOperationComboBox2.actionPerformed(ActionEvent)
5195,3947,org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteAction(Object)
23,4005,org.argouml.uml.ui.behavior.state_machines.UMLStateMachineContextComboBoxModel.propertyChange(PropertyChangeEvent)
526,4007,org.argouml.uml.diagram.ui.FigNodeModelElement.setEnclosingFig(Fig)
773,4019,"org.argouml.ui.ProjectBrowser.loadProject(File,boolean)"
2,4031,org.argouml.uml.ui.foundation.extension_mechanisms.PropPanelTaggedValue.getTypeSelector()
7023,4037,org.argouml.uml.diagram.ui.FigAssociation.renderingChanged()
3932,4043,org.argouml.uml.diagram.state.ui.FigState.renderingChanged()
3152,4049,org.argouml.uml.ui.UMLModelElementListModel2.getChangedElement(PropertyChangeEvent)
5945,4078,org.argouml.uml.ui.behavior.common_behavior.PropPanelCallAction.initialize()
6629,4085,"org.argouml.uml.ui.behavior.state_machines.PopupMenuNewEvent.PopupMenuNewEvent(String,UMLMutableLinkedList)"
216,4088,org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionTypeComboBoxModel.propertyChange(PropertyChangeEvent)
8193,4100,org.argouml.ui.explorer.NameOrder.getName(Object)
826,4101,org.argouml.uml.ui.UMLComboBoxNavigator.actionPerformed(java.awt.event.ActionEvent)
7283,4103,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
451,4129,org.argouml.uml.diagram.activity.ui.FigActionState.updateListeners(Object)
20,4130,org.argouml.model.mdr.ModelEventPumpMDRImpl.stopPumpingEvents()
2344,4137,org.argouml.uml.ui.foundation.extension_mechanisms.UMLExtendedElementsListModel.UMLExtendedElementsListModel()
1627,4148,org.argouml.uml.ui.foundation.core.PropPanelOperation.PropPanelOperation()
2065,4155,org.argouml.uml.ui.ActionSaveProject.actionPerformed(ActionEvent)
2437,4162,"org.argouml.ocl.CriticOclEvaluator.evalToString(Object,String)"
3034,4173,org.argouml.uml.ui.TabTaggedValuesModel.propertyChange(PropertyChangeEvent)
248,4178,org.argouml.uml.diagram.static_structure.ui.FigComment.modelChanged(PropertyChangeEvent)
2755,4180,org.argouml.uml.diagram.static_structure.ui.FigPackage.setLineWidth(int)
3455,4181,"org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer.getFigEdgeFor(GraphModel,Layer,Object,Map)"
674,4194,org.argouml.uml.ui.TabProps.createPropPanel(Object)
15,4200,org.argouml.ui.explorer.PerspectiveManager.getDefaultPerspectives()
1475,4222,org.argouml.uml.ui.UMLComboBoxModel2.getName(Object)
171,4227,org.argouml.uml.diagram.ui.FigNodeModelElement.notationChanged(ArgoNotationEvent)
805,4231,org.argouml.uml.diagram.activity.ui.UMLActivityDiagram.initialize(Object)
6199,4245,org.argouml.uml.diagram.ui.TabDiagram.setTarget(Object)
9997,4272,"org.argouml.uml.cognitive.checklist.UMLCheckItem.expand(String,Object)"
5444,4276,org.argouml.uml.ui.ActionDeleteModelElements.actionPerformed(ActionEvent)
4327,4279,org.argouml.uml.notation.java.AssociationEndNameNotationJava.parse(String)
132,4280,org.argouml.ui.ProjectBrowser.askConfirmationAndSave()
152,4281,org.argouml.kernel.TestProject.testDeleteOperationWithStateDiagram()
2954,4298,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuFile(int)
273,4302,org.argouml.uml.diagram.sequence.ui.FigClassifierRole.modelChanged(PropertyChangeEvent)
2273,4324,"org.argouml.persistence.PersistenceManager.setSaveFileChooserFilters(JFileChooser,String)"
1292,4330,org.argouml.cognitive.ui.TabToDo.updateActionsEnabled(Object)
6927,4342,org.argouml.model.mdr.UmlFactoryMDRImpl.delete(Object)
3718,4349,"org.argouml.uml.diagram.state.ui.FigSubmachineState.updateListeners(Object,Object)"
527,4354,"org.argouml.uml.diagram.deployment.ui.DeploymentDiagramRenderer.getFigEdgeFor(GraphModel,Layer,Object,Map)"
7769,4362,"org.argouml.uml.diagram.collaboration.ui.CollabDiagramRenderer.setSourcePort(FigEdge,FigNode)"
59,4363,org.argouml.uml.diagram.state.ui.FigTransition.setOwner(Object)
691,4364,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.canAddNode(Object)
