rank,id,item
39,1183,org.argouml.uml.notation.java.ModelElementNameNotationJava
84,1256,org.argouml.cognitive.critics.ui.CriticBrowserDialog
1,1360,org.argouml.ui.cmd.GenericArgoMenuBar
3,1395,org.argouml.uml.diagram.ui.FigAssociationEnd
66,1478,org.argouml.uml.cognitive.critics.CrUnconventionalClassName
281,1520,org.argouml.uml.diagram.ui.FigEdgeModelElement
30,1802,org.argouml.uml.diagram.static_structure.ui.FigLink
81,1851,org.argouml.uml.ui.UMLRadioButtonPanel
2,1911,org.argouml.ui.ActionImportXMI
127,2538,org.argouml.uml.reveng.Import
88,2568,org.argouml.ui.StylePanelFigNodeModelElement
258,3052,org.argouml.application.Main
65,3128,org.argouml.uml.ui.UMLListCellRenderer2
1427,3277,org.argouml.ui.cmd.GenericArgoMenuBar
294,3452,org.argouml.ui.TabText
1564,3831,org.argouml.uml.generator.GenerationPreferences
3,3970,org.argouml.ui.ProjectBrowser
6,4010,org.argouml.uml.diagram.state.ui.FigTransition
55,4022,org.argouml.uml.diagram.ui.FigAssociationClass
2,412,org.argouml.persistence.AbstractFilePersister.ProgressMgr
1,4199,org.argouml.ui.DisplayTextTree
26,4215,org.argouml.cognitive.critics.ui.CriticBrowserDialog
475,4277,org.argouml.cognitive.ui.TabToDo
22,4278,org.argouml.uml.cognitive.critics.CrNoAssociations
2,4287,org.argouml.i18n.Translator
98,4292,org.argouml.uml.ui.foundation.core.PropPanelParameter
61,4318,org.argouml.uml.ui.behavior.state_machines.PropPanelCallEvent
77,4329,org.argouml.model.mdr.ExtensionMechanismsFactoryMDRImpl
1,4356,org.argouml.cognitive.ui.WizStep
110,4373,org.argouml.cognitive.Designer
50,4382,org.argouml.uml.notation.uml.ObjectFlowStateTypeNotationUml
849,4408,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd
1,4432,org.argouml.ui.cmd.GenericArgoMenuBar
67,4435,org.argouml.uml.ui.behavior.state_machines.ActionAddEventAsDeferrableEvent
1568,4446,org.argouml.uml.diagram.state.ui.FigStateVertex
1076,4455,org.argouml.uml.diagram.ui.FigAssociation
662,4457,org.argouml.uml.DocumentationManager
85,4460,org.argouml.language.java.generator.GeneratorJava
89,4466,org.argouml.uml.diagram.ui.FigEdgeModelElement
1,4517,org.argouml.uml.ui.foundation.core.UMLAssociationEndChangeabilityRadioButtonPanel
3,4553,org.argouml.ui.ProjectBrowser
217,4562,org.argouml.uml.diagram.ui.FigEdgeModelElement
5,4563,org.argouml.model.mdr.CoreFactoryMDRImpl
97,4571,org.argouml.uml.cognitive.critics.CrUnconventionalPackName
526,4584,org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel
25,4600,org.argouml.ui.ProjectBrowser
3,4610,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd
2,4620,org.argouml.uml.ui.UMLExpressionModel2
409,4627,org.argouml.application.Main
255,4630,org.argouml.uml.ui.foundation.extension_mechanisms.UMLMetaClassComboBoxModel
2,603,org.argouml.ui.cmd.ActionAdjustGrid
1,77,org.argouml.ui.ArgoDialog
