rank,id,item
1295,1183,org.argouml.uml.notation.java.ModelElementNameNotationJava.getParsingHelp()
23,1256,org.argouml.cognitive.critics.ui.CriticBrowserDialog.CriticBrowserDialog()
1,1360,org.argouml.ui.cmd.CmdSetPreferredSize.CmdSetPreferredSize()
100,1395,org.argouml.uml.diagram.ui.FigAssociation.updateMultiplicity()
10067,1478,org.argouml.uml.cognitive.critics.TestCrUnconventionalClassName.testComputeSuggestion()
11832,1520,org.argouml.uml.diagram.ui.FigEdgeModelElement.modelChanged(PropertyChangeEvent)
7636,1802,org.argouml.uml.diagram.ui.FigEdgeModelElement.setOwner(Object)
346,1851,"org.argouml.uml.ui.UMLRadioButtonPanel.setButtons(Map,Action)"
24,1911,org.argouml.ui.ActionImportXMI.actionPerformed(ActionEvent)
1845,2538,org.argouml.uml.reveng.Import.getConfigPanel(Import)
9235,2568,org.argouml.ui.StylePanelFigNodeModelElement.refresh()
9137,3052,org.argouml.application.Main.main(String[])
398,3128,org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel.buildModelList()
198,3452,org.argouml.ui.TabText.setEditable(boolean)
6306,3831,org.argouml.uml.generator.GenerationPreferences.setOutputDir(String)
12549,3970,org.argouml.ui.ProjectBrowser.tryExit()
55,4010,org.argouml.uml.ui.behavior.state_machines.PropPanelTransition.PropPanelTransition()
5,4022,org.argouml.uml.diagram.ui.FigAssociationClass.getNameFig()
1,412,org.argouml.swingext.SaveSwingWorker.initProgressMonitorWindow()
401,4199,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
1126,4215,org.argouml.cognitive.critics.ui.CriticBrowserDialog.CriticBrowserDialog()
2158,4277,org.argouml.cognitive.ui.TabToDo.updateActionsEnabled(Object)
921,4278,"org.argouml.uml.cognitive.critics.CrNoAssociations.predicate2(Object,Designer)"
20,4287,org.argouml.i18n.Translator.getLocales()
2058,4292,org.argouml.uml.ui.PropPanel.TargettableButton.TargettableButton(Action)
1038,4318,org.argouml.model.mdr.ModelManagementHelperMDRImpl.getAllImportedElements(Object)
626,4329,"org.argouml.model.mdr.ExtensionMechanismsFactoryMDRImpl.buildTaggedValue(String,String)"
46,4356,org.argouml.cognitive.ui.WizStep.WizStep()
22,4373,org.argouml.cognitive.ui.TabToDo.updateActionsEnabled(Object)
12814,4382,"org.argouml.uml.notation.uml.ObjectFlowStateTypeNotationUml.parseObjectFlowState1(Object,String)"
12752,4408,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd.mouseReleased(MouseEvent)
19,4432,"org.argouml.ui.cmd.InitMenusLater.InitMenusLater(JMenu,JMenu,JMenu)"
5383,4435,org.argouml.uml.ui.behavior.state_machines.ActionAddEventAsDeferrableEvent.ActionAddEventAsDeferrableEvent()
269,4446,org.argouml.uml.diagram.state.ui.FigStateVertex.setEnclosingFig(Fig)
11040,4455,org.argouml.uml.diagram.ui.FigAssociation.setOwner(Object)
11897,4457,"org.argouml.uml.DocumentationManager.getDocs(Object,String,String,String,String)"
11506,4460,org.argouml.language.java.generator.GeneratorJava.getPackageName(Object)
184,4466,org.argouml.uml.diagram.ui.FigEdgeModelElement.makeEdgePort()
13,4517,org.argouml.uml.ui.foundation.core.UMLAssociationEndChangeabilityRadioButtonPanel.buildModel()
122,4553,org.argouml.ui.ProjectBrowser.saveScreenConfiguration()
243,4562,org.argouml.uml.diagram.ui.FigAssociationEnd.modelChanged(PropertyChangeEvent)
33,4563,"org.argouml.uml.reveng.java.Modeller.addClass(String,short,String,Vector,String,boolean)"
10728,4571,org.argouml.uml.cognitive.critics.CrUnconventionalPackName.computeSuggestion(String)
11692,4584,org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel.buildModelList()
1,4600,"org.argouml.ui.ProjectBrowser.trySave(boolean,File,ProgressMonitor)"
195,4610,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd.placeTempNode(MouseEvent)
23,4620,org.argouml.uml.ui.UMLExpressionModel2.getLanguage()
9490,4627,org.argouml.application.Main.main(String[])
1616,4630,org.argouml.uml.ui.foundation.extension_mechanisms.UMLMetaClassComboBoxModel.getSelectedModelElement()
4,603,org.argouml.ui.cmd.ActionAdjustGrid.createAdjustGridActions(boolean)
66,77,org.argouml.util.UIUtils.loadCommonKeyMap(JDialog)
