rank,id,item
148,1183,org.argouml.uml.notation.java.ModelElementNameNotationJava
37,1256,org.argouml.cognitive.critics.ui.CriticBrowserDialog
1,1360,org.argouml.ui.cmd.CmdSetPreferredSize
52,1395,org.argouml.uml.diagram.ui.FigAssociation
38,1478,org.argouml.uml.cognitive.critics.CrUnconventionalClassName
153,1520,org.argouml.uml.diagram.ui.FigEdgeModelElement
38,1802,org.argouml.uml.diagram.static_structure.ui.FigLink
67,1851,org.argouml.ui.SettingsTabShortcuts
2,1911,org.argouml.ui.ActionImportXMI
23,2538,org.argouml.uml.reveng.Import
96,2568,org.argouml.ui.StylePanelFigNodeModelElement
144,3052,org.argouml.application.Main
12,3128,org.argouml.uml.ui.UMLListCellRenderer2
76,3277,org.argouml.ui.cmd.GenericArgoMenuBar
48,3452,org.argouml.uml.ui.TabSrc
95,3831,org.argouml.uml.generator.GenerationPreferences
48,3970,org.argouml.ui.ProjectBrowser
7,4010,org.argouml.uml.ui.behavior.state_machines.PropPanelTransition
55,4022,org.argouml.uml.diagram.ui.FigAssociation
2,412,org.argouml.swingext.SaveSwingWorker
7,4199,org.argouml.ui.DisplayTextTree
29,4215,org.argouml.cognitive.critics.ui.CriticBrowserDialog
210,4277,org.argouml.cognitive.ui.TabToDo
147,4278,org.argouml.uml.cognitive.critics.CrNoAssociations
5,4287,org.argouml.ui.SettingsTabAppearance
19,4292,org.argouml.uml.ui.foundation.core.PropPanelParameter
3,4318,org.argouml.uml.ui.behavior.state_machines.PropPanelCallEvent
250,4329,org.argouml.model.mdr.ExtensionMechanismsHelperMDRImpl
2,4356,org.argouml.cognitive.ui.WizStep
47,4373,org.argouml.cognitive.Designer
5,4382,org.argouml.uml.notation.uml.ObjectFlowStateTypeNotationUml
375,4408,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd
10,4432,org.argouml.ui.cmd.InitMenusLater
56,4435,org.argouml.uml.ui.behavior.state_machines.ActionAddEventAsDeferrableEvent
453,4446,org.argouml.uml.diagram.state.ui.FigStateVertex
336,4455,org.argouml.uml.diagram.ui.FigAssociation
1373,4457,org.argouml.uml.DocumentationManager
65,4460,org.argouml.language.java.generator.GeneratorJava
124,4466,org.argouml.uml.diagram.ui.FigEdgeModelElement
5,4517,org.argouml.uml.ui.foundation.core.UMLAssociationEndChangeabilityRadioButtonPanel
1,4553,org.argouml.ui.ProjectBrowser
12,4562,org.argouml.uml.diagram.ui.FigEdgeModelElement
7,4563,org.argouml.uml.diagram.ui.FigStereotypesCompartment
5,4571,org.argouml.uml.cognitive.critics.CrUnconventionalPackName
59,4584,org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel
11,4600,org.argouml.ui.ProjectBrowser
26,4610,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd
4,4620,org.argouml.uml.ui.UMLExpressionModel2
536,4627,org.argouml.application.Main
18,4630,org.argouml.uml.ui.foundation.extension_mechanisms.UMLMetaClassComboBoxModel
1,603,org.argouml.ui.cmd.ActionAdjustGrid
1,77,org.argouml.ui.ArgoDialog
