rank,id,item
653,1183,org.argouml.uml.notation.java.ModelElementNameNotationJava.getParsingHelp()
13059,1256,org.argouml.cognitive.critics.ui.CriticBrowserDialog.CriticBrowserDialog()
50,1360,org.argouml.ui.cmd.CmdSetPreferredSize.CmdSetPreferredSize()
1030,1395,org.argouml.uml.notation.uml.NotationUtilityUml.generateMultiplicity(Object)
2067,1478,"org.argouml.uml.cognitive.critics.CrUnconventionalClassName.predicate2(Object,Designer)"
11872,1520,org.argouml.uml.diagram.ui.FigEdgeModelElement.modelChanged(PropertyChangeEvent)
857,1802,"org.argouml.uml.diagram.static_structure.ui.FigLink.updateListeners(Object,Object)"
6,1851,"org.argouml.uml.ui.UMLRadioButtonPanel.setButtons(Map,Action)"
5,1911,org.argouml.ui.ActionImportXMI.actionPerformed(ActionEvent)
2886,2538,org.argouml.uml.reveng.Import.Import()
9329,2568,org.argouml.ui.StylePanelFigNodeModelElement.refresh()
12931,3052,org.argouml.application.Main.main(String[])
4956,3128,org.argouml.uml.ui.UMLListCellRenderer2.UMLListCellRenderer2(boolean)
5258,3452,org.argouml.ui.TabText.setEditable(boolean)
267,3831,org.argouml.uml.generator.GenerationPreferences.GenerationPreferences()
12433,3970,org.argouml.ui.ProjectBrowser.tryExit()
76,4010,org.argouml.uml.diagram.activity.ui.UMLActivityDiagram.getActionGuard()
11,4022,org.argouml.uml.diagram.ui.FigAssociationClass.getNameFig()
141,412,org.argouml.swingext.LoadSwingWorker.initProgressMonitorWindow()
1345,4199,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
739,4215,org.argouml.cognitive.critics.ui.CriticBrowserDialog.CriticBrowserDialog()
1714,4277,org.argouml.cognitive.ui.TabToDo.updateActionsEnabled(Object)
12378,4278,"org.argouml.uml.cognitive.critics.CrNoAssociations.predicate2(Object,Designer)"
3,4287,org.argouml.i18n.Translator.loadDefaultLocale()
602,4292,"org.argouml.uml.ui.PropPanel.addAction(Action,String)"
5515,4318,org.argouml.model.mdr.ModelManagementHelperMDRImpl.getAllImportedElements(Object)
10720,4329,"org.argouml.model.mdr.ExtensionMechanismsHelperMDRImpl.setType(Object,Object)"
12774,4356,org.argouml.cognitive.ui.WizStep.WizStep()
2386,4373,org.argouml.cognitive.ui.TabToDo.TabToDo()
1555,4382,"org.argouml.uml.notation.uml.ObjectFlowStateTypeNotationUml.parseObjectFlowState1(Object,String)"
495,4408,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd.mouseReleased(MouseEvent)
129,4432,"org.argouml.ui.cmd.InitMenusLater.initMenus(JMenu,JMenu,JMenu)"
649,4435,org.argouml.uml.ui.behavior.state_machines.ActionAddEventAsDeferrableEvent.doIt(Vector)
12439,4446,org.argouml.uml.diagram.state.ui.FigStateVertex.setEnclosingFig(Fig)
10445,4455,org.argouml.uml.diagram.ui.FigAssociation.setOwner(Object)
2892,4457,"org.argouml.uml.DocumentationManager.getDocs(Object,String,String,String,String)"
11427,4460,org.argouml.language.java.generator.GeneratorJava.getPackageName(Object)
11116,4466,org.argouml.uml.diagram.ui.FigEdgeModelElement.makeEdgePort()
12,4517,org.argouml.uml.ui.foundation.core.UMLAssociationEndChangeabilityRadioButtonPanel.buildModel()
59,4553,org.argouml.ui.ProjectBrowser.restorePanelSizes()
2582,4562,org.argouml.uml.diagram.ui.FigEdgeModelElement.removeFromDiagramImpl()
81,4563,"org.argouml.model.mdr.CoreFactoryMDRImpl.buildRealization(Object,Object,Object)"
10773,4571,org.argouml.uml.cognitive.critics.CrUnconventionalPackName.computeSuggestion(String)
12623,4584,org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel.buildModelList()
24,4600,"org.argouml.ui.ProjectBrowser.trySave(boolean,File,ProgressMonitor)"
200,4610,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd.abort()
5550,4620,org.argouml.uml.ui.UMLExpressionModel2.getLanguage()
12933,4627,org.argouml.application.Main.main(String[])
1115,4630,org.argouml.uml.ui.foundation.extension_mechanisms.UMLMetaClassComboBoxModel.getSelectedModelElement()
1,603,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuView()
68,77,org.argouml.util.UIUtils.loadCommonKeyMap(JDialog)
