rank,id,item
150,1183,org.argouml.uml.notation.java.ModelElementNameNotationJava
25,1256,org.argouml.cognitive.critics.ui.CriticBrowserDialog
1,1360,org.argouml.ui.cmd.CmdSetPreferredSize
54,1395,org.argouml.uml.diagram.ui.FigAssociation
34,1478,org.argouml.uml.cognitive.critics.CrUnconventionalClassName
142,1520,org.argouml.uml.diagram.ui.FigEdgeModelElement
33,1802,org.argouml.uml.diagram.static_structure.ui.FigLink
19,1851,org.argouml.uml.ui.UMLRadioButtonPanel
2,1911,org.argouml.ui.ActionImportXMI
26,2538,org.argouml.uml.reveng.Import
198,2568,org.argouml.ui.StylePanelFigNodeModelElement
86,3052,org.argouml.application.Main
12,3128,org.argouml.uml.ui.UMLListCellRenderer2
54,3277,org.argouml.ui.cmd.GenericArgoMenuBar
47,3452,org.argouml.uml.ui.TabSrc
36,3831,org.argouml.uml.generator.GenerationPreferences
49,3970,org.argouml.ui.ProjectBrowser
8,4010,org.argouml.uml.ui.behavior.state_machines.ButtonActionNewGuard
59,4022,org.argouml.uml.diagram.ui.FigAssociation
8,412,org.argouml.persistence.ProjectFilePersister
9,4199,org.argouml.ui.DisplayTextTree
22,4215,org.argouml.cognitive.critics.ui.CriticBrowserDialog
226,4277,org.argouml.cognitive.ui.TabToDo
153,4278,org.argouml.uml.cognitive.critics.CrNoAssociations
1,4287,org.argouml.i18n.Translator
17,4292,org.argouml.uml.ui.foundation.core.PropPanelParameter
3,4318,org.argouml.uml.ui.behavior.state_machines.PropPanelCallEvent
262,4329,org.argouml.model.mdr.ExtensionMechanismsHelperMDRImpl
1,4356,org.argouml.cognitive.ui.WizStep
200,4373,org.argouml.cognitive.Designer
4,4382,org.argouml.uml.notation.uml.ObjectFlowStateTypeNotationUml
296,4408,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd
19,4432,org.argouml.ui.cmd.GenericArgoMenuBar
42,4435,org.argouml.uml.ui.behavior.state_machines.ActionAddEventAsDeferrableEvent
668,4446,org.argouml.uml.diagram.state.ui.FigStateVertex
309,4455,org.argouml.uml.diagram.ui.FigAssociation
1427,4457,org.argouml.uml.DocumentationManager
53,4460,org.argouml.language.java.generator.GeneratorJava
135,4466,org.argouml.uml.diagram.ui.FigEdgeModelElement
1,4517,org.argouml.uml.ui.foundation.core.UMLAssociationEndChangeabilityRadioButtonPanel
1,4553,org.argouml.ui.ProjectBrowser
9,4562,org.argouml.uml.diagram.ui.FigEdgeModelElement
5,4563,org.argouml.uml.diagram.ui.FigStereotypesCompartment
2,4571,org.argouml.uml.cognitive.critics.CrUnconventionalPackName
52,4584,org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel
3,4600,org.argouml.ui.ProjectBrowser
23,4610,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd
5,4620,org.argouml.uml.ui.UMLExpressionModel2
539,4627,org.argouml.application.Main
17,4630,org.argouml.uml.ui.foundation.extension_mechanisms.UMLMetaClassComboBoxModel
1,603,org.argouml.ui.cmd.ActionAdjustSnap
1,77,org.argouml.ui.ArgoDialog
