rank,id,item
6147,1183,org.argouml.uml.notation.java.ModelElementNameNotationJava.getParsingHelp()
4929,1256,org.argouml.cognitive.critics.ui.CriticBrowserDialog.CriticBrowserDialog()
1,1360,org.argouml.ui.cmd.CmdSetPreferredSize.CmdSetPreferredSize()
615,1395,org.argouml.notation.ui.SettingsTabNotation.handleSettingsTabRefresh()
6567,1478,"org.argouml.uml.cognitive.critics.CrUnconventionalClassName.predicate2(Object,Designer)"
6358,1520,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuArrange()
6298,1802,org.argouml.uml.diagram.static_structure.ui.FigLink.updateNameText()
225,1851,org.argouml.ui.SettingsTabShortcuts.getTabPanel()
4,1911,org.argouml.ui.ActionImportXMI.actionPerformed(ActionEvent)
5176,2538,org.argouml.uml.reveng.Import.getConfigPanel(Import)
6444,2568,org.argouml.ui.StylePanelFigNodeModelElement.StylePanelFigNodeModelElement()
199,3052,org.argouml.application.Main.main(String[])
5924,3128,org.argouml.uml.ui.UMLListCellRenderer2.getName(Object)
181,3452,org.argouml.ui.TabText.setEditable(boolean)
5777,3831,org.argouml.uml.generator.GenerationPreferences.GenerationPreferences()
2543,3970,org.argouml.ui.ProjectBrowser.tryExit()
603,4010,org.argouml.uml.diagram.state.ui.ButtonActionNewChangeEvent.getKeyName()
5617,4022,"org.argouml.uml.diagram.ui.FigEdgeModelElement.indicateBounds(FigText,Graphics)"
5,412,org.argouml.ui.ProjectBrowser.trySave(boolean)
9,4199,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
102,4215,org.argouml.cognitive.critics.ui.CriticBrowserDialog.CriticBrowserDialog()
1408,4277,org.argouml.cognitive.ui.TabToDo.updateActionsEnabled(Object)
8460,4278,"org.argouml.uml.cognitive.critics.CrNoAssociations.predicate2(Object,Designer)"
1,4287,org.argouml.i18n.Translator.loadDefaultLocale()
6659,4292,"org.argouml.uml.ui.PropPanel.addAction(Action,String)"
1744,4318,org.argouml.model.mdr.ModelManagementHelperMDRImpl.getAllImportedElements(Object)
171,4329,"org.argouml.model.mdr.ExtensionMechanismsFactoryMDRImpl.buildTaggedValue(String,String)"
3860,4356,org.argouml.cognitive.ui.WizStep.WizStep()
639,4373,org.argouml.cognitive.critics.Critic.Critic()
5102,4382,"org.argouml.uml.notation.uml.ObjectFlowStateTypeNotationUml.parseObjectFlowState1(Object,String)"
4798,4408,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd.mouseReleased(MouseEvent)
33,4432,"org.argouml.ui.cmd.InitMenusLater.initMenus(JMenu,JMenu,JMenu)"
5409,4435,org.argouml.uml.ui.behavior.state_machines.ActionAddEventAsDeferrableEvent.ActionAddEventAsDeferrableEvent()
8563,4446,org.argouml.uml.diagram.state.ui.FigStateVertex.setEnclosingFig(Fig)
9733,4455,org.argouml.uml.diagram.ui.FigAssociation.setOwner(Object)
10847,4457,"org.argouml.uml.DocumentationManager.getDocs(Object,String,String,String,String)"
1317,4460,org.argouml.language.java.generator.GeneratorJava.getPackageName(Object)
70,4466,org.argouml.uml.diagram.ui.FigEdgeModelElement.makeEdgePort()
6605,4517,org.argouml.uml.ui.foundation.core.UMLAssociationEndChangeabilityRadioButtonPanel.buildModel()
4,4553,org.argouml.ui.ProjectBrowser.restorePanelSizes()
2073,4562,org.argouml.uml.diagram.ui.FigAssociationEnd.modelChanged(PropertyChangeEvent)
9,4563,org.argouml.model.mdr.CoreHelperMDRImpl.getRealizedInterfaces(Object)
6177,4571,"org.argouml.uml.cognitive.critics.CrUnconventionalPackName.predicate2(Object,Designer)"
7747,4584,org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel.buildModelList()
7,4600,"org.argouml.ui.ProjectBrowser.reportError(ProgressMonitor,String,boolean,Throwable)"
6326,4610,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd.keyTyped(KeyEvent)
6567,4620,org.argouml.uml.ui.UMLExpressionModel2.getLanguage()
1869,4627,org.argouml.application.Main.main(String[])
5583,4630,org.argouml.uml.ui.foundation.extension_mechanisms.UMLMetaClassComboBoxModel.getSelectedModelElement()
1,603,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuView()
20,77,org.argouml.ui.cmd.ActionShowXMLDump.init(JDialog)
