rank,id,item
146,1183,org.argouml.uml.notation.java.ModelElementNameNotationJava
32,1256,org.argouml.cognitive.critics.ui.CriticBrowserDialog
1,1360,org.argouml.ui.cmd.CmdSetPreferredSize
36,1395,org.argouml.uml.diagram.ui.FigAssociation
43,1478,org.argouml.uml.cognitive.critics.CrUnconventionalClassName
132,1520,org.argouml.uml.diagram.ui.FigEdgeModelElement
139,1802,org.argouml.uml.diagram.ui.FigEdgeModelElement
11,1851,org.argouml.uml.reveng.Import
6,1911,org.argouml.ui.ActionImportXMI
375,2538,org.argouml.uml.reveng.Import
1446,2568,org.argouml.ui.StylePanelFigNodeModelElement
61,3052,org.argouml.application.Main
68,3128,org.argouml.uml.ui.UMLListCellRenderer2
139,3277,org.argouml.ui.cmd.GenericArgoMenuBar
28,3452,org.argouml.uml.ui.TabSrc
906,3831,org.argouml.uml.generator.GenerationPreferences
42,3970,org.argouml.ui.ProjectBrowser
9,4010,org.argouml.uml.diagram.state.ui.ButtonActionNewTimeEvent
36,4022,org.argouml.uml.diagram.ui.FigAssociationClass
1,412,org.argouml.application.Main
3,4199,org.argouml.ui.DisplayTextTree
1,4215,org.argouml.cognitive.critics.ui.CriticBrowserDialog
135,4277,org.argouml.cognitive.ui.TabToDo
40,4278,org.argouml.uml.cognitive.critics.CrNoAssociations
1,4287,org.argouml.i18n.Translator
75,4292,org.argouml.uml.ui.ActionNavigateUpNextDown
312,4318,org.argouml.uml.ui.behavior.state_machines.PropPanelCallEvent
368,4329,org.argouml.model.mdr.ExtensionMechanismsFactoryMDRImpl
1,4356,org.argouml.cognitive.ui.WizStep
245,4373,org.argouml.cognitive.ui.TabToDo
44,4382,org.argouml.uml.notation.uml.ObjectFlowStateTypeNotationUml
171,4408,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd
19,4432,org.argouml.ui.cmd.InitMenusLater
33,4435,org.argouml.uml.ui.behavior.state_machines.ActionAddEventAsDeferrableEvent
246,4446,org.argouml.uml.diagram.state.ui.FigStateVertex
490,4455,org.argouml.uml.diagram.ui.FigAssociation
529,4457,org.argouml.uml.DocumentationManager
423,4460,org.argouml.language.java.generator.GeneratorJava
413,4466,org.argouml.uml.diagram.ui.FigEdgeModelElement
4,4517,org.argouml.uml.ui.foundation.core.UMLAssociationEndChangeabilityRadioButtonPanel
1,4553,org.argouml.ui.ProjectBrowser
171,4562,org.argouml.uml.diagram.ui.FigEdgeModelElement
42,4563,org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer
106,4571,org.argouml.uml.cognitive.critics.CrUnconventionalPackName
664,4584,org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel
26,4600,org.argouml.swingext.ProgressMonitorWindow
386,4610,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd
263,4620,org.argouml.uml.ui.UMLExpressionModel2
267,4627,org.argouml.application.Main
371,4630,org.argouml.uml.ui.foundation.extension_mechanisms.UMLMetaClassComboBoxModel
2,603,org.argouml.ui.cmd.ActionAdjustGrid
2,77,org.argouml.ui.ArgoDialog
