rank,id,item
224,1183,org.argouml.uml.notation.java.ModelElementNameNotationJava.getParsingHelp()
821,1256,org.argouml.cognitive.critics.ui.CriticBrowserDialog.CriticBrowserDialog()
1,1360,org.argouml.ui.cmd.CmdSetPreferredSize.CmdSetPreferredSize()
1649,1395,org.argouml.uml.notation.uml.NotationUtilityUml.generateMultiplicity(Object)
2797,1478,"org.argouml.uml.cognitive.critics.CrUnconventionalClassName.predicate2(Object,Designer)"
35,1520,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuArrange()
1726,1802,"org.argouml.uml.diagram.static_structure.ui.FigLink.updateListeners(Object,Object)"
365,1851,"org.argouml.uml.ui.UMLRadioButtonPanel.UMLRadioButtonPanel(String,Map,String,Action,boolean)"
5,1911,org.argouml.ui.ActionImportXMI.actionPerformed(ActionEvent)
92,2538,org.argouml.uml.reveng.Import.Import()
3283,2568,org.argouml.ui.StylePanelFigNodeModelElement.refresh()
4066,3052,org.argouml.application.Main.main(String[])
12,3128,org.argouml.uml.ui.UMLListCellRenderer2.UMLListCellRenderer2(boolean)
138,3277,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuView(int)
6624,3452,org.argouml.ui.TabText.setEditable(boolean)
56,3831,org.argouml.uml.generator.GenerationPreferences.setOutputDir(String)
182,3970,org.argouml.ui.ProjectBrowser.tryExit()
8,4010,org.argouml.uml.ui.behavior.state_machines.ButtonActionNewGuard.getKeyName()
1390,4022,org.argouml.uml.diagram.ui.FigAssociationClass.getNameFig()
10,412,org.argouml.persistence.TestXmiFilePersister.testLoadProject()
583,4199,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
2,4215,org.argouml.cognitive.critics.ui.CriticBrowserDialog.CriticBrowserDialog()
2089,4277,org.argouml.cognitive.ui.TabToDo.updateActionsEnabled(Object)
331,4278,"org.argouml.uml.cognitive.critics.CrNoAssociations.predicate2(Object,Designer)"
1,4287,org.argouml.i18n.Translator.loadDefaultLocale()
2425,4292,org.argouml.uml.ui.PropPanel.TargettableButton.TargettableButton(Action)
5919,4318,org.argouml.model.mdr.ModelManagementHelperMDRImpl.getAllImportedElements(Object)
12063,4329,"org.argouml.model.mdr.ExtensionMechanismsHelperMDRImpl.setType(Object,Object)"
10,4356,org.argouml.cognitive.ui.WizStep.WizStep()
854,4373,org.argouml.cognitive.ui.TabToDo.updateActionsEnabled(Object)
195,4382,"org.argouml.uml.notation.uml.ObjectFlowStateTypeNotationUml.parseObjectFlowState1(Object,String)"
2010,4408,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd.endAttached()
2,4432,"org.argouml.ui.cmd.InitMenusLater.initMenus(JMenu,JMenu,JMenu)"
176,4435,org.argouml.uml.ui.behavior.state_machines.ActionAddEventAsDeferrableEvent.ActionAddEventAsDeferrableEvent()
12309,4446,org.argouml.uml.diagram.state.ui.FigStateVertex.setEnclosingFig(Fig)
8966,4455,org.argouml.uml.diagram.ui.FigAssociation.setOwner(Object)
11911,4457,"org.argouml.uml.DocumentationManager.getDocs(Object,String,String,String,String)"
2784,4460,org.argouml.language.java.generator.GeneratorJava.getPackageName(Object)
215,4466,org.argouml.uml.diagram.ui.FigEdgeModelElement.makeEdgePort()
128,4517,org.argouml.uml.ui.foundation.core.UMLAssociationEndChangeabilityRadioButtonPanel.buildModel()
10,4553,org.argouml.ui.ProjectBrowser.restorePanelSizes()
651,4562,org.argouml.uml.diagram.ui.FigEdgeModelElement.removeFromDiagramImpl()
1,4563,org.argouml.model.mdr.CoreHelperMDRImpl.getRealizedInterfaces(Object)
11556,4571,org.argouml.uml.cognitive.critics.CrUnconventionalPackName.computeSuggestion(String)
9314,4584,org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel.buildModelList()
2,4600,"org.argouml.ui.ProjectBrowser.trySave(boolean,File,ProgressMonitor)"
1731,4610,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd.placeTempNode(MouseEvent)
825,4620,org.argouml.uml.ui.UMLExpressionModel2.getLanguage()
4313,4627,org.argouml.application.Main.main(String[])
1379,4630,org.argouml.uml.ui.foundation.extension_mechanisms.UMLMetaClassComboBoxModel.getSelectedModelElement()
2,603,org.argouml.ui.cmd.ActionAdjustGrid.createAdjustGridActions(boolean)
54,77,org.argouml.ui.cmd.ActionShowXMLDump.init(JDialog)
