rank,id,item
1570,1183,org.argouml.uml.notation.java.ModelElementNameNotationJava
466,1256,org.argouml.cognitive.critics.ui.CriticBrowserDialog
1,1360,org.argouml.ui.cmd.CmdSetPreferredSize
128,1395,org.argouml.uml.diagram.ui.FigAssociation
151,1478,org.argouml.uml.cognitive.critics.CrUnconventionalClassName
13,1520,org.argouml.ui.cmd.GenericArgoMenuBar
128,1802,org.argouml.uml.diagram.static_structure.ui.FigLink
2,1851,org.argouml.ui.SettingsTabShortcuts
17,1911,org.argouml.ui.ActionImportXMI
115,2538,org.argouml.uml.reveng.Import
390,2568,org.argouml.ui.StylePanelFigNodeModelElement
351,3052,org.argouml.application.Main
47,3128,org.argouml.uml.ui.UMLListCellRenderer2
55,3277,org.argouml.ui.cmd.GenericArgoMenuBar
72,3452,org.argouml.ui.TabText
106,3831,org.argouml.uml.generator.GenerationPreferences
49,3970,org.argouml.ui.ProjectBrowser
19,4010,org.argouml.swingext.ToolBarUtility.PopupActionsListener
147,4022,org.argouml.uml.diagram.ui.FigEdgeModelElement
2,412,org.argouml.swingext.SaveSwingWorker
76,4199,org.argouml.ui.DisplayTextTree
101,4215,org.argouml.cognitive.critics.ui.CriticBrowserDialog
369,4277,org.argouml.cognitive.ui.TabToDo
1763,4278,org.argouml.uml.cognitive.critics.CrNoAssociations
9,4287,org.argouml.ui.SettingsTabAppearance
1,4292,org.argouml.uml.ui.ActionNavigateUpNextDown
291,4318,org.argouml.uml.ui.behavior.state_machines.PropPanelCallEvent
907,4329,org.argouml.model.mdr.ExtensionMechanismsHelperMDRImpl
32,4356,org.argouml.cognitive.ui.WizStep
515,4373,org.argouml.cognitive.Designer
103,4382,org.argouml.uml.notation.uml.ObjectFlowStateTypeNotationUml
1796,4408,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd
7,4432,org.argouml.ui.cmd.GenericArgoMenuBar
1006,4435,org.argouml.uml.ui.behavior.state_machines.ActionAddEventAsDeferrableEvent
1196,4446,org.argouml.uml.diagram.state.ui.FigStateVertex
582,4455,org.argouml.uml.diagram.ui.FigAssociation
1650,4457,org.argouml.uml.DocumentationManager
475,4460,org.argouml.language.java.generator.GeneratorJava
74,4466,org.argouml.uml.diagram.ui.FigEdgeModelElement
723,4517,org.argouml.uml.ui.foundation.core.UMLAssociationEndChangeabilityRadioButtonPanel
301,4553,org.argouml.ui.ProjectBrowser
179,4562,org.argouml.uml.diagram.ui.FigEdgeModelElement
506,4563,org.argouml.uml.reveng.java.Modeller
2,4571,org.argouml.uml.cognitive.critics.CrUnconventionalPackName
540,4584,org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel
569,4600,org.argouml.swingext.ProgressMonitorWindow
120,4610,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd
243,4620,org.argouml.uml.ui.UMLExpressionModel2
182,4627,org.argouml.application.Main
244,4630,org.argouml.uml.ui.foundation.extension_mechanisms.UMLMetaClassComboBoxModel
195,603,org.argouml.ui.cmd.GenericArgoMenuBar
1,77,org.argouml.ui.ArgoDialog
