rank,id,item
3120,1183,org.argouml.uml.notation.java.ModelElementNameNotationJava.getParsingHelp()
3311,1256,org.argouml.cognitive.critics.ui.CriticBrowserDialog.CriticBrowserDialog()
1,1360,org.argouml.ui.cmd.CmdSetPreferredSize.CmdSetPreferredSize()
1081,1395,org.argouml.notation.ui.SettingsTabNotation.handleSettingsTabRefresh()
2965,1478,org.argouml.uml.cognitive.critics.CrUnconventionalClassName.computeSuggestion(String)
1731,1520,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuArrange()
1491,1802,org.argouml.uml.diagram.static_structure.ui.FigLink.updateNameText()
73,1851,"org.argouml.cognitive.ui.WizStepChoice.WizStepChoice(Wizard,String,Vector)"
3103,1911,org.argouml.ui.ActionImportXMI.actionPerformed(ActionEvent)
154,2538,org.argouml.uml.reveng.Import.getConfigPanel(Import)
3863,2568,org.argouml.ui.StylePanelFigNodeModelElement.itemStateChanged(ItemEvent)
4126,3052,org.argouml.application.Main.main(String[])
29,3128,org.argouml.uml.ui.UMLListCellRenderer2.getName(Object)
339,3277,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuView(int)
5508,3452,org.argouml.ui.TabText.setEditable(boolean)
212,3831,org.argouml.uml.generator.GenerationPreferences.GenerationPreferences()
1295,3970,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuFile(int)
54,4010,"org.argouml.swingext.ToolBarUtility.manageDefault(Object[],String)"
68,4022,"org.argouml.uml.diagram.ui.FigEdgeModelElement.indicateBounds(FigText,Graphics)"
3,412,org.argouml.ui.ProjectBrowser.trySave(boolean)
3420,4199,"org.argouml.ui.DisplayTextTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)"
3153,4215,org.argouml.cognitive.critics.ui.CriticBrowserDialog.CriticBrowserDialog()
4351,4277,org.argouml.cognitive.ui.TabToDo.updateActionsEnabled(Object)
11312,4278,"org.argouml.uml.cognitive.critics.CrNoAssociations.predicate2(Object,Designer)"
152,4287,org.argouml.i18n.Translator.loadDefaultLocale()
6554,4292,org.argouml.uml.ui.ActionNavigateUpPreviousDown.navigateTo(Object)
8141,4318,org.argouml.model.mdr.ModelManagementHelperMDRImpl.getAllImportedElements(Object)
518,4329,"org.argouml.model.mdr.ExtensionMechanismsFactoryMDRImpl.buildTaggedValue(String,String)"
3,4356,org.argouml.cognitive.ui.WizStep.WizStep()
4721,4373,org.argouml.cognitive.ui.TabToDo.updateActionsEnabled(Object)
1997,4382,"org.argouml.uml.notation.uml.ObjectFlowStateTypeNotationUml.parseObjectFlowState1(Object,String)"
1744,4408,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd.endAttached()
2203,4432,org.argouml.ui.cmd.GenericArgoMenuBar.initMenuArrange()
6033,4435,org.argouml.uml.ui.behavior.state_machines.ActionAddEventAsDeferrableEvent.ActionAddEventAsDeferrableEvent()
7526,4446,org.argouml.uml.diagram.state.ui.FigStateVertex.setEnclosingFig(Fig)
311,4455,org.argouml.uml.diagram.ui.FigAssociation.setOwner(Object)
2436,4457,"org.argouml.uml.DocumentationManager.getDocs(Object,String,String,String,String)"
5412,4460,org.argouml.language.java.generator.GeneratorJava.getPackageName(Object)
1286,4466,org.argouml.uml.diagram.ui.FigEdgeModelElement.makeEdgePort()
4214,4517,org.argouml.uml.ui.foundation.core.UMLAssociationEndChangeabilityRadioButtonPanel.buildModel()
4009,4553,org.argouml.ui.ProjectBrowser.restorePanelSizes()
69,4562,org.argouml.uml.diagram.ui.FigAssociationEnd.paintClarifiers(Graphics)
72,4563,"org.argouml.model.mdr.CoreHelperMDRImpl.internalGetAllRealizedInterfaces(Object,Collection,Set)"
3,4571,org.argouml.uml.cognitive.critics.CrUnconventionalPackName.computeSuggestion(String)
10682,4584,org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel.buildModelList()
476,4600,"org.argouml.ui.ProjectBrowser.reportError(ProgressMonitor,String,boolean,Throwable)"
2396,4610,org.argouml.uml.diagram.ui.ModeCreateAssociationEnd.placeTempNode(MouseEvent)
9627,4620,org.argouml.uml.ui.UMLExpressionModel2.getLanguage()
4506,4627,org.argouml.application.Main.main(String[])
4631,4630,org.argouml.uml.ui.foundation.extension_mechanisms.UMLMetaClassComboBoxModel.getSelectedModelElement()
94,603,org.argouml.ui.cmd.ActionAdjustSnap.setGroup(ButtonGroup)
13,77,org.argouml.ui.cmd.ActionShowXMLDump.init(JDialog)
