rank,id,item
4,1009,org.argouml.ui.explorer.ExplorerPopup
51,1288,org.argouml.kernel.ProjectSettings
141,1308,org.argouml.ui.cmd.GenericArgoMenuBar
125,1597,org.argouml.uml.diagram.use_case.ui.FigUseCase
180,1853,org.argouml.uml.diagram.static_structure.ui.SelectionClass
247,1860,org.argouml.uml.ui.UMLComboBoxModel2
2,1925,org.argouml.ui.TestDetailsPane
308,2148,org.argouml.model.mdr.CoreHelperMDRImpl
1,2421,org.argouml.ui.ZoomSliderButton
262,2454,org.argouml.uml.diagram.ui.ArgoFigText
1,2462,org.argouml.ui.ZoomSliderButton
21,2501,org.argouml.ui.FindDialog
141,3110,org.argouml.uml.diagram.activity.ui.UMLActivityDiagram
56,3208,org.argouml.kernel.ProjectImpl
9,3422,org.argouml.uml.diagram.static_structure.ui.FigClassifierBox
21,3494,org.argouml.uml.diagram.sequence.ui.SequenceDiagramRenderer
1,3524,org.argouml.ui.explorer.DnDExplorerTree
2,3535,org.argouml.uml.ui.SaveGraphicsManager
332,3719,org.argouml.uml.diagram.sequence.ui.ModeExpand
62,3766,org.argouml.configuration.ConfigurationProperties
30,3819,org.argouml.uml.ui.ActionDeploymentDiagram
130,3930,org.argouml.uml.diagram.ui.ActionAddExistingNodes
152,3963,org.argouml.uml.ui.behavior.common_behavior.PropPanelReception
101,4252,org.argouml.uml.ui.UMLDerivedCheckBox
334,4258,org.argouml.ui.explorer.NameOrder
284,4327,org.argouml.ui.ProjectBrowser
266,4374,org.argouml.uml.ui.TabTaggedValuesModel
86,4394,org.argouml.uml.ui.TabProps
82,440,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel
41,4401,org.argouml.uml.diagram.ui.FigOperationsCompartment
126,4430,org.argouml.uml.ui.UMLExpressionBodyField
4,4569,org.argouml.model.mdr.ActivityGraphsHelperMDRImpl
14,4570,org.argouml.uml.ui.behavior.activity_graphs.PropPanelObjectFlowState.UMLObjectFlowStateParameterListModel
121,4615,org.argouml.uml.reveng.java.JavaImport
62,4629,org.argouml.uml.diagram.ui.StylePanelFigAssociationClass
90,4632,org.argouml.uml.diagram.UMLMutableGraphSupport
13,4638,org.argouml.ui.MyLocale
49,4647,org.argouml.moduleloader.SettingsTabModules
902,4648,org.argouml.uml.diagram.static_structure.ui.FigOperation
287,4651,org.argouml.uml.diagram.static_structure.ui.SelectionException
350,4654,org.argouml.uml.diagram.ui.FigEditableCompartment
99,4675,org.argouml.uml.reveng.java.ParseStateException
330,4677,org.argouml.model.mdr.CoreHelperMDRImpl
2202,4679,org.argouml.uml.ui.foundation.core.PropPanelInterface
186,4685,org.argouml.uml.diagram.ui.UMLDiagram
16,4690,org.argouml.persistence.XmiFilePersister
