rank,id,item
36,1009,org.argouml.ui.explorer.ExplorerPopup.initMenuCreateModelElements()
1,1288,org.argouml.kernel.ProjectSettings.getFontName()
97,1308,org.argouml.ui.cmd.GenericArgoMenuBar.getEditToolbar()
14091,1597,org.argouml.uml.diagram.use_case.ui.FigUseCase.FigUseCase()
3999,1853,org.argouml.uml.diagram.static_structure.ui.SelectionClass.getIcons()
1972,1860,org.argouml.uml.diagram.ui.ActionSetDiagramHomeModel.ActionSetDiagramHomeModel()
41,1925,"org.argouml.ui.DetailsPane.setTarget(Object,boolean)"
14545,2148,"org.argouml.model.mdr.CoreHelperMDRImpl.isValidNamespace(Object,Object)"
1,2421,org.argouml.ui.ZoomSliderButton.ZoomSliderButton()
867,2454,"org.argouml.uml.diagram.ui.ArgoFigText.ArgoFigText(int,int,int,int)"
6,2462,org.argouml.ui.cmd.ZoomActionProxy.actionPerformed(ActionEvent)
35,2501,org.argouml.ui.FindDialog.FindDialog()
731,3110,org.argouml.uml.ui.behavior.activity_graphs.UMLPartitionContentListModel.UMLPartitionContentListModel(String)
60,3208,org.argouml.kernel.ProjectImpl.setSavedDiagramName(String)
5,3422,org.argouml.uml.diagram.static_structure.ui.FigClassifierBox.buildShowPopUp()
133,3494,"org.argouml.uml.diagram.collaboration.ui.CollabDiagramRenderer.getFigNodeFor(GraphModel,Layer,Object,Map)"
23,3524,org.argouml.ui.explorer.DnDExplorerTree.ArgoDropTargetListener.drop(DropTargetDropEvent)
13,3535,org.argouml.uml.ui.SaveGraphicsManager.setDefaultFilterBySuffix(String)
1195,3719,org.argouml.uml.diagram.sequence.ui.ModeExpand.instructions()
1219,3766,org.argouml.configuration.ConfigurationProperties.getOldDefaultPath()
535,3819,org.argouml.uml.diagram.deployment.ui.UMLDeploymentDiagram.setNamespace(Object)
563,3930,"org.argouml.uml.diagram.ui.ActionAddExistingNodes.addNodes(Collection,Point,ArgoDiagram)"
49,3963,org.argouml.uml.ui.behavior.common_behavior.PropPanelReception.PropPanelReception()
