rank,id,item
222,1009,org.argouml.model.mdr.UmlFactoryMDRImpl
71,1288,org.argouml.ui.ArgoJFontChooser
569,1308,org.argouml.ui.TabText
427,1597,org.argouml.uml.diagram.use_case.ui.FigUseCase
2,1853,org.argouml.uml.diagram.static_structure.ui.SelectionClass
138,1860,org.argouml.uml.diagram.ui.UMLDiagramHomeModelComboBoxModel
72,1925,org.argouml.ui.DetailsPane
2123,2148,org.argouml.model.mdr.CoreHelperMDRImpl
1,2421,org.argouml.ui.ZoomSliderButton
1078,2454,org.argouml.uml.diagram.ui.ArgoFigText
1,2462,org.argouml.ui.ZoomSliderButton
2260,2501,org.argouml.ui.FindDialog
148,3110,org.argouml.model.AbstractActivityGraphsHelperDecorator
1251,3208,org.argouml.persistence.ArgoTokenTable
42,3422,org.argouml.uml.diagram.static_structure.ui.FigClassifierBox
1,3494,org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer
5,3524,org.argouml.ui.explorer.DnDExplorerTree.ArgoDropTargetListener
1,3535,org.argouml.uml.ui.SaveGraphicsManager
421,3719,org.argouml.uml.diagram.sequence.ui.UMLSequenceDiagram
9,3766,org.argouml.configuration.ConfigurationProperties
47,3819,org.argouml.uml.ui.ActionDeploymentDiagram
135,3930,org.argouml.uml.diagram.ui.ActionAddExistingNodes
23,3963,org.argouml.uml.ui.behavior.common_behavior.PropPanelReception
62,4252,org.argouml.uml.ui.UMLDerivedCheckBox
338,4258,org.argouml.ui.explorer.NameOrder
1765,4327,org.argouml.kernel.ProjectSettings
297,4374,org.argouml.uml.ui.TabTaggedValuesModel
18,4394,org.argouml.uml.ui.model_management.PropPanelElementImport
1,440,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel
9,4401,org.argouml.uml.diagram.ui.FigOperationsCompartment
2,4430,org.argouml.uml.ui.foundation.core.PropPanelAttribute
1,4569,org.argouml.model.AbstractActivityGraphsHelperDecorator
1,4570,org.argouml.model.AbstractActivityGraphsHelperDecorator
23,4615,org.argouml.uml.reveng.java.JavaImport
21,4629,org.argouml.uml.diagram.ui.FigAssociationClass
16,4632,org.argouml.ui.explorer.ExplorerPopup
45,4638,org.argouml.ui.SettingsTabAppearance
136,4647,org.argouml.moduleloader.SettingsTabModules
49,4648,org.argouml.uml.diagram.static_structure.ui.FigOperation
732,4651,org.argouml.uml.diagram.static_structure.ui.FigException
780,4654,org.argouml.uml.diagram.static_structure.ui.FigClassifierBox
327,4675,org.argouml.uml.reveng.java.JavaParseException
749,4677,org.argouml.model.mdr.ModelManagementHelperMDRImpl
1777,4679,org.argouml.uml.ui.foundation.core.PropPanelInterface
237,4685,org.argouml.uml.diagram.ui.UMLDiagram
13,4690,org.argouml.persistence.XmiFilePersister
2163,4697,org.argouml.uml.reveng.java.Modeller
596,4734,org.argouml.model.mdr.CoreHelperMDRImpl
1,4735,org.argouml.uml.ui.model_management.PropPanelElementImport
14,4745,org.argouml.uml.ui.TabTaggedValuesModel
435,4749,org.argouml.uml.diagram.static_structure.ui.FigSignal
95,4752,org.argouml.application.Main
546,4760,org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionComboBoxModel
719,4764,org.argouml.uml.diagram.static_structure.ui.SelectionClass
1,4774,org.argouml.uml.ui.UMLModelElementOrderedListModel2
2,4777,org.argouml.persistence.UmlFilePersister.XmlFilterOutputStream
75,4780,org.argouml.uml.ui.foundation.core.UMLEnumerationLiteralsListModel
12,4784,org.argouml.uml.ui.foundation.core.ActionSetParameterDirectionKind
54,4792,org.argouml.uml.reveng.java.JavaImport
1,4802,org.argouml.ui.ProjectBrowser
354,4808,org.argouml.model.mdr.CoreFactoryMDRImpl
166,4812,org.argouml.uml.diagram.static_structure.ui.SelectionStereotype
590,4817,org.argouml.model.mdr.CoreHelperMDRImpl
333,4824,org.argouml.uml.ui.TabSrc.DefaultPredicate
189,4830,org.argouml.uml.ui.TabProps
10,4832,org.argouml.uml.diagram.ui.ActionSetPath
196,4862,org.argouml.uml.ui.TabStyle
897,4869,org.argouml.model.mdr.ModelManagementHelperMDRImpl
2266,4876,org.argouml.ui.cmd.GenericArgoMenuBar
30,4882,org.argouml.uml.ui.TabSrc
3,4889,org.argouml.application.Main
122,4890,org.argouml.uml.ui.foundation.core.UMLGeneralizableElementAbstractCheckBox
986,4894,org.argouml.uml.ui.PropPanel
56,4897,org.argouml.ui.ActionProjectSettings
345,4903,org.argouml.uml.diagram.deployment.ui.AbstractFigComponent
165,4905,org.argouml.uml.ui.behavior.state_machines.PropPanelPseudostate
1,4906,org.argouml.notation.providers.uml.OperationNotationUml
743,4911,org.argouml.uml.diagram.ui.FigNodeModelElement
549,4912,org.argouml.uml.diagram.ui.FigNodeModelElement
138,4916,org.argouml.ui.SettingsDialog
67,4917,org.argouml.ui.SettingsDialog
2,4923,org.argouml.model.mdr.MDRModelImplementation
1,4928,org.argouml.uml.diagram.ui.FigStereotypesCompartment
2269,4935,org.argouml.ui.ProjectBrowser
10,4936,org.argouml.uml.ui.foundation.extension_mechanisms.ActionSetTagDefinitionType
1512,4937,org.argouml.uml.ui.UMLMultiplicityPanel.MultiplicityComboBox
459,4939,org.argouml.uml.diagram.ui.FigStereotypesCompartment
191,4947,org.argouml.uml.diagram.state.ui.FigFinalState
1,4949,org.argouml.application.Main
27,4951,org.argouml.ui.StylePanelFigText
9,4953,org.argouml.model.mdr.ExtensionMechanismsFactoryMDRImpl
1992,4955,org.argouml.gefext.ArgoFigLine
5,4956,org.argouml.gefext.ArgoFigSpline
2083,4958,org.argouml.configuration.ConfigurationProperties
1,4969,org.argouml.kernel.ProjectSettings
31,4980,org.argouml.uml.diagram.sequence.ui.UMLSequenceDiagram
