rank,id,item
1930,1009,"org.argouml.ui.explorer.ExplorerPopup.ExplorerPopup(Object,MouseEvent)"
1,1288,org.argouml.kernel.ProjectSettings.setFontSize(int)
7,1308,org.argouml.ui.ProjectBrowser.assemblePanels()
4406,1597,org.argouml.uml.diagram.use_case.ui.FigUseCase.FigUseCase()
1928,1853,org.argouml.uml.diagram.static_structure.ui.SelectionClass.getIcons()
35,1860,org.argouml.uml.diagram.ui.ActionSetDiagramHomeModel.ActionSetDiagramHomeModel()
80,1925,"org.argouml.ui.DetailsPane.setTarget(Object,boolean)"
4003,2148,"org.argouml.model.mdr.CoreHelperMDRImpl.isValidNamespace(Object,Object)"
354,2421,org.argouml.ui.ZoomSliderButton.ZoomSliderButton()
1281,2454,"org.argouml.uml.diagram.ui.ArgoFigText.ArgoFigText(int,int,int,int)"
14,2462,org.argouml.ui.ZoomSliderButton.createPopupComponent()
16438,2501,org.argouml.ui.FindDialog.FindDialog()
139,3110,org.argouml.uml.ui.behavior.activity_graphs.PropPanelPartition.getActivityGraphField()
22,3208,org.argouml.kernel.ProjectImpl.getInitialTarget()
163,3422,org.argouml.uml.diagram.ui.ActionSetPath.actionPerformed(ActionEvent)
38,3494,"org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer.getFigEdgeFor(GraphModel,Layer,Object,Map)"
215,3524,org.argouml.ui.explorer.DnDExplorerTree.ArgoDropTargetListener.drop(DropTargetDropEvent)
573,3535,org.argouml.uml.ui.SaveGraphicsManager.getSettingsList()
598,3719,org.argouml.uml.diagram.sequence.ui.ModeExpand.mouseReleased(MouseEvent)
7,3766,org.argouml.configuration.ConfigurationProperties.loadFile(File)
589,3819,org.argouml.uml.diagram.deployment.ui.UMLDeploymentDiagram.isRelocationAllowed(Object)
195,3930,org.argouml.uml.diagram.ui.AddExistingNodeCommand.execute()
3240,3963,org.argouml.uml.ui.behavior.common_behavior.PropPanelReception.PropPanelReception()
56,4252,org.argouml.uml.ui.UMLDerivedCheckBox.UMLDerivedCheckBox()
490,4258,org.argouml.ui.explorer.NameOrder.getName(Object)
91,4327,org.argouml.kernel.ProjectSettings.init()
738,4374,org.argouml.uml.ui.TabTaggedValuesModel.removeRow(int)
158,4394,org.argouml.uml.ui.model_management.ElementImportImportedElementListModel.ElementImportImportedElementListModel()
41,440,"org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer.getFigNodeFor(GraphModel,Layer,Object,Map)"
1591,4401,org.argouml.uml.ui.foundation.core.UMLClassOperationListModel.isValidElement(Object)
83,4430,"org.argouml.uml.ui.UMLExpressionBodyField.UMLExpressionBodyField(UMLExpressionModel2,boolean)"
1,4569,"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.setSynch(Object,boolean)"
1,4570,"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.setParameters(Object,Collection)"
391,4615,org.argouml.uml.reveng.Import.doFile()
4,4629,org.argouml.uml.diagram.ui.FigAssociationClass.getFillColor()
