rank,id,item
2425,1009,org.argouml.ui.explorer.ExplorerPopup
446,1288,org.argouml.uml.diagram.ui.FigNameWithAbstract
2043,1308,org.argouml.uml.ui.TabConstraints
2438,1597,org.argouml.uml.diagram.use_case.ui.FigUseCase
1615,1853,org.argouml.uml.diagram.static_structure.ui.SelectionClass
502,1860,org.argouml.uml.diagram.ui.ActionSetDiagramHomeModel
2064,1925,org.argouml.ui.TestDetailsPane
2474,2148,org.argouml.model.mdr.CoreHelperMDRImpl
310,2421,org.argouml.ui.ZoomSliderButton.MyPopupMenuListener
1998,2454,org.argouml.uml.diagram.ui.ArgoFigText
934,2462,org.argouml.ui.cmd.ZoomActionProxy
2440,2501,org.argouml.ui.FindDialog
483,3110,org.argouml.uml.ui.behavior.activity_graphs.UMLPartitionContentListModel
2361,3208,org.argouml.persistence.ArgoParser
1731,3422,org.argouml.uml.diagram.ui.ActionSetPath
1629,3494,org.argouml.uml.diagram.activity.ui.ActivityDiagramRenderer
1924,3524,org.argouml.model.mdr.CopyHelper
986,3535,org.argouml.uml.ui.SaveScaledEPSAction
1646,3719,org.argouml.uml.diagram.sequence.ui.ModeExpand
2227,3766,org.argouml.configuration.ConfigurationProperties
1646,3819,org.argouml.uml.ui.ActionDeploymentDiagram
1642,3930,org.argouml.uml.diagram.ui.ActionAddExistingNodes
1577,3963,org.argouml.uml.ui.behavior.common_behavior.PropPanelReception
326,4252,org.argouml.uml.ui.UMLDerivedCheckBox
1847,4258,org.argouml.ui.explorer.NameOrder
2448,4327,org.argouml.kernel.ProjectSettings
1675,4374,org.argouml.uml.ui.TabTaggedValuesModel
418,4394,org.argouml.uml.ui.model_management.ElementImportPackageListModel
2315,440,org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer
1092,4401,org.argouml.uml.diagram.ui.FigOperationsCompartment
1653,4430,org.argouml.uml.ui.foundation.core.PropPanelAttribute
481,4569,org.argouml.uml.ui.behavior.activity_graphs.UMLActionSynchCheckBox
486,4570,org.argouml.uml.ui.behavior.activity_graphs.PropPanelObjectFlowState.ActionNewOFSParameter
1657,4615,org.argouml.uml.reveng.ui.ProblemsDialog
1851,4629,org.argouml.uml.diagram.ui.StylePanelFigAssociationClass
2388,4632,org.argouml.uml.diagram.UMLMutableGraphSupport
1960,4638,org.argouml.ui.MyLocale
105,4647,org.argouml.moduleloader.SettingsTabModules
1251,4648,org.argouml.uml.diagram.static_structure.ui.FigOperation
375,4651,org.argouml.uml.diagram.static_structure.ui.FigException
97,4654,org.argouml.uml.diagram.static_structure.ui.FigClassifierBox
1675,4675,org.argouml.uml.reveng.TestJavaImportEnumeration
2449,4677,org.argouml.model.mdr.ModelManagementHelperMDRImpl
1239,4679,org.argouml.uml.ui.foundation.core.PropPanelInterface
2265,4685,org.argouml.uml.diagram.use_case.ui.UMLUseCaseDiagram
2243,4690,org.argouml.persistence.XmiFilePersister
2471,4697,org.argouml.uml.reveng.java.Modeller
2474,4734,org.argouml.model.mdr.CoreHelperMDRImpl
860,4735,org.argouml.uml.ui.behavior.collaborations.PropPanelAssociationEndRole
7,4745,org.argouml.uml.ui.TabTaggedValuesModel
361,4749,org.argouml.uml.diagram.static_structure.ui.FigException
2396,4752,org.argouml.application.Main
1864,4760,org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionComboBoxModel
1246,4764,org.argouml.uml.diagram.deployment.ui.SelectionNode
952,4774,org.argouml.uml.ui.MoveToBottomAction
971,4777,org.argouml.model.mdr.TestReadCompressedFilesAndHref
1759,4780,org.argouml.uml.ui.foundation.core.UMLEnumerationLiteralsListModel
1714,4784,org.argouml.uml.ui.foundation.core.ActionSetParameterDirectionKind
2313,4792,org.argouml.uml.reveng.java.JavaImport
2402,4802,org.argouml.application.Main
2470,4808,org.argouml.model.mdr.CoreFactoryMDRImpl
1533,4812,org.argouml.uml.diagram.static_structure.ui.SelectionStereotype
2474,4817,org.argouml.model.mdr.CoreHelperMDRImpl
266,4824,org.argouml.uml.ui.TabSrc.DefaultPredicate
2365,4830,org.argouml.uml.ui.TabProps
1744,4832,org.argouml.uml.diagram.ui.ActionSetPath
286,4862,org.argouml.uml.ui.TabStyle
2170,4869,org.argouml.model.TestModelManagementHelper
2466,4876,org.argouml.ui.cmd.GenericArgoMenuBar
1985,4882,org.argouml.uml.ui.TabSrc
2391,4889,org.argouml.moduleloader.ModuleLoader2
570,4890,org.argouml.uml.ui.foundation.core.UMLGeneralizableElementAbstractCheckBox
2411,4894,org.argouml.uml.ui.PropPanel
893,4897,org.argouml.ui.ActionProjectSettings
1614,4903,org.argouml.uml.diagram.deployment.ui.FigComponent
1820,4905,org.argouml.uml.ui.behavior.state_machines.PropPanelSubmachineState
2379,4906,org.argouml.notation.providers.uml.OperationNotationUml
2466,4911,org.argouml.uml.diagram.ui.FigNodeModelElement
1568,4912,org.argouml.uml.diagram.ui.ArgoFigGroup
2158,4916,org.argouml.ui.SettingsDialog
2161,4917,org.argouml.ui.SettingsDialog
2421,4923,org.argouml.model.mdr.MDRModelImplementation
2266,4928,org.argouml.uml.diagram.ui.FigStereotypesCompartment
2462,4935,org.argouml.ui.ProjectBrowser
1632,4936,org.argouml.uml.ui.foundation.extension_mechanisms.ActionSetTagDefinitionType
1477,4937,org.argouml.uml.ui.UMLMultiplicityPanel.MultiplicityComboBox
2289,4939,org.argouml.uml.diagram.ui.FigStereotypesCompartment
1814,4947,org.argouml.uml.diagram.state.ui.FigBranchState
2399,4949,org.argouml.application.Main
591,4951,org.argouml.uml.diagram.ui.ArgoModeCreateFigText
1727,4953,org.argouml.model.euml.ExtensionMechanismsFactoryEUMLImpl
704,4955,org.argouml.gefext.ArgoFigLine
1783,4956,org.argouml.gefext.ArgoFigInk
2228,4958,org.argouml.configuration.ConfigurationProperties
1684,4969,org.argouml.notation.providers.uml.AssociationNameNotationUml
2010,4980,org.argouml.uml.diagram.sequence.ui.UMLSequenceDiagram
2342,4987,org.argouml.uml.diagram.ui.FigAssociation
557,4988,org.argouml.uml.ui.foundation.extension_mechanisms.PropPanelStereotype.ActionAddStereotypeBaseClass
2462,4989,org.argouml.ui.ProjectBrowser
2426,4995,org.argouml.application.events.ArgoEventPump
416,5000,org.argouml.notation.providers.EnumerationLiteralNotation
542,5013,org.argouml.uml.diagram.ui.FigNameWithAbstract
1439,5014,org.argouml.swingext.BasicLinkButtonUI
697,5024,org.argouml.uml.cognitive.ProjectMemberTodoList
2404,5027,org.argouml.model.mdr.StateMachinesFactoryMDRImpl
355,5029,org.argouml.profile.init.ProfileLoader.JarFileFilter
2377,5032,org.argouml.ui.AboutBox
1627,5038,org.argouml.uml.diagram.activity.ui.FigPool
2083,5040,org.argouml.profile.TestProfileManager
2439,5048,org.argouml.ui.DetailsPane
2407,5064,org.argouml.model.mdr.XmiReferenceResolverImpl
2272,5071,org.argouml.uml.diagram.state.ui.FigCompositeState
77,5077,org.argouml.uml.reveng.java.JavaImport
1557,5088,org.argouml.persistence.TestProfileConfigurationFilePersister
2391,5089,org.argouml.moduleloader.ModuleLoader2
1817,5101,org.argouml.profile.URLModelLoader
2469,5115,org.argouml.uml.diagram.ui.FigNodeModelElement
2440,5157,org.argouml.application.events.ArgoEventPump
2268,5160,org.argouml.uml.diagram.collaboration.ui.FigClassifierRole
2441,5171,org.argouml.ui.DetailsPane
2416,5174,org.argouml.uml.ui.ElementPropPanelFactory
1670,5183,org.argouml.util.SuffixFilter
1867,5186,org.argouml.uml.reveng.java.JavaImport
2029,5189,org.argouml.uml.reveng.FileImportUtils
1265,5193,org.argouml.uml.diagram.ui.ActionAddExistingNode
2100,5195,org.argouml.ui.cmd.ActionAdjustGrid
2365,5202,org.argouml.uml.ui.TabProps
1467,5204,org.argouml.application.helpers.ApplicationVersion
1207,5205,org.argouml.uml.ui.PropPanelFactoryManager
89,5207,org.argouml.ui.cmd.ActionAdjustPageBreaks
1800,5211,org.argouml.notation.providers.uml.AttributeNotationUml
2394,5229,org.argouml.notation.providers.uml.AttributeNotationUml
2474,5230,org.argouml.model.mdr.CoreHelperMDRImpl
2470,5232,org.argouml.model.mdr.CoreFactoryMDRImpl
1979,5234,org.argouml.notation.providers.java.NotationUtilityJava
2439,5241,org.argouml.ui.DetailsPane
33,5245,org.argouml.persistence.TestZargoFilePersister
1281,5247,org.argouml.uml.diagram.ui.FigNodeAssociation
2361,5252,org.argouml.persistence.ArgoParser
839,5256,org.argouml.ui.explorer.rules.GoModelToDiagrams
712,5258,org.argouml.ui.explorer.rules.GoClassifierToInstance
2308,5262,org.argouml.profile.internal.ProfileManagerImpl
2301,5263,org.argouml.ui.ProjectSettingsTabProfile
576,5264,org.argouml.uml.ui.PropPanel.GroupPanel
2361,5266,org.argouml.ui.explorer.DnDExplorerTree
2450,5267,org.argouml.uml.diagram.ui.FigEdgeModelElement
1439,5268,org.argouml.uml.ui.foundation.core.ActionAddAttribute
1897,5269,org.argouml.uml.ui.UMLList2
2148,5270,org.argouml.uml.ui.ActionDeleteModelElements
2302,5271,org.argouml.uml.ui.foundation.core.PropPanelModelElement
1002,5278,org.argouml.model.mdr.XmiReaderImpl
2426,5280,org.argouml.ui.explorer.ExplorerPopup
2454,5282,org.argouml.model.euml.CoreFactoryEUMLImpl
818,5286,org.argouml.profile.init.InitProfileSubsystem
2301,5289,org.argouml.uml.ui.foundation.core.PropPanelModelElement
2190,5295,org.argouml.profile.UserDefinedProfile
1752,5298,org.argouml.uml.ui.foundation.core.UMLModelElementNamespaceComboBoxModel
1752,5299,org.argouml.uml.ui.foundation.core.UMLModelElementNamespaceComboBoxModel
2461,5302,org.argouml.ui.ProjectBrowser
1135,5303,org.argouml.uml.diagram.ui.ModeCreateCommentEdge
1333,5307,org.argouml.uml.ui.UMLMultiplicityPanel.MultiplicityCheckBox
860,5308,org.argouml.profile.UserDefinedProfile
1546,5316,org.argouml.uml.diagram.static_structure.ui.SelectionStereotype
2295,5318,org.argouml.profile.internal.ProfileManagerImpl
2414,5320,org.argouml.uml.ui.PropPanel
231,5325,org.argouml.util.PredicateTrue
1367,5328,org.argouml.uml.diagram.ui.ModeCreateGraphEdge
1901,5330,org.argouml.uml.ui.TabProps
2026,5336,org.argouml.util.Tools
120,5338,org.argouml.uml.diagram.ui.SelectionNodeClarifiers2
1753,5342,org.argouml.uml.ui.behavior.state_machines.PropPanelSubmachineState
2303,5346,org.argouml.persistence.ProfileConfigurationFilePersister
2418,5352,org.argouml.kernel.ProjectImpl
2410,5353,org.argouml.model.mdr.XmiReaderImpl
1608,5354,org.argouml.util.PredicateStringMatch
2448,5355,org.argouml.uml.diagram.ui.FigEdgeModelElement
2186,5356,org.argouml.uml.ui.ActionSaveAllGraphics
503,5362,org.argouml.ui.explorer.rules.GoProfileToCritics
2228,5364,org.argouml.configuration.ConfigurationProperties
840,5365,org.argouml.moduleloader.ModuleLoader2
2202,5366,org.argouml.swingext.GlassPane
2412,5367,org.argouml.model.mdr.XmiReaderImpl
159,5368,org.argouml.kernel.TestProjectSettings
2382,5369,org.argouml.moduleloader.ModuleLoader2
2315,5373,org.argouml.uml.generator.ui.ClassGenerationDialog
2315,5376,org.argouml.uml.reveng.java.JavaImport
1063,5387,org.argouml.ui.cmd.ZoomActionProxy
