rank,id,item
14,1009,org.argouml.ui.explorer.ExplorerPopup.initMenuCreateModelElements()
2,1288,org.argouml.persistence.ArgoParser.handleFontSize(XMLElement)
1,1308,org.argouml.ui.ProjectBrowser.assemblePanels()
8604,1597,org.argouml.uml.diagram.use_case.ui.FigUseCase.updateExtensionPoint()
7456,1853,org.argouml.uml.diagram.static_structure.ui.SelectionClass.getIcons()
39,1860,org.argouml.uml.diagram.ui.UMLDiagramHomeModelComboBoxModel.UMLDiagramHomeModelComboBoxModel()
5,1925,"org.argouml.ui.DetailsPane.setTarget(Object,boolean)"
436,2148,"org.argouml.model.mdr.CoreHelperMDRImpl.isValidNamespace(Object,Object)"
12,2421,org.argouml.ui.ZoomSliderButton.ZoomSliderButton()
8456,2454,"org.argouml.uml.diagram.ui.ArgoFigText.ArgoFigText(int,int,int,int)"
1,2462,org.argouml.ui.ZoomSliderButton.createPopupComponent()
26,2501,org.argouml.ui.FindDialog.FindDialog()
550,3110,org.argouml.model.mdr.FacadeMDRImpl.getActivityGraph(Object)
36,3208,org.argouml.persistence.ArgoParser.handleActiveDiagram(XMLElement)
162,3422,org.argouml.uml.diagram.static_structure.ui.FigClassifierBox.getPopUpActions(MouseEvent)
13,3494,"org.argouml.uml.diagram.use_case.ui.UseCaseDiagramRenderer.getFigEdgeFor(GraphModel,Layer,Object,Map)"
20,3524,org.argouml.ui.explorer.DnDExplorerTree.ArgoDropTargetListener.drop(DropTargetDropEvent)
128,3535,org.argouml.uml.ui.SaveGraphicsManager.getSaveActionBySuffix(String)
916,3719,org.argouml.uml.diagram.sequence.ui.ModeExpand.mouseReleased(MouseEvent)
2,3766,org.argouml.configuration.ConfigurationProperties.getOldDefaultPath()
8450,3819,org.argouml.uml.diagram.deployment.ui.UMLDeploymentDiagram.setNamespace(Object)
209,3930,org.argouml.uml.diagram.ui.AddExistingNodeCommand.execute()
43,3963,org.argouml.uml.ui.behavior.common_behavior.PropPanelReception.PropPanelReception()
1469,4252,org.argouml.uml.ui.foundation.core.PropPanelModelElement.PropPanelModelElement()
147,4258,org.argouml.ui.explorer.NameOrder.getName(Object)
81,4327,org.argouml.kernel.ProjectSettings.init()
574,4374,org.argouml.uml.ui.TabTaggedValuesModel.removeRow(int)
153,4394,org.argouml.uml.ui.TabProps.createPropPanel(Object)
8582,440,"org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer.getFigNodeFor(GraphModel,Layer,Object,Map)"
564,4401,org.argouml.uml.ui.foundation.core.UMLClassOperationListModel.buildModelList()
12,4430,org.argouml.uml.ui.foundation.core.PropPanelAttribute.PropPanelAttribute()
1,4569,"org.argouml.model.AbstractActivityGraphsHelperDecorator.setSynch(Object,boolean)"
1,4570,"org.argouml.model.AbstractActivityGraphsHelperDecorator.setParameters(Object,Collection)"
782,4615,org.argouml.uml.reveng.ui.ImportStatusScreen.updateMainTask(String)
301,4629,org.argouml.uml.ui.TabStyle.setTarget(Object)
3166,4632,"org.argouml.ui.explorer.ExplorerPopup.buildDirectionalCreateMenuItem(Object,Object,Object,String,JMenu)"
219,4638,org.argouml.ui.MyLocale.getLocales()
1509,4647,org.argouml.moduleloader.SettingsTabModules.handleSettingsTabSave()
6738,4648,org.argouml.uml.diagram.static_structure.ui.FigOperation.removeFromDiagram()
6452,4651,org.argouml.uml.diagram.static_structure.ui.SelectionException.SelectionException(Fig)
1929,4654,"org.argouml.notation.providers.OperationNotation.updateListener(PropertyChangeListener,Object,PropertyChangeEvent)"
55,4675,org.argouml.uml.reveng.java.JavaParseException.JavaParseException(String)
1319,4677,org.argouml.model.mdr.FacadeMDRImpl.getImportedElements(Object)
6807,4679,org.argouml.uml.ui.foundation.core.PropPanelInterface.PropPanelInterface()
9723,4685,org.argouml.uml.diagram.use_case.ui.UMLUseCaseDiagram.relocate(Object)
26,4690,org.argouml.persistence.XmiFilePersister.doLoad(File)
15287,4697,org.argouml.uml.reveng.java.Modeller.getPackageName(String)
1710,4734,"org.argouml.model.mdr.CoreHelperMDRImpl.isValidNamespace(Object,Object)"
24,4735,"org.argouml.uml.diagram.ui.PropPanelDiagram.PropPanelDiagram(String,ImageIcon)"
1261,4745,"org.argouml.uml.ui.TabTaggedValuesModel.setValueAt(Object,int,int)"
11522,4749,org.argouml.uml.diagram.static_structure.ui.FigSignal.FigSignal()
9654,4752,"org.argouml.application.Main.initializeSubsystems(SimpleTimer,SplashScreen)"
1107,4760,org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionComboBoxModel.getApplicableTagDefinitions(Object)
931,4764,org.argouml.uml.diagram.use_case.ui.SelectionActor.isReverseEdge(int)
1,4774,org.argouml.uml.ui.foundation.core.UMLClassOperationListModel.moveToTop(int)
1,4777,org.argouml.model.mdr.XmiWriterMDRImpl.write()
10544,4780,org.argouml.uml.ui.foundation.core.UMLEnumerationLiteralsListModel.UMLEnumerationLiteralsListModel()
147,4784,"org.argouml.uml.ui.UMLRadioButtonPanel.UMLRadioButtonPanel(String,List<String[]>,String,Action,boolean)"
9493,4792,"org.argouml.uml.reveng.java.JavaImport.parseFile(Project,File,ImportSettings,int)"
384,4802,org.argouml.ui.ProjectBrowser.saveScreenConfiguration()
40,4808,"org.argouml.model.mdr.CoreHelperMDRImpl.isValidNamespace(UmlAssociation,Namespace)"
1307,4812,org.argouml.uml.diagram.static_structure.ui.SelectionStereotype.getIcons()
223,4817,"org.argouml.model.mdr.CoreHelperMDRImpl.isValidNamespace(Object,Object)"
10315,4824,org.argouml.uml.ui.TabSrc.addPredicate(Predicate)
2053,4830,org.argouml.uml.ui.TabProps.findPanelFor(Object)
8591,4832,org.argouml.uml.diagram.ui.ActionSetPath.actionPerformed(ActionEvent)
600,4862,org.argouml.uml.ui.TabStyle.findPanelFor(Class)
13674,4869,"org.argouml.model.mdr.ModelManagementHelperMDRImpl.contained(Object,Object)"
217,4876,org.argouml.ui.cmd.GenericArgoMenuBar.initModulesMenus()
9865,4882,org.argouml.uml.ui.TabSrc.generateSource(Object)
378,4889,"org.argouml.moduleloader.ModuleLoader2.addClass(ClassLoader,String)"
8462,4890,org.argouml.uml.ui.foundation.core.UMLGeneralizableElementLeafCheckBox.buildModel()
9309,4894,org.argouml.uml.ui.PropPanel.collectTargetListeners(Container)
75,4897,org.argouml.ui.ActionProjectSettings.ActionProjectSettings()
81,4903,"org.argouml.uml.diagram.deployment.ui.AbstractFigComponent.AbstractFigComponent(GraphModel,Object)"
1849,4905,org.argouml.uml.ui.behavior.state_machines.PropPanelSubmachineState.PropPanelSubmachineState()
682,4906,"org.argouml.notation.providers.uml.OperationNotationUml.toString(Object,Map)"
8891,4911,org.argouml.uml.diagram.ui.FigNodeModelElement.getNameFigFontStyle()
9703,4912,org.argouml.uml.diagram.ui.ArgoFigGroup.getProject()
34,4916,org.argouml.ui.SettingsDialog.handleRefresh()
90,4917,org.argouml.ui.SettingsDialog.setVisible(boolean)
9525,4923,org.argouml.model.mdr.MDRModelImplementation.MDRModelImplementation()
10598,4928,org.argouml.uml.diagram.ui.FigStereotypesCompartment.getIconForStereotype(FigStereotype)
170,4935,"org.argouml.ui.ProjectBrowser.ProjectBrowser(String,SplashScreen,boolean,JPanel)"
331,4936,org.argouml.uml.ui.foundation.extension_mechanisms.UMLMetaClassComboBoxModel.getSelectedModelElement()
3084,4937,org.argouml.uml.ui.UMLMultiplicityPanel.MultiplicityComboBox.targetSet(TargetEvent)
7976,4939,org.argouml.uml.diagram.ui.FigStereotypesCompartment.getMinimumSize()
4711,4947,"org.argouml.uml.diagram.state.ui.FigHistoryState.setStandardBounds(int,int,int,int)"
8618,4949,org.argouml.application.Main.main(String[])
178,4951,org.argouml.ui.StylePanelFigText.refresh()
11,4953,"org.argouml.model.AbstractExtensionMechanismsHelperDecorator.setDataValues(Object,String[])"
10591,4955,org.argouml.gefext.ArgoFigLine.ArgoFigLine()
5594,4956,org.argouml.gefext.ArgoFigSpline.ArgoFigSpline()
673,4958,org.argouml.configuration.ConfigurationProperties.loadFile(File)
1,4969,org.argouml.kernel.ProjectSettings.getShowAssociationNames()
10800,4980,org.argouml.uml.diagram.sequence.ui.UMLSequenceDiagram.relocate(Object)
4786,4987,org.argouml.uml.diagram.ui.FigAssociation.renderingChanged()
513,4988,org.argouml.uml.ui.AbstractActionAddModelElement2.actionPerformed(ActionEvent)
42,4989,org.argouml.ui.ProjectBrowser.setApplicationIcon()
8522,4995,org.argouml.application.events.ArgoEventPump.doFireEvent(ArgoEvent)
2,5000,org.argouml.notation.providers.EnumerationLiteralNotation.EnumerationLiteralNotation(Object)
7096,5013,org.argouml.uml.diagram.ui.FigMultiLineTextWithBold.getFigFontStyle()
43,5014,org.argouml.uml.diagram.ui.SettingsTabDiagramAppearance.initialize()
199,5024,org.argouml.cognitive.ui.GoListToPosterToItem.isLeaf(Object)
11258,5027,org.argouml.model.mdr.StateMachinesFactoryMDRImpl.buildStateMachine(Object)
33,5029,org.argouml.profile.UserDefinedProfile.getProfilePackages()
1875,5032,org.argouml.ui.AboutBox.getCredits()
8802,5038,org.argouml.uml.diagram.activity.ui.FigPartition.removeFromDiagramImpl()
11,5040,"org.argouml.persistence.ProfileConfigurationFilePersister.addUserDefinedProfile(String,StringBuffer,ProfileManager)"
109,5048,"org.argouml.ui.DetailsPane.setTarget(Object,boolean)"
9353,5064,"org.argouml.model.mdr.XmiReferenceResolverImpl.register(String,String,RefObject)"
9628,5071,org.argouml.uml.diagram.state.ui.FigCompositeState.getEnclosedFigs()
9972,5077,"org.argouml.uml.reveng.java.OuterClassifierContext.get(String,boolean)"
50,5088,org.argouml.model.mdr.XmiWriterMDRImpl.write()
