rank,id,item
30,1009,org.argouml.model.mdr.UmlFactoryMDRImpl
16,1288,org.argouml.kernel.ProjectSettings
6,1308,org.argouml.ui.cmd.GenericArgoMenuBar
616,1597,org.argouml.uml.diagram.use_case.ui.FigUseCase
14,1853,org.argouml.uml.diagram.static_structure.ui.SelectionClass
18,1860,org.argouml.uml.diagram.sequence.ui.UMLSequenceDiagram
1,1925,org.argouml.ui.TestDetailsPane
494,2148,org.argouml.model.mdr.CoreHelperMDRImpl
2,2421,org.argouml.ui.ZoomSliderButton
62,2454,org.argouml.uml.diagram.ui.ArgoFigText
1,2462,org.argouml.ui.ZoomSliderButton
26,2501,org.argouml.ui.FindDialog
3,3110,org.argouml.uml.ui.behavior.activity_graphs.PropPanelActivityGraph
11,3208,org.argouml.persistence.ArgoParser
1,3422,org.argouml.uml.diagram.ui.ActionSetPath
32,3494,org.argouml.uml.diagram.sequence.ui.SequenceDiagramRenderer
8,3524,org.argouml.ui.explorer.DnDExplorerTree.ArgoDropTargetListener
52,3535,org.argouml.gefext.DeferredBufferedImage
894,3719,org.argouml.uml.diagram.sequence.ui.UMLSequenceDiagram
33,3766,org.argouml.configuration.ConfigurationProperties
5,3819,org.argouml.uml.ui.ActionDeploymentDiagram
127,3930,org.argouml.uml.diagram.ui.ActionAddExistingNodes
25,3963,org.argouml.uml.ui.behavior.common_behavior.PropPanelReception
5,4252,org.argouml.uml.ui.model_management.PropPanelElementImport
584,4258,org.argouml.ui.explorer.NameOrder
25,4327,org.argouml.kernel.ProjectSettings
175,4374,org.argouml.uml.ui.TabTaggedValuesModel
23,4394,org.argouml.uml.ui.TabProps
1,440,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel
3,4401,org.argouml.uml.notation.uml.OperationNotationUml
6,4430,org.argouml.uml.ui.foundation.core.PropPanelAttribute
2,4569,org.argouml.uml.ui.behavior.activity_graphs.ActionSetSynch
2,4570,org.argouml.model.AbstractActivityGraphsHelperDecorator
181,4615,org.argouml.uml.reveng.ImportCommon
16,4629,org.argouml.uml.diagram.ui.FigAssociationClass
124,4632,org.argouml.ui.explorer.ExplorerPopup
18,4638,org.argouml.ui.MyLocale
48,4647,org.argouml.moduleloader.SettingsTabModules
35,4648,org.argouml.uml.diagram.static_structure.ui.FigFeature
275,4651,org.argouml.uml.diagram.static_structure.ui.FigException
49,4654,org.argouml.uml.diagram.ui.FigSingleLineText
3,4675,org.argouml.uml.reveng.java.JavaParseException
276,4677,org.argouml.model.mdr.ModelManagementHelperMDRImpl
1283,4679,org.argouml.uml.ui.foundation.core.PropPanelInterface
80,4685,org.argouml.uml.diagram.ui.UMLDiagram
3,4690,org.argouml.persistence.XmiFilePersister
13,4697,org.argouml.uml.reveng.java.Modeller
954,4734,org.argouml.model.mdr.CoreHelperMDRImpl
14,4735,org.argouml.uml.ui.foundation.core.PropPanelGeneralization
990,4749,org.argouml.uml.diagram.static_structure.ui.FigSignal
191,4752,org.argouml.application.Main
137,4760,org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionComboBoxModel
550,4764,org.argouml.uml.diagram.ui.SelectionNodeClarifiers2
1,4774,org.argouml.uml.ui.UMLModelElementOrderedListModel2
1,4777,org.argouml.model.mdr.XmiWriterMDRImpl
19,4780,org.argouml.uml.ui.foundation.core.UMLEnumerationLiteralsListModel
5,4784,org.argouml.uml.ui.foundation.core.UMLParameterDirectionKindRadioButtonPanel
416,4792,org.argouml.uml.reveng.java.JavaImport
92,4802,org.argouml.ui.ProjectBrowser
327,4808,org.argouml.model.mdr.CoreFactoryMDRImpl
410,4812,org.argouml.uml.diagram.static_structure.ui.SelectionStereotype
181,4817,org.argouml.model.mdr.CoreHelperMDRImpl
112,4824,org.argouml.uml.ui.TabSrc
161,4830,org.argouml.uml.ui.TabProps
1,4832,org.argouml.uml.diagram.ui.ActionSetPath
18,4862,org.argouml.uml.ui.TabStyle
332,4869,org.argouml.model.mdr.ModelManagementHelperMDRImpl
130,4876,org.argouml.ui.cmd.GenericArgoMenuBar
1,4882,org.argouml.uml.ui.TabSrc
2,4889,org.argouml.application.Main
157,4890,org.argouml.uml.ui.foundation.core.UMLGeneralizableElementLeafCheckBox
225,4894,org.argouml.uml.ui.PropPanel
4,4897,org.argouml.ui.ActionProjectSettings
27,4903,org.argouml.uml.diagram.deployment.ui.FigComponentInstance
539,4905,org.argouml.uml.ui.behavior.state_machines.PropPanelCompositeState
6,4906,org.argouml.notation.providers.uml.OperationNotationUml
22,4911,org.argouml.uml.diagram.ui.FigNodeModelElement
625,4912,org.argouml.uml.diagram.ui.ArgoFigGroup
311,4916,org.argouml.ui.SettingsDialog
81,4917,org.argouml.ui.SettingsDialog
44,4923,org.argouml.model.mdr.MDRModelImplementation
17,4928,org.argouml.uml.diagram.ui.FigStereotypesCompartment
15,4935,org.argouml.ui.ProjectBrowser
6,4936,org.argouml.uml.ui.foundation.extension_mechanisms.UMLMetaClassComboBoxModel
849,4937,org.argouml.uml.ui.UMLMultiplicityPanel.MultiplicityComboBox
605,4939,org.argouml.uml.diagram.ui.FigStereotypesCompartment
917,4947,org.argouml.uml.diagram.state.ui.FigInitialState
5,4949,org.argouml.application.Main
1,4951,org.argouml.uml.diagram.ui.ArgoModeCreateFigText
14,4953,org.argouml.model.AbstractExtensionMechanismsHelperDecorator
554,4955,org.argouml.gefext.ArgoFigLine
223,4956,org.argouml.gefext.ArgoFigInk
15,4958,org.argouml.configuration.ConfigurationProperties
2,4969,org.argouml.kernel.ProjectSettings
14,4980,org.argouml.uml.diagram.sequence.ui.UMLSequenceDiagram
283,4987,org.argouml.uml.diagram.ui.FigAssociation
23,4988,org.argouml.uml.ui.UMLAddDialog
111,4989,org.argouml.ui.ProjectBrowser
2,4995,org.argouml.application.events.ArgoEventPump
2,5000,org.argouml.uml.diagram.ui.FigEnumLiteralsCompartment
1,5013,org.argouml.uml.diagram.ui.FigNameWithAbstractAndBold
6,5014,org.argouml.uml.diagram.ui.SettingsTabDiagramAppearance
4,5024,org.argouml.cognitive.ui.ToDoByPriority
516,5027,org.argouml.model.mdr.StateMachinesFactoryMDRImpl
5,5029,org.argouml.profile.internal.ProfileManagerImpl
2,5032,org.argouml.ui.AboutBox
91,5038,org.argouml.uml.diagram.activity.ui.FigPool
22,5040,org.argouml.persistence.ProfileConfigurationFilePersister
23,5048,org.argouml.ui.DetailsPane
18,5064,org.argouml.model.mdr.XmiReferenceResolverImpl
9,5071,org.argouml.uml.diagram.state.ui.FigCompositeState
1,5077,org.argouml.uml.reveng.java.JavaImport
5,5088,org.argouml.model.mdr.XmiWriterMDRImpl
23,5089,org.argouml.moduleloader.ModuleLoader2
2,5101,org.argouml.profile.UserDefinedProfileHelper
88,5115,org.argouml.uml.diagram.ui.FigNodeModelElement
100,5157,org.argouml.application.events.ArgoEventPump
189,5160,org.argouml.uml.diagram.use_case.ui.FigUseCase
144,5171,org.argouml.ui.DetailsPane
1664,5174,org.argouml.uml.ui.ElementPropPanelFactory
8,5183,org.argouml.util.SuffixFilter
42,5186,org.argouml.uml.reveng.java.JavaImport
5,5189,org.argouml.uml.reveng.FileImportUtils
229,5193,org.argouml.uml.diagram.ui.ModeAddToDiagram
1,5195,org.argouml.ui.cmd.GenericArgoMenuBar
1,5202,org.argouml.uml.ui.TabProps
1,5204,org.argouml.application.helpers.ApplicationVersion
1,5205,org.argouml.uml.ui.PropPanelFactoryManager
1,5207,org.argouml.ui.cmd.SettingsTabShortcuts
779,5211,org.argouml.model.mdr.CoreFactoryMDRImpl
9,5229,org.argouml.notation.providers.uml.TestAttributeAndOperationNotationUml
315,5230,org.argouml.model.mdr.CoreHelperMDRImpl
362,5232,org.argouml.model.mdr.CoreFactoryMDRImpl
1118,5234,org.argouml.notation.providers.java.NotationUtilityJava
5,5241,org.argouml.ui.DetailsPane
10,5245,org.argouml.model.mdr.XmiReaderImpl
6,5247,org.argouml.persistence.ZargoFilePersister
57,5252,org.argouml.persistence.ArgoParser
1,5262,org.argouml.profile.internal.ProfileManagerImpl
1,5263,org.argouml.ui.ProjectSettingsTabProfile
263,5264,org.argouml.uml.ui.foundation.core.PropPanelModelElement
12,5266,org.argouml.ui.explorer.DnDExplorerTree.ArgoDropTargetListener
50,5267,org.argouml.uml.diagram.ui.FigNodeModelElement
8,5268,org.argouml.uml.diagram.ui.FigNodeModelElement
455,5269,org.argouml.uml.ui.UMLMutableLinkedList
133,5270,org.argouml.uml.ui.ActionDeleteModelElements
24,5271,org.argouml.uml.ui.TabProps
10,5278,org.argouml.model.mdr.XmiReaderImpl
29,5280,org.argouml.ui.explorer.ExplorerPopup
334,5282,org.argouml.model.euml.CoreFactoryEUMLImpl
1499,5286,org.argouml.profile.init.InitProfileSubsystem
112,5289,org.argouml.uml.ui.foundation.core.PropPanelModelElement
192,5295,org.argouml.profile.UserDefinedProfile
2,5298,org.argouml.uml.ui.UMLComboBoxModel2
47,5299,org.argouml.uml.ui.UMLComboBoxModel2
11,5302,org.argouml.ui.ProjectBrowser
8,5303,org.argouml.uml.diagram.ui.ModeCreateCommentEdge
153,5307,org.argouml.uml.ui.UMLMultiplicityPanel
147,5308,org.argouml.profile.UserDefinedProfile
266,5316,org.argouml.uml.diagram.static_structure.ui.SelectionStereotype
4,5318,org.argouml.profile.internal.ProfileManagerImpl
46,5320,org.argouml.uml.ui.PropPanel
1,5325,org.argouml.util.PredicateGefWrapper
195,5328,org.argouml.uml.diagram.ui.ModeCreateGraphEdge
7,5330,org.argouml.uml.ui.TabProps
35,5336,org.argouml.util.Tools
668,5338,org.argouml.uml.diagram.ui.SelectionNodeClarifiers2
5,5342,org.argouml.uml.ui.behavior.state_machines.PropPanelSubmachineState
2,5346,org.argouml.profile.internal.ProfileManagerImpl
9,5352,org.argouml.uml.diagram.ui.FigEdgeModelElement
9,5353,org.argouml.model.mdr.XmiReaderImpl
183,5354,org.argouml.util.PredicateStringMatch
83,5355,org.argouml.uml.diagram.ui.FigEdgeModelElement
1,5356,org.argouml.uml.ui.ActionSaveAllGraphics
2,5362,org.argouml.ui.explorer.rules.GoProfileToCritics
312,5364,org.argouml.configuration.ConfigurationProperties
1,5365,org.argouml.moduleloader.ModuleLoader2
338,5366,org.argouml.swingext.GlassPane
1,5367,org.argouml.model.mdr.MDRModelImplementation
9,5368,org.argouml.ui.ProjectBrowser
1,5369,org.argouml.moduleloader.ModuleLoader2
165,5376,org.argouml.uml.reveng.java.JavaImport
3,5387,org.argouml.ui.cmd.ZoomActionProxy
9,5388,org.argouml.language.java.generator.GeneratorJava
111,5393,org.argouml.uml.ui.ActionNewDiagram
314,5395,org.argouml.uml.ui.ActionNewDiagram
