rank,id,item
951,1009,"org.argouml.ui.explorer.ExplorerPopup.ExplorerPopup(Object,MouseEvent)"
5,1288,org.argouml.kernel.ProjectSettings.setFontSize(int)
1,1308,org.argouml.ui.ProjectBrowser.assemblePanels()
2451,1597,org.argouml.uml.diagram.use_case.ui.FigUseCase.updateExtensionPoint()
627,1853,org.argouml.uml.diagram.static_structure.ui.SelectionClass.getIcons()
122,1860,org.argouml.uml.diagram.ui.UMLDiagramHomeModelComboBoxModel.UMLDiagramHomeModelComboBoxModel()
7,1925,org.argouml.ui.TestDetailsPane.testTargetSet()
2871,2148,"org.argouml.model.mdr.CoreHelperMDRImpl.isValidNamespace(Object,Object)"
101,2421,org.argouml.ui.ZoomSliderButton.ZoomSliderButton()
367,2454,"org.argouml.uml.diagram.ui.ArgoFigText.ArgoFigText(int,int,int,int)"
45,2462,org.argouml.ui.cmd.ZoomActionProxy.actionPerformed(ActionEvent)
133,2501,org.argouml.ui.FindDialog.FindDialog()
63,3110,org.argouml.uml.ui.behavior.activity_graphs.PropPanelPartition.getActivityGraphField()
93,3208,org.argouml.persistence.ArgoParser.handleActiveDiagram(XMLElement)
5,3422,org.argouml.uml.diagram.ui.FigNodeModelElement.buildShowPopUp()
2,3494,"org.argouml.uml.diagram.state.ui.StateDiagramRenderer.getFigEdgeFor(GraphModel,Layer,Object,Map)"
238,3524,org.argouml.ui.explorer.DnDExplorerTree.ArgoDropTargetListener.drop(DropTargetDropEvent)
48,3535,org.argouml.uml.ui.SaveGraphicsManager.setDefaultFilter(SuffixFilter)
2770,3719,org.argouml.uml.diagram.sequence.ui.UMLSequenceDiagram.getUmlActions()
33,3766,org.argouml.configuration.ConfigurationProperties.getOldDefaultPath()
124,3819,org.argouml.uml.diagram.deployment.ui.UMLDeploymentDiagram.setNamespace(Object)
819,3930,"org.argouml.uml.diagram.ui.ActionAddExistingNodes.addNodes(Collection,Point,ArgoDiagram)"
717,3963,org.argouml.uml.ui.behavior.common_behavior.PropPanelReception.PropPanelReception()
848,4252,org.argouml.uml.ui.UMLTaggedValueCheckBox.buildModel()
900,4258,"org.argouml.ui.explorer.NameOrder.compareUserObjects(Object,Object)"
515,4327,"org.argouml.ui.ProjectBrowser.loadProject(File,boolean,ProgressMonitor)"
256,4374,org.argouml.uml.ui.TabTaggedValuesModel.removeRow(int)
49,4394,org.argouml.uml.ui.TabProps.createPropPanel(Object)
152,440,"org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer.getFigNodeFor(GraphModel,Layer,Object,Map)"
288,4401,org.argouml.uml.notation.OperationNotation.OperationNotation(Object)
22,4430,org.argouml.uml.ui.foundation.core.PropPanelAttribute.PropPanelAttribute()
1,4569,"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.setSynch(Object,boolean)"
3,4570,"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.removeParameter(Object,Object)"
524,4615,org.argouml.uml.reveng.ui.ProblemsDialog.disposeDialog()
9,4629,org.argouml.uml.diagram.ui.FigAssociationClass.setFillColor(Color)
1107,4632,"org.argouml.uml.diagram.UMLMutableGraphSupport.isConnectionValid(Object,Object,Object)"
27,4638,org.argouml.ui.MyLocale.getLocales()
301,4647,org.argouml.moduleloader.SettingsTabModules.handleSettingsTabSave()
6541,4648,org.argouml.uml.diagram.static_structure.ui.FigFeature.updateOwnerScope(boolean)
2704,4651,"org.argouml.uml.diagram.static_structure.ui.FigException.FigException(GraphModel,Object)"
4149,4654,org.argouml.uml.diagram.static_structure.ui.FigClassifierBox.modelChanged(PropertyChangeEvent)
191,4675,"org.argouml.uml.reveng.java.Modeller.addClass(String,short,Vector,String,Vector,String,boolean)"
297,4677,"org.argouml.model.mdr.CoreHelperMDRImpl.isValidNamespace(Generalization,Namespace)"
12915,4679,org.argouml.uml.ui.foundation.core.PropPanelInterface.PropPanelInterface()
3642,4685,org.argouml.uml.diagram.use_case.ui.UMLUseCaseDiagram.relocate(Object)
256,4690,org.argouml.persistence.XmiFilePersister.doLoad(File)
10731,4697,org.argouml.uml.reveng.java.Modeller.getPackageName(String)
8091,4734,"org.argouml.model.mdr.CoreHelperMDRImpl.isValidNamespace(Object,Object)"
236,4735,"org.argouml.uml.diagram.ui.PropPanelDiagram.PropPanelDiagram(String,ImageIcon)"
1404,4749,"org.argouml.uml.diagram.static_structure.ui.FigException.FigException(Object,int,int,int,int)"
1707,4752,"org.argouml.application.Main.initializeSubsystems(SimpleTimer,SplashScreen)"
55,4760,org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionComboBoxModel.getApplicableTagDefinitions(Object)
473,4764,"org.argouml.uml.diagram.ui.SelectionNodeClarifiers2.hitHandle(Rectangle,Handle)"
5,4774,org.argouml.uml.ui.UMLModelElementOrderedListModel2.moveToTop(int)
5,4777,org.argouml.persistence.UmlFilePersister.XmlFilterOutputStream.close()
23,4780,org.argouml.uml.ui.foundation.core.UMLEnumerationLiteralsListModel.UMLEnumerationLiteralsListModel()
167,4784,org.argouml.uml.ui.foundation.core.UMLParameterDirectionKindRadioButtonPanel.buildModel()
2389,4792,"org.argouml.uml.reveng.java.JavaImport.parseFiles(Project,Collection,ImportSettings,ProgressMonitor)"
4015,4802,org.argouml.ui.ProjectBrowser.saveScreenConfiguration()
1125,4808,"org.argouml.model.mdr.CoreHelperMDRImpl.isValidNamespace(UmlAssociation,Namespace)"
728,4812,org.argouml.uml.diagram.static_structure.ui.SelectionStereotype.getIcons()
4280,4817,"org.argouml.model.mdr.CoreHelperMDRImpl.isValidNamespace(Object,Object)"
2230,4824,org.argouml.uml.ui.TabSrc.addPredicate(Predicate)
15038,4830,org.argouml.uml.ui.TabProps.findPanelFor(Object)
47,4832,org.argouml.uml.diagram.ui.ActionSetPath.actionPerformed(ActionEvent)
1779,4862,org.argouml.uml.ui.TabStyle.findPanelFor(Class)
13857,4869,"org.argouml.model.mdr.ModelManagementHelperMDRImpl.contained(Object,Object)"
47,4876,org.argouml.ui.cmd.GenericArgoMenuBar.initModulesUI()
1002,4882,org.argouml.uml.ui.TabSrc.generateSource(Object)
25,4889,org.argouml.application.Main.main(String[])
1044,4890,org.argouml.uml.ui.foundation.core.UMLGeneralizableElementAbstractCheckBox.buildModel()
7983,4894,org.argouml.uml.ui.PropPanel.collectTargetListeners(Container)
63,4897,org.argouml.ui.ActionProjectSettings.ActionProjectSettings()
601,4903,org.argouml.uml.diagram.deployment.ui.FigComponent.setEnclosingFig(Fig)
1655,4905,org.argouml.uml.ui.behavior.state_machines.PropPanelPseudostate.refreshTarget()
5893,4906,"org.argouml.notation.providers.uml.OperationNotationUml.toString(Object,Map)"
3772,4911,org.argouml.uml.diagram.ui.FigNodeModelElement.getNameFigFontStyle()
3731,4912,org.argouml.uml.diagram.ui.FigNodeModelElement.getProject()
217,4916,org.argouml.ui.SettingsDialog.handleCancel()
194,4917,org.argouml.ui.SettingsDialog.setVisible(boolean)
215,4923,org.argouml.model.mdr.MDRModelImplementation.MDRModelImplementation()
