rank,id,item
218,1009,org.argouml.model.mdr.UmlFactoryMDRImpl
5,1288,org.argouml.uml.diagram.ui.DiagramAppearance
4,1308,org.argouml.ui.cmd.GenericArgoMenuBar
516,1597,org.argouml.uml.diagram.use_case.ui.FigUseCase
765,1853,org.argouml.uml.diagram.static_structure.ui.SelectionClass
1,1860,org.argouml.uml.diagram.use_case.ui.UMLUseCaseDiagram
11,1925,org.argouml.ui.DetailsPane
231,2148,org.argouml.model.mdr.CoreHelperMDRImpl
32,2421,org.argouml.ui.ZoomSliderButton.MyPopupMenuListener
33,2454,org.argouml.uml.diagram.ui.ArgoFigText
160,2462,org.argouml.ui.ZoomSliderButton
701,2501,org.argouml.ui.FindDialog
137,3110,org.argouml.uml.ui.behavior.activity_graphs.PropPanelActivityGraph
862,3208,org.argouml.persistence.ArgoTokenTable
75,3422,org.argouml.uml.diagram.static_structure.ui.FigClassifierBox
3,3494,org.argouml.uml.diagram.use_case.ui.UseCaseDiagramRenderer
127,3524,org.argouml.ui.explorer.DnDExplorerTree.ArgoDropTargetListener
95,3535,org.argouml.gefext.DeferredBufferedImage
267,3719,org.argouml.uml.diagram.sequence.ui.ModeContract
2086,3766,org.argouml.configuration.ConfigurationProperties
1,3819,org.argouml.uml.ui.ActionDeploymentDiagram
275,3930,org.argouml.uml.diagram.ui.ActionAddExistingNodes
39,3963,org.argouml.uml.ui.behavior.common_behavior.PropPanelReception
16,4252,org.argouml.uml.ui.UMLTaggedValueCheckBox
71,4258,org.argouml.ui.explorer.NameOrder
623,4327,org.argouml.ui.ProjectBrowser
274,4374,org.argouml.uml.ui.TabTaggedValuesModel
2,4394,org.argouml.uml.ui.foundation.core.PropPanelElementResidence
452,440,org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer
9,4401,org.argouml.uml.notation.uml.OperationNotationUml
138,4430,org.argouml.uml.ui.UMLExpressionBodyField
40,4569,org.argouml.model.mdr.FacadeMDRImpl
35,4570,org.argouml.model.mdr.ActivityGraphsHelperMDRImpl
98,4615,org.argouml.uml.reveng.ui.ImportStatusScreen
9,4629,org.argouml.uml.diagram.ui.FigAssociationClass
82,4632,org.argouml.ui.explorer.ExplorerPopup
1172,4638,org.argouml.ui.SettingsTabAppearance
305,4647,org.argouml.application.Main
76,4648,org.argouml.uml.diagram.static_structure.ui.FigOperation
326,4651,org.argouml.uml.diagram.static_structure.ui.SelectionException
246,4654,org.argouml.uml.diagram.ui.FigEditableCompartment
274,4675,org.argouml.uml.reveng.java.JavaParseException
1344,4677,org.argouml.model.mdr.ModelManagementHelperMDRImpl
1602,4679,org.argouml.uml.ui.foundation.core.PropPanelInterface
198,4685,org.argouml.uml.diagram.ui.UMLDiagram
89,4690,org.argouml.persistence.XmiFilePersister
1705,4697,org.argouml.uml.reveng.java.Modeller
2332,4734,org.argouml.model.mdr.CoreHelperMDRImpl
47,4735,org.argouml.uml.ui.foundation.core.PropPanelGeneralization
91,4749,org.argouml.uml.diagram.static_structure.ui.FigException
434,4752,org.argouml.application.Main
485,4760,org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionComboBoxModel
170,4764,org.argouml.uml.diagram.deployment.ui.SelectionNode
633,4774,org.argouml.uml.ui.UMLModelElementOrderedListModel2
2,4777,org.argouml.model.euml.XmiReaderEUMLImpl
1077,4780,org.argouml.uml.ui.foundation.core.UMLEnumerationLiteralsListModel
511,4784,org.argouml.uml.ui.UMLRadioButtonPanel
866,4792,org.argouml.uml.reveng.java.JavaImport
54,4802,org.argouml.ui.ProjectBrowser
29,4808,org.argouml.model.mdr.CoreFactoryMDRImpl
1349,4812,org.argouml.uml.diagram.static_structure.ui.SelectionStereotype
444,4817,org.argouml.model.mdr.CoreHelperMDRImpl
950,4824,org.argouml.uml.ui.TabSrc
512,4830,org.argouml.uml.ui.TabProps
275,4832,org.argouml.uml.diagram.ui.ActionSetPath
600,4862,org.argouml.uml.ui.TabStyle
1368,4869,org.argouml.model.mdr.ModelManagementHelperMDRImpl
1562,4876,org.argouml.ui.cmd.GenericArgoMenuBar
793,4882,org.argouml.uml.ui.TabSrc
319,4889,org.argouml.application.Main
749,4890,org.argouml.uml.ui.foundation.core.UMLGeneralizableElementAbstractCheckBox
669,4894,org.argouml.uml.ui.PropPanel
117,4897,org.argouml.ui.ActionProjectSettings
193,4903,org.argouml.uml.diagram.deployment.ui.AbstractFigComponent
806,4905,org.argouml.uml.ui.behavior.state_machines.PropPanelPseudostate
