rank,id,item
241,1,org.apache.derbyTesting.junit.BaseJDBCTestCase
1701,2,org.apache.derby.client.am.LogWriter
197,3,org.apache.derby.impl.sql.compile.PredicateList
1949,4,org.apache.derbyTesting.junit.JDBCDataSource
1103,5,org.apache.derbyTesting.functionTests.tests.jdbcapi.BlobClob4BlobTest
1085,6,org.apache.derbyTesting.functionTests.tests.jdbcapi.StatementPoolingTest
962,7,org.apache.derbyTesting.functionTests.tests.upgradeTests.helpers.DisposableIndexStatistics
1301,8,org.apache.derby.impl.sql.execute.InsertResultSet
234,9,org.apache.derbyTesting.functionTests.tests.lang.TableFunctionTest
610,10,org.apache.derby.client.am.Connection
7,11,org.apache.derby.impl.sql.compile.SetOperatorNode
482,12,org.apache.derby.impl.sql.catalog.DD_Version
1160,13,org.apache.derbyTesting.junit.DropDatabaseSetup
134,15,org.apache.derby.client.am.Connection
387,17,org.apache.derbyTesting.junit.TestConfiguration
6,18,org.apache.derby.impl.sql.compile.ResultColumn
651,19,org.apache.derby.impl.store.raw.data.BaseDataFileFactory
503,20,org.apache.derby.client.am.Configuration
993,21,org.apache.derbyTesting.functionTests.tests.jdbc4.ConnectionTest
699,22,org.apache.derbyTesting.functionTests.tests.jdbcapi.CallableTest
1618,23,org.apache.derby.impl.services.monitor.StorageFactoryService
2538,24,org.apache.derbyTesting.functionTests.tests.upgradeTests.UpgradeClassLoader
516,25,org.apache.derbyTesting.functionTests.tests.lang.UpdateStatisticsTest
63,26,org.apache.derbyTesting.functionTests.tests.largedata.LobLimitsTest
107,27,org.apache.derby.impl.services.jce.JCECipherFactory
1563,28,org.apache.derby.client.am.LogicalConnection
527,29,org.apache.derbyTesting.functionTests.tests.tools.ConnectWrongSubprotocolTest
333,30,org.apache.derbyTesting.functionTests.util.PrivilegedFileOpsForTests
1615,31,org.apache.derbyTesting.functionTests.tests.jdbcapi.CallableTest
481,32,org.apache.derby.impl.sql.GenericStatement
2316,33,org.apache.derbyTesting.functionTests.tests.replicationTests.ReplicationRun_Local_3_p6
704,34,org.apache.derbyTesting.junit.BaseJDBCTestCase
2364,35,org.apache.derbyTesting.functionTests.suites.AllPackages
663,36,org.apache.derby.impl.drda.DRDAStatement
189,37,org.apache.derbyTesting.functionTests.tests.jdbcapi.ClosedObjectTest
1375,38,org.apache.derby.impl.sql.execute.HashTableResultSet
337,39,org.apache.derbyTesting.junit.BaseTestCase
1231,40,org.apache.derby.client.am.PreparedStatement
172,41,org.apache.derbyTesting.junit.NetworkServerTestSetup
570,42,org.apache.derbyTesting.junit.SecurityManagerSetup
