rank,id,item
765,1,org.apache.derbyTesting.junit.BaseJDBCTestCase
1380,2,org.apache.derby.client.am.LogWriter
432,3,org.apache.derby.impl.sql.compile.PredicateList
1695,4,org.apache.derbyTesting.junit.JDBCDataSource
1139,5,org.apache.derbyTesting.functionTests.tests.jdbcapi.BlobClob4BlobTest
101,6,org.apache.derbyTesting.functionTests.tests.jdbcapi.StatementPoolingTest
770,7,org.apache.derbyTesting.junit.DerbyVersion
1074,8,org.apache.derby.impl.sql.execute.InsertResultSet
185,9,org.apache.derbyTesting.functionTests.tests.lang.TableFunctionTest
279,10,org.apache.derby.client.am.Connection
38,11,org.apache.derbyTesting.functionTests.tests.lang.OrderByAndOffsetFetchInSubqueries
1255,12,org.apache.derby.impl.sql.catalog.DD_Version
629,13,org.apache.derbyTesting.junit.DropDatabaseSetup
472,15,org.apache.derby.iapi.services.info.JVMInfo
196,17,org.apache.derbyTesting.junit.TestConfiguration
37,18,org.apache.derby.impl.sql.compile.ColumnReference
514,19,org.apache.derby.impl.store.raw.data.BaseDataFileFactory
478,20,org.apache.derby.client.am.Configuration
425,21,org.apache.derbyTesting.functionTests.tests.jdbc4.ConnectionTest
16,22,org.apache.derbyTesting.functionTests.tests.jdbcapi.XATest
486,23,org.apache.derbyTesting.functionTests.tests.store.ServicePropertiesFileTest
2070,24,org.apache.derbyTesting.functionTests.tests.upgradeTests.UpgradeClassLoader
228,25,org.apache.derbyTesting.functionTests.tests.lang.CompressTableTest
73,26,org.apache.derbyTesting.functionTests.tests.largedata.LobLimitsTest
1869,27,org.apache.derby.impl.services.jce.JCECipherFactory
768,28,org.apache.derby.client.am.LogicalConnection
564,29,org.apache.derbyTesting.functionTests.tests.tools.ConnectWrongSubprotocolTest
931,30,org.apache.derbyTesting.junit.DropDatabaseSetup
663,31,org.apache.derbyTesting.functionTests.tests.jdbcapi.CallableTest
839,32,org.apache.derby.impl.sql.GenericStatement
1218,33,org.apache.derbyTesting.functionTests.tests.replicationTests.ReplicationRun_Local_3_p6
1267,34,org.apache.derbyTesting.junit.BaseJDBCTestCase
2746,35,org.apache.derbyTesting.functionTests.suites.AllPackages
448,36,org.apache.derby.impl.drda.DRDAStatement
267,37,org.apache.derbyTesting.functionTests.tests.jdbcapi.ClosedObjectTest
2560,38,org.apache.derby.impl.sql.execute.HashTableResultSet
131,39,org.apache.derby.impl.jdbc.SQLExceptionFactory40
708,40,org.apache.derby.client.am.PreparedStatement
1133,41,org.apache.derbyTesting.junit.NetworkServerTestSetup
551,42,org.apache.derbyTesting.junit.SecurityManagerSetup
2194,43,org.apache.derbyTesting.functionTests.tests.jdbcapi.StatementPoolingTest
1121,44,org.apache.derby.diag.StatementCache
617,45,org.apache.derbyBuild.GeneratorBase
538,46,org.apache.derby.iapi.reference.Limits
429,47,org.apache.derby.impl.sql.compile.OrderByColumn
2026,48,org.apache.derby.impl.sql.compile.OrderByList
104,49,org.apache.derby.impl.drda.DRDAStatement
1092,50,org.apache.derby.impl.sql.compile.PredicateList
1996,51,org.apache.derby.impl.sql.compile.SelectNode
839,52,org.apache.derbyTesting.functionTests.tests.store.ReEncryptCrashRecovery
730,53,org.apache.derby.impl.store.raw.RawStore
1039,54,org.apache.derby.impl.jdbc.EmbedConnection
616,55,org.apache.derbyTesting.functionTests.tests.lang.BooleanValuesTest
1273,56,org.apache.derbyTesting.functionTests.tests.lang.OrderByAndOffsetFetchInSubqueries
10,58,org.apache.derby.impl.drda.DRDAProtocolExceptionInfo
355,59,org.apache.derbyTesting.functionTests.tests.lang.ErrorCodeTest
863,60,org.apache.derbyBuild.MessageBuilder
225,61,org.apache.derbyTesting.functionTests.tests.jdbcapi.CallableTest
717,62,org.apache.derbyTesting.functionTests.tests.jdbc4.PreparedStatementTest
111,63,org.apache.derbyTesting.functionTests.tests.lang.SQLAuthorizationPropTest
304,64,org.apache.derbyTesting.junit.BaseJDBCTestCase
1950,65,org.apache.derby.client.net.NetPreparedStatement
1351,66,org.apache.derby.client.net.NetCallableStatement
480,67,org.apache.derby.client.net.NetPackageReply
1620,68,org.apache.derby.client.net.NetStatementReply
675,69,org.apache.derby.client.net.NetConnectionReply
2557,70,org.apache.derby.impl.sql.execute.AlterTableConstantAction
131,71,org.apache.derbyBuild.ReleaseNotesTransformer
324,72,org.apache.derbyTesting.junit.CleanDatabaseTestSetup
1083,73,org.apache.derby.iapi.sql.dictionary.ViewDescriptor
58,74,org.apache.derbyTesting.functionTests.tests.jdbcapi.ParameterMappingTest
