rank,id,item
1105,1,org.apache.derbyTesting.junit.BaseJDBCTestCase
210,3,org.apache.derbyTesting.functionTests.tests.lang._Suite
1399,4,org.apache.derbyTesting.junit.JDBCDataSource
430,8,org.apache.derby.impl.sql.execute.InsertResultSet
1373,23,org.apache.derby.impl.services.monitor.StorageFactoryService
183,44,org.apache.derby.diag.StatementCache
511,47,org.apache.derby.impl.sql.compile.OrderByColumn
1167,48,org.apache.derby.impl.sql.compile.OrderByList
354,64,org.apache.derbyTesting.junit.DropDatabaseSetup
190,94,org.apache.derby.catalog.IndexDescriptor
214,96,org.apache.derby.impl.jdbc.EmbedStatement
1386,97,org.apache.derby.impl.store.raw.data.TempRAFContainer
