rank,id,item
4033,1,org.hibernate.ejb.criteria.predicate.CompoundPredicate
3935,2,org.hibernate.engine.jdbc.ContextualLobCreator.CallbackImpl
3936,4,org.hibernate.test.pagination.PaginationTest
1855,6,org.hibernate.ejb.metamodel.AttributeFactory
1886,7,org.hibernate.bytecode.javassist.FieldTransformer
1751,8,org.hibernate.test.hql.BulkManipulationTest
2415,10,org.hibernate.test.cache.infinispan.functional.BasicTransactionalTestCase
2512,11,org.hibernate.ejb.test.pack.overridenpar.Bug
1341,13,org.hibernate.id.MultipleHiLoPerTableGenerator
216,14,org.hibernate.type.ClobType
300,15,org.hibernate.envers.reader.AuditReaderImpl
3768,16,org.hibernate.test.annotations.backquotes.BackquoteTest
2076,18,org.hibernate.util.SerializationHelper
1384,19,org.hibernate.ejb.criteria.predicate.CompoundPredicate
4509,20,org.hibernate.ejb.criteria.CriteriaBuilderImpl
3388,21,org.hibernate.cfg.Ejb3Column
