rank,id,item
3423,1,org.hibernate.ejb.criteria.predicate.CompoundPredicate
1605,2,org.hibernate.engine.jdbc.ContextualLobCreator
3982,4,org.hibernate.test.pagination.PaginationTest
3617,6,org.hibernate.ejb.metamodel.AttributeFactory.AttributeContext
4503,7,org.hibernate.bytecode.javassist.FieldTransformer
4532,8,org.hibernate.test.hql.BulkManipulationTest
1954,10,org.hibernate.cache.infinispan.query.QueryResultsRegionImpl
1525,11,org.hibernate.ejb.test.pack.overridenpar.Bug
1394,13,org.hibernate.id.enhanced.OptimizerFactory
261,14,org.hibernate.type.PrimitiveCharacterArrayClobType
3629,15,org.hibernate.envers.query.AuditQueryCreator
69,16,org.hibernate.test.annotations.backquotes.BackquoteTest
1765,18,org.hibernate.util.SerializationHelper.CustomObjectInputStream
3439,19,org.hibernate.ejb.criteria.predicate.CompoundPredicate
4534,20,org.hibernate.ejb.criteria.CriteriaBuilderImpl
3528,21,org.hibernate.cfg.annotations.IdBagBinder
