rank,id,item
4298,1,org.hibernate.ejb.criteria.predicate.CompoundPredicate
395,2,org.hibernate.engine.jdbc.ContextualLobCreator.CallbackImpl
3804,4,org.hibernate.test.pagination.PaginationTest
1814,6,org.hibernate.ejb.test.metadata.StaticMetadataTest
4532,7,org.hibernate.bytecode.javassist.FieldTransformer
2000,8,org.hibernate.test.hql.BulkManipulationTest
1548,10,org.hibernate.test.cache.infinispan.functional.BasicTransactionalTestCase
1633,11,org.hibernate.ejb.test.pack.spacepar.Bug
2616,13,org.hibernate.id.MultipleHiLoPerTableGenerator
285,14,org.hibernate.type.BlobType
252,15,org.hibernate.envers.query.AuditQueryCreator
470,16,org.hibernate.test.annotations.backquotes.BackquoteTest
3191,18,org.hibernate.util.SerializationHelper.CustomObjectInputStream
4297,19,org.hibernate.ejb.criteria.predicate.CompoundPredicate
4535,20,org.hibernate.ejb.criteria.CriteriaBuilderImpl
1733,21,org.hibernate.cfg.annotations.IdBagBinder
