rank,id,item
3097,1,org.hibernate.ejb.criteria.CriteriaBuilderImpl
1314,2,org.hibernate.engine.jdbc.ContextualLobCreator.CallbackImpl
1931,4,org.hibernate.test.pagination.PaginationTest
1093,6,org.hibernate.ejb.metamodel.AttributeFactory
1848,7,org.hibernate.bytecode.javassist.FieldTransformer
3813,8,org.hibernate.test.hql.BulkManipulationTest
2883,10,org.hibernate.cache.infinispan.impl.BaseRegion
98,11,org.hibernate.ejb.test.pack.spacepar.Bug
947,13,org.hibernate.id.MultipleHiLoPerTableGenerator
180,14,org.hibernate.test.lob.ClobLocatorTest
1631,15,org.hibernate.envers.tools.Tools
729,16,org.hibernate.test.annotations.backquotes.BackquoteTest
301,18,org.hibernate.engine.jdbc.JdbcSupportLoader
3992,19,org.hibernate.ejb.criteria.predicate.CompoundPredicate
3536,20,org.hibernate.ejb.criteria.CriteriaBuilderImpl
436,21,org.hibernate.cfg.Ejb3Column
