rank,id,item
1,1219592,net.sf.jabref.labelPattern.LabelPatternUtil
4,1285977,net.sf.jabref.FieldComparator
2,1297576,net.sf.jabref.PreviewPanel
3,1436014,net.sf.jabref.FieldContentSelector
99,1489454,net.sf.jabref.Util
89,1495181,tests.net.sf.jabref.export.layout.AllTests
442,1503956,net.sf.jabref.PreviewPrefsTab
11,1534537,net.sf.jabref.SidePane
26,1535044,tests.net.sf.jabref.UtilTest
27,1538769,net.sf.jabref.gui.FileDialogs
940,1540646,net.sf.jabref.TablePrefsTab
1,1542552,tests.net.sf.jabref.imports.IsiImporterTest
17,1545601,net.sf.jabref.external.ExternalFilePanel
531,1548875,net.sf.jabref.gui.FileListEditor
47,1553552,net.sf.jabref.EntryEditorTab
1,1570570,net.sf.jabref.gui.ImportInspectionDialog
4,1574773,tests.net.sf.jabref.UtilTest
1,1587342,tests.net.sf.jabref.imports.OAI2ImportTest
1,1588028,tests.net.sf.jabref.export.layout.format.DOICheckTest
3,1594123,tests.net.sf.jabref.imports.BibtexParserTest
89,1594169,net.sf.jabref.EntryEditorTab
1,1601651,tests.net.sf.jabref.UtilFindFileTest
216,1631548,net.sf.jabref.JabRefFrame
106,1641247,net.sf.jabref.PreviewPanel
68,1648789,net.sf.jabref.XmpPrefsTab
160,1709449,net.sf.jabref.Util
48,1711135,net.sf.jabref.imports.FieldContentParser
203,1738920,net.sf.jabref.JabRefPreferences
432,1749613,net.sf.jabref.ExternalTab
12,1785416,net.sf.jabref.Util
17,1827568,net.sf.jabref.export.SaveDatabaseAction
2,1944198,net.sf.jabref.imports.MedlineFetcher
19,2027944,net.sf.jabref.export.ExportFormats
546,2105329,net.sf.jabref.gui.MainTableSelectionListener
944,2119059,net.sf.jabref.imports.RisImporter
251,2207462,net.sf.jabref.imports.ACMPortalFetcher
565,2904968,net.sf.jabref.EntryEditor
111,2931293,net.sf.jabref.labelPattern.LabelPatternUtil
70,2938562,net.sf.jabref.external.MoveFileAction
