rank,id,item
1174,1219592,net.sf.jabref.imports.EndnoteImporter
1087,1285977,net.sf.jabref.FieldComparator
285,1297576,net.sf.jabref.PreviewPanel.PrintAction
1128,1436014,net.sf.jabref.FieldContentSelector
1303,1489454,net.sf.jabref.Util
719,1495181,tests.net.sf.jabref.export.layout.AllTests
1162,1503956,net.sf.jabref.PrefsDialog3
757,1534537,net.sf.jabref.JabRefFrame.FetchCiteSeerAction
1092,1535044,net.sf.jabref.FieldComparator
1203,1538769,net.sf.jabref.gui.FileDialogs
1253,1540646,net.sf.jabref.TablePrefsTab
552,1542552,tests.net.sf.jabref.search.AllTests
1128,1545601,net.sf.jabref.external.ExternalFilePanel
1128,1548875,net.sf.jabref.external.ExternalFilePanel
392,1553552,net.sf.jabref.EntryEditor.CopyKeyAction
379,1570570,net.sf.jabref.gui.ImportInspectionDialog.DeselectDuplicatesButtonListener
1292,1574773,tests.net.sf.jabref.UtilTest
221,1587342,tests.net.sf.jabref.imports.AllTests
919,1588028,tests.net.sf.jabref.export.layout.format.DOICheckTest
1231,1594123,tests.net.sf.jabref.imports.BibtexParserTest
1225,1594169,net.sf.jabref.EntryEditorTab
1205,1601651,net.sf.jabref.external.RegExpFileSearch
1298,1631548,net.sf.jabref.JabRefFrame
1130,1641247,net.sf.jabref.NameFormatterTab
1089,1648789,net.sf.jabref.XmpPrefsTab
1292,1709449,tests.net.sf.jabref.UtilTest
792,1711135,net.sf.jabref.gui.ImportInspectionDialog.AutoSetLinks
1299,1738920,net.sf.jabref.JabRefFrame
1186,1749613,net.sf.jabref.ExternalTab
1181,1785416,net.sf.jabref.ExternalTab
1239,1827568,net.sf.jabref.export.SaveDatabaseAction
1141,1944198,net.sf.jabref.imports.MedlineFetcher
1052,2027944,net.sf.jabref.export.CustomExportList
1077,2105329,net.sf.jabref.external.ExternalFileMenuItem
1173,2119059,net.sf.jabref.imports.RisImporter
491,2207462,net.sf.jabref.imports.ImportInspectionCommandLine
1279,2904968,net.sf.jabref.EntryEditor
1286,2931293,net.sf.jabref.labelPattern.LabelPatternUtil
1183,2938562,net.sf.jabref.external.MoveFileAction
