rank,id,item
1,1219592,net.sf.jabref.labelPattern.LabelPatternUtil
1,1285977,net.sf.jabref.FieldComparator
2,1297576,net.sf.jabref.PreviewPanel.PrintAction
2,1436014,net.sf.jabref.groups.GroupDialog
1297,1489454,net.sf.jabref.Util
22,1495181,tests.net.sf.jabref.export.layout.LayoutTest
566,1503956,net.sf.jabref.PrefsDialog3
34,1534537,net.sf.jabref.groups.GroupSelector
143,1535044,net.sf.jabref.FieldComparator
761,1538769,net.sf.jabref.gui.FileDialogs
97,1540646,net.sf.jabref.TablePrefsTab
1,1542552,tests.net.sf.jabref.imports.IsiImporterTest
272,1545601,net.sf.jabref.gui.FileListEditor
501,1548875,net.sf.jabref.gui.FileListEditor
358,1553552,net.sf.jabref.EntryEditor.StoreFieldAction
17,1570570,net.sf.jabref.gui.ImportInspectionDialog.DeselectDuplicatesButtonListener
1,1574773,net.sf.jabref.Util
1,1587342,tests.net.sf.jabref.imports.OAI2ImportTest
1,1588028,tests.net.sf.jabref.export.layout.format.DOICheckTest
1,1594123,tests.net.sf.jabref.imports.BibtexParserTest
1,1594169,net.sf.jabref.EntryEditorTab
5,1601651,tests.net.sf.jabref.UtilFindFileTest
762,1631548,net.sf.jabref.JabRefFrame
465,1641247,net.sf.jabref.EntryEditor
1220,1648789,net.sf.jabref.XmpPrefsTab
1284,1709449,tests.net.sf.jabref.UtilTest
1,1711135,net.sf.jabref.imports.FieldContentParser
797,1738920,net.sf.jabref.JabRefFrame
1260,1749613,net.sf.jabref.ExternalTab
5,1785416,net.sf.jabref.Util
1273,1827568,net.sf.jabref.export.SaveDatabaseAction
2,1944198,net.sf.jabref.imports.MedlineFetcher
3,2027944,net.sf.jabref.export.ExportFormats
709,2105329,net.sf.jabref.external.ExternalFileMenuItem
881,2119059,net.sf.jabref.imports.RisImporter
8,2207462,net.sf.jabref.imports.ACMPortalFetcher
547,2904968,net.sf.jabref.EntryEditor
806,2931293,net.sf.jabref.labelPattern.LabelPatternUtil
17,2938562,net.sf.jabref.external.MoveFileAction
