rank,id,item
1170,1219592,net.sf.jabref.imports.EndnoteImporter
1071,1285977,net.sf.jabref.FieldComparator
362,1297576,net.sf.jabref.PreviewPanel.PrintAction
1128,1436014,net.sf.jabref.FieldContentSelector
1304,1489454,net.sf.jabref.Util
625,1495181,tests.net.sf.jabref.export.layout.AllTests
1167,1503956,net.sf.jabref.PrefsDialog3
806,1534537,net.sf.jabref.JabRefFrame.FetchCiteSeerAction
1074,1535044,net.sf.jabref.FieldComparator
1204,1538769,net.sf.jabref.gui.FileDialogs
1268,1540646,net.sf.jabref.TablePrefsTab
510,1542552,tests.net.sf.jabref.search.AllTests
1140,1545601,net.sf.jabref.external.ExternalFilePanel
1138,1548875,net.sf.jabref.external.ExternalFilePanel
310,1553552,net.sf.jabref.EntryEditor.CopyKeyAction
358,1570570,net.sf.jabref.gui.ImportInspectionDialog.DeselectDuplicatesButtonListener
1291,1574773,tests.net.sf.jabref.UtilTest
300,1587342,net.sf.jabref.imports.OAI2Handler
900,1588028,tests.net.sf.jabref.export.layout.format.DOICheckTest
1217,1594123,tests.net.sf.jabref.imports.BibtexParserTest
1217,1594169,net.sf.jabref.EntryEditorTab
1202,1601651,net.sf.jabref.external.RegExpFileSearch
1301,1631548,net.sf.jabref.JabRefFrame
1122,1641247,net.sf.jabref.NameFormatterTab
1082,1648789,net.sf.jabref.XmpPrefsTab
1293,1709449,tests.net.sf.jabref.UtilTest
777,1711135,net.sf.jabref.gui.ImportInspectionDialog.AutoSetLinks
1297,1738920,net.sf.jabref.JabRefPreferences
1194,1749613,net.sf.jabref.ExternalTab
1187,1785416,net.sf.jabref.ExternalTab
1247,1827568,net.sf.jabref.export.SaveDatabaseAction
1137,1944198,net.sf.jabref.imports.MedlineFetcher
1008,2027944,net.sf.jabref.export.ExportCustomizationDialog
1088,2105329,net.sf.jabref.external.ExternalFileMenuItem
1162,2119059,net.sf.jabref.imports.RisImporter
405,2207462,net.sf.jabref.imports.ImportInspectionCommandLine
1284,2904968,net.sf.jabref.EntryEditor
1296,2931293,net.sf.jabref.labelPattern.LabelPatternUtil
1182,2938562,net.sf.jabref.external.MoveFileAction
