rank,id,item
1,1219592,net.sf.jabref.labelPattern.LabelPatternUtil
119,1285977,net.sf.jabref.FieldComparator
6,1297576,net.sf.jabref.BasePanel
8,1436014,net.sf.jabref.groups.GroupDialog
74,1489454,net.sf.jabref.Util
49,1495181,net.sf.jabref.gui.ImportInspectionDialog
44,1503956,net.sf.jabref.ExternalTab
10,1534537,net.sf.jabref.BasePanel
5,1535044,net.sf.jabref.FieldComparator
9,1540646,net.sf.jabref.TablePrefsTab
1,1542552,tests.net.sf.jabref.imports.IsiImporterTest
27,1545601,net.sf.jabref.external.ExternalFilePanel
160,1548875,net.sf.jabref.external.ExternalFilePanel
116,1553552,net.sf.jabref.BasePanel
13,1570570,net.sf.jabref.gui.ImportInspectionDialog.DeselectDuplicatesButtonListener
2,1574773,net.sf.jabref.Util
7,1587342,net.sf.jabref.imports.OAI2Fetcher
2,1588028,tests.net.sf.jabref.export.layout.format.DOICheckTest
1,1594123,tests.net.sf.jabref.imports.BibtexParserTest
2,1594169,net.sf.jabref.EntryEditorTab
2,1601651,net.sf.jabref.Util
61,1631548,net.sf.jabref.JabRefFrame
5,1641247,net.sf.jabref.EntryEditor
12,1709449,net.sf.jabref.Util
2,1711135,net.sf.jabref.imports.FieldContentParser
17,1738920,net.sf.jabref.JabRefFrame
333,1749613,net.sf.jabref.ExternalTab
77,2904968,net.sf.jabref.EntryEditor
8,2931293,net.sf.jabref.labelPattern.LabelPatternUtil
32,2938562,net.sf.jabref.external.MoveFileAction
