rank,id,item
5,1219592,"net.sf.jabref.labelPattern.LabelPatternUtil.makeLabel(LabelPattern,BibtexDatabase,BibtexEntry)"
250,1285977,"net.sf.jabref.FieldComparator.compare(Object,Object)"
15,1297576,net.sf.jabref.gui.MainTableSelectionListener.instantiatePreviews()
127,1436014,net.sf.jabref.EntryEditor.updateAllContentSelectors()
74,1489454,"net.sf.jabref.Util.openFileOnWindows(String,boolean)"
69,1495181,tests.net.sf.jabref.export.layout.LayoutTest.tearDown()
510,1503956,net.sf.jabref.PreviewPrefsTab.PreviewPrefsTab(JabRefPreferences)
12,1534537,net.sf.jabref.SidePaneManager.updateView()
12,1535044,net.sf.jabref.Util.getMonthNumber(String)
65,1540646,"net.sf.jabref.TablePrefsTab.TablePrefsTab(JabRefPreferences,JabRefFrame)"
1,1542552,tests.net.sf.jabref.imports.IsiImporterTest.testIsiAuthorsConvert()
40,1545601,"net.sf.jabref.external.ExternalFilePanel.downLoadFile(String,FieldEditor,Component)"
160,1548875,"net.sf.jabref.external.ExternalFilePanel.downLoadFile(String,FieldEditor,Component)"
40,1553552,net.sf.jabref.BasePanel.isBaseChanged()
240,1570570,"net.sf.jabref.gui.ImportInspectionDialog.ImportInspectionDialog(JabRefFrame,BasePanel,String[],String,boolean)"
9,1574773,tests.net.sf.jabref.UtilTest.testSanitizeUrl()
14,1587342,"net.sf.jabref.imports.OAI2Handler.characters(char[],int,int)"
37,1588028,tests.net.sf.jabref.export.layout.format.DOICheckTest.testFormat()
8,1594123,tests.net.sf.jabref.imports.BibtexParserTest.testBigNumbers()
27,1594169,"net.sf.jabref.EntryEditorTab.newSetupPanel(boolean,String)"
25,1601651,"net.sf.jabref.Util.findFile(BibtexEntry,BibtexDatabase,String,String,boolean)"
805,1631548,net.sf.jabref.JabRefFrame.quit()
48,1641247,net.sf.jabref.PreviewPanel.vetoableChange(PropertyChangeEvent)
67,1709449,tests.net.sf.jabref.UtilTest.testSanitizeUrl()
206,1711135,net.sf.jabref.imports.FieldContentParser.format(StringBuffer)
54,1738920,net.sf.jabref.JabRefFrame.init()
2602,1749613,"net.sf.jabref.ExternalTab.ExternalTab(JabRefFrame,PrefsDialog3,JabRefPreferences,HelpDialog)"
239,2904968,net.sf.jabref.EntryEditor.storeCurrentEdit()
101,2931293,net.sf.jabref.labelPattern.LabelPatternUtil.authorsAlpha(String)
75,2938562,net.sf.jabref.external.MoveFileAction.actionPerformed(ActionEvent)
