rank,id,item
1528,1219592,"net.sf.jabref.labelPattern.LabelPatternUtil.makeLabel(LabelPattern,BibtexDatabase,BibtexEntry)"
7,1285977,"net.sf.jabref.FieldComparator.FieldComparator(String,boolean)"
1,1297576,"net.sf.jabref.collab.EntryDeleteChange.EntryDeleteChange(BibtexEntry,BibtexEntry)"
73,1436014,"net.sf.jabref.EntryEditor.getExtra(String,FieldEditor)"
1256,1489454,"net.sf.jabref.Util.openFileOnWindows(String,boolean)"
864,1495181,"net.sf.jabref.gui.ImportInspectionDialog.ImportInspectionDialog(JabRefFrame,BasePanel,String[],String,boolean)"
210,1503956,"net.sf.jabref.PrefsDialog2.PrefsDialog2(JabRefFrame,JabRefPreferences)"
26,1534537,net.sf.jabref.SidePaneManager.updateView()
32,1535044,net.sf.jabref.Util.getMonthNumber(String)
2211,1540646,"net.sf.jabref.TablePrefsTab.TablePrefsTab(JabRefPreferences,JabRefFrame)"
483,1542552,tests.net.sf.jabref.util.AllTests.suite()
1728,1545601,"net.sf.jabref.external.ExternalFilePanel.downLoadFile(String,FieldEditor,Component)"
1473,1548875,"net.sf.jabref.external.ExternalFilePanel.downLoadFile(String,FieldEditor,Component)"
7,1553552,net.sf.jabref.EntryEditorTab.activate()
2909,1570570,net.sf.jabref.gui.ImportInspectionDialog.addEntries(Collection)
909,1574773,"net.sf.jabref.Util.openExternalFileAnyFormat(MetaData,String)"
404,1587342,net.sf.jabref.JabRefFrame.initActions()
1230,1588028,tests.net.sf.jabref.export.layout.format.AllTests.suite()
1130,1594123,tests.net.sf.jabref.imports.BibtexParserTest.testBigNumbers()
83,1594169,"net.sf.jabref.EntryEditorTab.newSetupPanel(boolean,String)"
16,1601651,"net.sf.jabref.Util.findFile(BibtexEntry,BibtexDatabase,String,String,boolean)"
2164,1631548,net.sf.jabref.JabRefFrame.quit()
402,1641247,net.sf.jabref.EntryEditor.updateSource()
788,1709449,"net.sf.jabref.Util.openExternalViewer(MetaData,String,String)"
518,1711135,net.sf.jabref.imports.FieldContentParser.format(StringBuffer)
273,1738920,net.sf.jabref.JabRefFrame.init()
2147,1749613,"net.sf.jabref.ExternalTab.ExternalTab(JabRefFrame,PrefsDialog3,JabRefPreferences,HelpDialog)"
987,2904968,net.sf.jabref.EntryEditor.storeCurrentEdit()
542,2931293,net.sf.jabref.labelPattern.LabelPatternUtil.authorsAlpha(String)
322,2938562,net.sf.jabref.external.MoveFileAction.actionPerformed(ActionEvent)
