rank,id,item
88,950961,org.gjt.sp.jedit.buffer.JEditBuffer
732,981012,org.gjt.sp.jedit.syntax.Chunk
24,1193683,org.gjt.sp.jedit.textarea.BufferHandler
48,1292706,org.gjt.sp.jedit.GUIUtilities
113,1382388,org.gjt.sp.jedit.indent.IndentAction.NoIncrease
108,1500938,org.gjt.sp.jedit.search.SearchDialog
1,1520769,org.gjt.sp.jedit.options.SaveBackupOptionPane
101,1520774,org.gjt.sp.jedit.MiscUtilities
6,1533473,org.gjt.sp.jedit.EditPane
169,1536064,org.gjt.sp.jedit.GUIUtilities
23,1538051,org.gjt.sp.jedit.gui.StatusBar
2,1538702,org.gjt.sp.jedit.pluginmgr.PluginManager
109,1538743,org.gjt.sp.jedit.options.ToolBarEditDialog
93,1541009,org.gjt.sp.jedit.search.PatternSearchMatcher
79,1541372,org.gjt.sp.jedit.textarea.JEditTextArea
9,1542026,org.gjt.sp.jedit.jEdit.MyFocusManager
2,1546200,org.gjt.sp.jedit.menu.RecentFilesProvider
446,1548902,org.gjt.sp.jedit.TextUtilities
20,1549282,org.gjt.sp.jedit.Buffer
64,1560006,org.gjt.sp.jedit.search.SearchDialog
100,1560584,org.gjt.sp.jedit.textarea.TextArea
10,1565447,org.gjt.sp.jedit.search.HyperSearchFileNode
15,1569735,org.gjt.sp.jedit.syntax.XModeHandler
43,1570554,org.gjt.sp.jedit.browser.VFSFileChooserDialog
1,1571629,org.gjt.sp.jedit.browser.VFSBrowser.ActionHandler
91,1571752,org.gjt.sp.jedit.textarea.TextArea
6,1574587,org.gjt.sp.jedit.buffer.UndoManager
347,1575505,org.gjt.sp.jedit.textarea.TextArea
103,1576535,org.gjt.sp.jedit.EditPane
5,1578785,org.gjt.sp.jedit.PerspectiveManager
10,1584436,org.gjt.sp.jedit.textarea.Anchor
19,1589360,org.gjt.sp.jedit.textarea.TextAreaMouseHandler
266,1593359,org.gjt.sp.jedit.gui.InputHandler
379,1593375,org.gjt.sp.jedit.gui.LogViewer
84,1593389,org.gjt.sp.jedit.browser.VFSBrowser
159,1593464,org.gjt.sp.jedit.options.BrowserOptionPane
3,1593523,org.gjt.sp.jedit.search.HyperSearchOperationNode
10,1593526,org.gjt.sp.jedit.search.HyperSearchResults
77,1593543,org.gjt.sp.jedit.jEdit
42,1593576,org.gjt.sp.util.StandardUtilities
997,1593735,org.gjt.sp.jedit.gui.OptionsDialog
2,1594234,org.gjt.sp.jedit.search.SearchBar
45,1594910,org.gjt.sp.jedit.Buffer
1,1599024,org.gjt.sp.jedit.menu.ReloadWithEncodingProvider
469,1599709,org.gjt.sp.jedit.buffer.JEditBuffer
288,1600401,org.gjt.sp.jedit.syntax.TokenMarker
29,1601718,org.gjt.sp.jedit.search.SearchAndReplace
2,1608486,org.gjt.sp.jedit.textarea.TextAreaPainter.PaintCaret
1,1608948,org.gjt.sp.jedit.browser.VFSBrowser.HistoryComboBoxEditor
81,1611766,org.gjt.sp.jedit.buffer.JEditBuffer
19,1617509,org.gjt.sp.jedit.io.GlobVFSFileFilter
311,1620694,org.gjt.sp.jedit.textarea.TextAreaPainter
35,1628053,org.gjt.sp.jedit.EditPane
351,1630805,org.gjt.sp.jedit.syntax.TokenMarker
8,1638642,org.gjt.sp.jedit.View
533,1641997,org.gjt.sp.jedit.options.GeneralOptionPane
34,1642574,org.gjt.sp.jedit.EditPane
50,1645528,org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler
4,1646058,org.gjt.sp.jedit.search.HyperSearchResults.RemoveTreeNodeAction
18,1649033,org.gjt.sp.jedit.browser.VFSFileChooserDialog
877,1654543,org.gjt.sp.jedit.gui.VariableGridLayout
204,1658252,org.gjt.sp.jedit.syntax.XModeHandler
169,1659666,org.gjt.sp.jedit.syntax.TokenMarker
111,1663617,org.gjt.sp.jedit.jEdit
13,1664900,org.gjt.sp.jedit.indent.IndentAction.Collapse
26,1668893,org.gjt.sp.jedit.bufferio.BufferIORequest
2,1671312,org.gjt.sp.jedit.search.SearchAndReplace
37,1676041,org.gjt.sp.jedit.TextUtilities
150,1687264,org.gjt.sp.jedit.search.HyperSearchResults
23,1694133,org.gjt.sp.jedit.browser.VFSFileNameField
93,1708876,org.gjt.sp.jedit.MiscUtilities
52,1708881,org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.MouseHandler
257,1723506,org.gjt.sp.jedit.textarea.JEditTextArea
751,1724940,org.gjt.sp.jedit.textarea.BufferHandler
16,1730845,org.gjt.sp.jedit.options.GutterOptionPane
719,1739675,org.gjt.sp.jedit.indent.WhitespaceRule
14,1744674,org.gjt.sp.jedit.search.HyperSearchFileNode
30,1747300,org.gjt.sp.jedit.textarea.Gutter
40,1748509,org.gjt.sp.jedit.pluginmgr.InstallPanel.ChoosePluginSet
6,1749475,org.gjt.sp.jedit.options.ShortcutsOptionPane
6,1768638,org.gjt.sp.jedit.options.GeneralOptionPane
57,1781853,org.gjt.sp.jedit.pluginmgr.InstallPanel.PluginTableModel
7,1788847,org.gjt.sp.jedit.options.SyntaxHiliteOptionPane.MouseHandler
1,1789707,org.gjt.sp.jedit.io.EncodingServer
37,1818140,org.gjt.sp.jedit.gui.ListModelEditor
818,1825720,org.gjt.sp.jedit.bufferio.BufferAutosaveRequest
131,1834620,org.gjt.sp.jedit.search.SearchAndReplace
7,1854542,org.gjt.sp.jedit.browser.VFSBrowser
88,1866836,org.gjt.sp.jedit.gui.CompleteWord
20,1869978,org.gjt.sp.jedit.jEdit
174,1883809,org.gjt.sp.jedit.textarea.TextArea
10,1887293,org.gjt.sp.jedit.View
4,1894235,org.gjt.sp.jedit.search.SearchBar
51,1906288,org.gjt.sp.jedit.textarea.Anchor
249,1910061,org.gjt.sp.jedit.textarea.TextArea
62,1912735,org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLength
493,1913979,org.gjt.sp.jedit.search.SearchDialog
9,1923613,org.gjt.sp.jedit.search.PatternSearchMatcher
838,1931333,org.gjt.sp.jedit.gui.CompleteWord
29,1936518,org.gjt.sp.jedit.browser.BrowserCommandsMenu
633,1942313,org.gjt.sp.jedit.textarea.DisplayManager
3,1947676,org.gjt.sp.jedit.search.HyperSearchRequest
36,1961989,org.gjt.sp.jedit.gui.AbstractContextOptionPane.ActionHandler
67,1965114,org.gjt.sp.jedit.browser.VFSDirectoryEntryTable
105,1984000,org.gjt.sp.jedit.bufferset.BufferSet
7,1984974,org.gjt.sp.jedit.View
299,1999448,org.gjt.sp.jedit.textarea.TextArea
20,2015210,org.gjt.sp.jedit.options.SaveBackupOptionPane
108,2017514,org.gjt.sp.jedit.textarea.MouseHandler
14,2060078,org.gjt.sp.jedit.View
7,2068307,org.gjt.sp.jedit.options.SaveBackupOptionPane
13,2069249,org.gjt.sp.jedit.search.SearchAndReplace
24,2077326,org.gjt.sp.jedit.Buffer
7,2089713,org.gjt.sp.jedit.Buffer
1,2091052,org.gjt.sp.jedit.bufferset.BufferSetManager
121,2122926,org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorHighlight.MyMouseAdapter
51,2129419,org.gjt.sp.jedit.gui.CloseDialog.ListHandler
85,2169354,org.gjt.sp.jedit.search.SearchAndReplace
15,2173091,org.gjt.sp.jedit.search.HyperSearchRequest
16,2173112,org.gjt.sp.jedit.search.HyperSearchRequest
8,2183929,org.gjt.sp.jedit.bufferset.BufferSet
120,2199003,org.gjt.sp.jedit.gui.DockableWindowManager
73,2218621,org.gjt.sp.jedit.MiscUtilities
53,2220025,org.gjt.sp.jedit.gui.StatusBar
6,2220033,org.gjt.sp.jedit.gui.StatusBar
3,2446121,org.gjt.sp.jedit.search.HyperSearchResults.HighlightingTree
281,2555956,org.gjt.sp.jedit.gui.AboutDialog.AboutPanel
28,2569381,org.gjt.sp.jedit.gui.CompleteWord
56,2596087,org.gjt.sp.jedit.textarea.TextArea
107,2646484,org.gjt.sp.jedit.textarea.JEditTextArea
142,2668434,org.gjt.sp.jedit.View
1,2688862,org.gjt.sp.jedit.search.HyperSearchResults.RedoSearchAction
8,2696564,org.gjt.sp.jedit.options.GutterOptionPane
18,2744708,org.gjt.sp.jedit.Buffer
412,2759434,org.gjt.sp.util.StandardUtilities
1,2762745,org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton
18,2777073,org.gjt.sp.jedit.textarea.Gutter
473,2781716,org.gjt.sp.jedit.search.HyperSearchResults.HighlightingTree
398,2814857,org.gjt.sp.jedit.textarea.TextArea
49,2823909,org.gjt.sp.jedit.View
63,2824045,org.gjt.sp.jedit.View
5,2842444,org.gjt.sp.jedit.search.HyperSearchRequest
13,2844750,org.gjt.sp.jedit.textarea.TextAreaPainter.PaintLineBackground
6,2846169,org.gjt.sp.jedit.buffer.FoldHandler
20,2882702,org.gjt.sp.jedit.GUIUtilities
7,2887515,org.gjt.sp.jedit.gui.AboutDialog
2,2887516,org.gjt.sp.jedit.search.HyperSearchResults.CopyToClipboardAction
9,2896464,org.gjt.sp.jedit.search.HyperSearchResults.CopyToClipboardAction
11,2911122,org.gjt.sp.jedit.JARClassLoader
