rank,id,item
247,950961,org.gjt.sp.jedit.textarea.RangeMap.RangeMap(RangeMap)
6229,981012,"org.gjt.sp.jedit.syntax.Chunk.init(Segment,TabExpander,float,FontRenderContext)"
138,1193683,org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)
5833,1292706,"org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,String)"
243,1382388,org.gjt.sp.jedit.indent.IndentAction.NoIncrease.keepChecking()
231,1500938,"org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)"
152,1520769,org.gjt.sp.jedit.options.SaveBackupOptionPane._save()
4061,1520774,org.gjt.sp.jedit.MiscUtilities.getPathStart(String)
615,1533473,org.gjt.sp.jedit.EditPane.loadCaretInfo()
648,1536064,"org.gjt.sp.jedit.GUIUtilities.requestFocus(Window,Component)"
575,1538051,org.gjt.sp.jedit.jEdit.showMemoryDialog(View)
106,1538702,org.gjt.sp.jedit.pluginmgr.PluginManager.PluginManager(Frame)
228,1538743,org.gjt.sp.jedit.options.ToolBarEditDialog.updateList()
84,1541009,org.gjt.sp.jedit.search.SearchAndReplace.replace(View)
129,1541372,org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mousePressed(MouseEvent)
184,1542026,org.gjt.sp.jedit.jEdit.MyFocusManager.postProcessKeyEvent(KeyEvent)
13,1546200,org.gjt.sp.jedit.menu.RecentFilesProvider.update(JMenu)
1565,1548902,"org.gjt.sp.jedit.TextUtilities.format(String,int,int)"
356,1549282,"org.gjt.sp.jedit.Buffer.finishSaving(View,String,String,String,boolean,boolean)"
71,1560006,"org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)"
5319,1560584,"org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)"
82,1565447,"org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int)"
261,1569735,"org.gjt.sp.jedit.syntax.XModeHandler.endElement(String,String,String)"
409,1570554,org.gjt.sp.jedit.browser.VFSBrowser.setDirectory(String)
78,1571629,org.gjt.sp.jedit.browser.VFSBrowser.updateFilterEnabled()
284,1571752,"org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)"
120,1574587,org.gjt.sp.jedit.buffer.JEditBuffer.setDirty(boolean)
5808,1575505,org.gjt.sp.jedit.textarea.TextArea.joinLineAt(int)
649,1576535,org.gjt.sp.jedit.EditPane.loadCaretInfo()
95,1578785,org.gjt.sp.jedit.options.BufferOptionPane.BufferOptionPane()
262,1589360,org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doSingleClick(MouseEvent)
282,1593359,"org.gjt.sp.jedit.gui.InputHandler.processKeyEvent(KeyEvent,int,boolean)"
227,1593375,org.gjt.sp.jedit.gui.LogViewer.setFilter()
80,1593389,org.gjt.sp.jedit.io.FileVFS.recursiveDelete(File)
160,1593464,org.gjt.sp.jedit.browser.FileCellRenderer.propertiesChanged()
950,1593523,"org.gjt.sp.jedit.search.HyperSearchOperationNode.restoreFlatNodes(JTree,DefaultMutableTreeNode)"
2444,1593526,org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()
4020,1593543,"org.gjt.sp.jedit.BufferHistory.Entry.Entry(String,int,String,String,String)"
79,1593576,"org.gjt.sp.jedit.buffer.JEditBuffer.getIdealIndentForLine(int,int,int)"
821,1593735,"org.gjt.sp.jedit.gui.OptionsDialog.init(String,String)"
1,1594234,"org.gjt.sp.jedit.search.SearchBar.timerIncrementalSearch(int,boolean)"
211,1594910,org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)
79,1599024,org.gjt.sp.jedit.menu.ReloadWithEncodingProvider.update(JMenu)
3081,1599709,org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)
4769,1600401,"org.gjt.sp.jedit.syntax.TokenMarker.handleRule(ParserRule,boolean)"
82,1601718,org.gjt.sp.jedit.search.SearchAndReplace.replaceAll(View)
73,1608486,org.gjt.sp.jedit.textarea.TextAreaPainter.setThickCaretEnabled(boolean)
1,1608948,org.gjt.sp.jedit.browser.VFSBrowser.HistoryComboBoxEditor.processFocusEvent(FocusEvent)
1,1611766,org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)
259,1617509,org.gjt.sp.jedit.io.GlobVFSFileFilter.accept(VFSFile)
845,1620694,org.gjt.sp.jedit.textarea.TextArea.foldStructureChanged()
2536,1628053,"org.gjt.sp.jedit.EditPane.setBuffer(Buffer,boolean)"
119,1630805,org.gjt.sp.jedit.syntax.TokenMarker.checkDelegateEnd(ParserRule)
12,1638642,org.gjt.sp.jedit.GUIUtilities.initContinuousLayout(JSplitPane)
7290,1641997,org.gjt.sp.jedit.options.GeneralOptionPane._init()
5313,1642574,org.gjt.sp.jedit.EditPane.propertiesChanged()
225,1645528,org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.skipRemote(String)
94,1646058,org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()
276,1649033,"org.gjt.sp.jedit.browser.VFSFileChooserDialog.VFSFileChooserDialog(Dialog,View,String,int,boolean,boolean)"
7243,1654543,"org.gjt.sp.jedit.gui.VariableGridLayout.getLayoutSize(Container,LayoutSize)"
378,1658252,"org.gjt.sp.jedit.syntax.ParserRule.createRegexpEOLSpanRule(char,int,String,ParserRuleSet,byte,byte,boolean)"
2808,1659666,"org.gjt.sp.jedit.TextUtilities.getComplementaryBracket(char,boolean[])"
