rank,id,item
44,950961,org.gjt.sp.jedit.textarea.BufferHandler
295,981012,org.gjt.sp.jedit.syntax.Chunk
63,1193683,org.gjt.sp.jedit.textarea.BufferHandler
29,1292706,org.gjt.sp.jedit.GUIUtilities
179,1382388,org.gjt.sp.jedit.Mode
3,1500938,org.gjt.sp.jedit.search.SearchDialog
1,1520769,org.gjt.sp.jedit.options.SaveBackupOptionPane
46,1520774,org.gjt.sp.jedit.MiscUtilities
64,1533473,org.gjt.sp.jedit.EditPane
52,1536064,org.gjt.sp.jedit.GUIUtilities
48,1538051,org.gjt.sp.jedit.jEdit
4,1538702,org.gjt.sp.jedit.pluginmgr.PluginManager
31,1538743,org.gjt.sp.jedit.options.ToolBarEditDialog
1,1541009,org.gjt.sp.jedit.search.SearchAndReplace
15,1541372,org.gjt.sp.jedit.textarea.JEditTextArea
712,1542026,org.gjt.sp.jedit.jEdit.MyFocusManager
1,1546200,org.gjt.sp.jedit.menu.RecentFilesProvider
269,1548902,org.gjt.sp.jedit.textarea.JEditTextArea
21,1549282,org.gjt.sp.jedit.Buffer
2,1560006,org.gjt.sp.jedit.search.SearchDialog
30,1560584,org.gjt.sp.jedit.textarea.TextArea
1,1565447,org.gjt.sp.jedit.search.HyperSearchFileNode
6,1569735,org.gjt.sp.jedit.syntax.XModeHandler
24,1570554,org.gjt.sp.jedit.browser.VFSFileChooserDialog
3,1571629,org.gjt.sp.jedit.browser.VFSBrowser
22,1571752,org.gjt.sp.jedit.textarea.TextArea
18,1574587,org.gjt.sp.jedit.buffer.UndoManager
136,1575505,org.gjt.sp.jedit.textarea.TextArea
5,1576535,org.gjt.sp.jedit.EditPane
22,1578785,org.gjt.sp.jedit.jEdit
167,1584436,org.gjt.sp.jedit.textarea.Anchor
67,1589360,org.gjt.sp.jedit.textarea.TextAreaMouseHandler
32,1593359,org.gjt.sp.jedit.gui.InputHandler
69,1593375,org.gjt.sp.jedit.gui.LogViewer
28,1593389,org.gjt.sp.jedit.io.FileVFS
14,1593464,org.gjt.sp.jedit.options.BrowserOptionPane
18,1593523,org.gjt.sp.jedit.search.HyperSearchOperationNode
16,1593526,org.gjt.sp.jedit.search.HyperSearchResults
38,1593543,org.gjt.sp.jedit.Buffer
9,1593576,org.gjt.sp.jedit.buffer.JEditBuffer
6,1593735,org.gjt.sp.jedit.gui.OptionsDialog
4,1594234,org.gjt.sp.jedit.search.SearchBar
