rank,id,item
11,950961,"org.gjt.sp.jedit.buffer.JEditBuffer.contentInserted(int,int,IntegerArray)"
6769,981012,"org.gjt.sp.jedit.syntax.Chunk.init(Segment,TabExpander,float,FontRenderContext)"
63,1193683,org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)
69,1292706,"org.gjt.sp.jedit.GUIUtilities.saveGeometry(Window,String)"
400,1382388,org.gjt.sp.jedit.buffer.JEditBuffer.getPriorNonEmptyLine(int)
5768,1500938,"org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)"
2942,1520769,org.gjt.sp.jedit.Buffer.removeAutosaveFile()
633,1520774,org.gjt.sp.jedit.MiscUtilities.getPathStart(String)
7000,1533473,org.gjt.sp.jedit.EditPane.saveCaretInfo()
846,1536064,"org.gjt.sp.jedit.GUIUtilities.requestFocus(Window,Component)"
2485,1538051,"org.gjt.sp.jedit.gui.StatusBar.statusUpdate(WorkThreadPool,int)"
375,1538702,org.gjt.sp.jedit.PluginJAR.getDependentPlugins()
6487,1538743,org.gjt.sp.jedit.options.ToolBarEditDialog.updateList()
6662,1541009,"org.gjt.sp.jedit.search.SearchAndReplace._replace(View,JEditBuffer,SearchMatcher,int,int,boolean)"
7138,1541372,org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mousePressed(MouseEvent)
6340,1542026,org.gjt.sp.jedit.jEdit.MyFocusManager.postProcessKeyEvent(KeyEvent)
7215,1546200,org.gjt.sp.jedit.menu.RecentFilesProvider.update(JMenu)
483,1548902,"org.gjt.sp.jedit.TextUtilities.spacesToTabs(String,int)"
4996,1549282,"org.gjt.sp.jedit.Buffer.save(View,String,boolean)"
6046,1560006,"org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)"
7247,1560584,"org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)"
123,1565447,org.gjt.sp.jedit.search.HyperSearchFileNode.getCount()
7303,1569735,"org.gjt.sp.jedit.syntax.XModeHandler.endElement(String,String,String)"
5319,1570554,org.gjt.sp.jedit.browser.VFSBrowser.setDirectory(String)
121,1571629,org.gjt.sp.jedit.browser.VFSBrowser.updateFilterEnabled()
4326,1571752,org.gjt.sp.jedit.textarea.TextArea.userInput(char)
1896,1574587,org.gjt.sp.jedit.buffer.UndoManager.resetClearDirty()
5480,1575505,org.gjt.sp.jedit.textarea.TextArea.joinLineAt(int)
7109,1576535,org.gjt.sp.jedit.EditPane.loadCaretInfo()
24,1578785,org.gjt.sp.jedit.Buffer.setAutoReload(boolean)
7031,1589360,org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doSingleDrag(MouseEvent)
7132,1593359,"org.gjt.sp.jedit.gui.InputHandler.processKeyEvent(KeyEvent,int,boolean)"
465,1593375,org.gjt.sp.jedit.gui.LogViewer.setFilter()
3393,1593389,org.gjt.sp.jedit.io.FileVFS.recursiveDelete(File)
621,1593464,org.gjt.sp.jedit.browser.FileCellRenderer.propertiesChanged()
6480,1593523,"org.gjt.sp.jedit.search.HyperSearchOperationNode.restoreFlatNodes(JTree,DefaultMutableTreeNode)"
6831,1593526,org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()
3670,1593543,"org.gjt.sp.jedit.BufferHistory.Entry.Entry(String,int,String,String,String)"
5888,1593576,org.gjt.sp.jedit.buffer.JEditBuffer.getIdealIndentForLine(int)
6110,1593735,"org.gjt.sp.jedit.gui.OptionsDialog.PaneNameRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)"
3823,1594234,"org.gjt.sp.jedit.search.SearchBar.timerIncrementalSearch(int,boolean)"
817,1594910,org.gjt.sp.jedit.Mode.getIndentRules()
2773,1599024,org.gjt.sp.jedit.menu.ReloadWithEncodingProvider.updateEveryTime()
1384,1599709,org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)
27,1600401,"org.gjt.sp.jedit.syntax.TokenMarker.handleRule(ParserRule,boolean)"
3080,1601718,org.gjt.sp.jedit.search.SearchAndReplace.replaceAll(View)
8,1608486,org.gjt.sp.jedit.textarea.TextAreaPainter.isThickCaretEnabled()
1,1608948,org.gjt.sp.jedit.browser.VFSBrowser.HistoryComboBoxEditor.processFocusEvent(FocusEvent)
3,1611766,org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)
1127,1617509,org.gjt.sp.jedit.io.GlobVFSFileFilter.setGlob(String)
590,1620694,org.gjt.sp.jedit.textarea.TextArea.foldStructureChanged()
5255,1628053,org.gjt.sp.jedit.gui.BufferSwitcher.updateBufferList()
4126,1630805,org.gjt.sp.jedit.syntax.ParserRule.createEscapeRule(String)
2666,1638642,org.gjt.sp.jedit.browser.BrowserView.propertiesChanged()
7285,1641997,org.gjt.sp.jedit.options.GeneralOptionPane._init()
7014,1642574,org.gjt.sp.jedit.options.ViewOptionPane._save()
825,1645528,org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.skipRemote(String)
485,1646058,org.gjt.sp.jedit.search.HyperSearchResults.KeyHandler.keyPressed(KeyEvent)
54,1649033,"org.gjt.sp.jedit.browser.VFSFileChooserDialog.VFSFileChooserDialog(View,String,int,boolean,boolean)"
7031,1654543,"org.gjt.sp.jedit.gui.VariableGridLayout.getLayoutSize(Container,LayoutSize)"
4009,1658252,org.gjt.sp.jedit.syntax.ParserRule.createEscapeRule(String)
238,1659666,"org.gjt.sp.jedit.TextUtilities.getComplementaryBracket(char,boolean[])"
5921,1663617,"org.gjt.sp.jedit.jEdit.openFile(View,String,String,boolean,Hashtable)"
26,1664900,"org.gjt.sp.jedit.indent.OpenBracketIndentRule.apply(JEditBuffer,int,int,int,List<IndentAction>)"
6804,1668893,"org.gjt.sp.jedit.bufferio.BufferIORequest.write(Buffer,OutputStream)"
6264,1671312,org.gjt.sp.jedit.search.SearchAndReplace.getSearchMatcher()
5111,1676041,org.gjt.sp.jedit.options.EditingOptionPane._save()
6843,1687264,org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()
941,1694133,org.gjt.sp.jedit.browser.VFSBrowser.nextDirectory()
4509,1708876,org.gjt.sp.jedit.MiscUtilities.getFileExtension(String)
6596,1708881,org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.MouseHandler.mousePressed(MouseEvent)
