rank,id,item
1,950961,org.gjt.sp.jedit.textarea.BufferHandler
1117,981012,org.gjt.sp.jedit.syntax.Chunk
2,1193683,org.gjt.sp.jedit.textarea.BufferHandler
101,1292706,org.gjt.sp.jedit.GUIUtilities
30,1382388,org.gjt.sp.jedit.indent.IndentAction.NoIncrease
1,1500938,org.gjt.sp.jedit.search.SearchDialog
1,1520769,org.gjt.sp.jedit.options.SaveBackupOptionPane
689,1520774,org.gjt.sp.jedit.MiscUtilities
82,1533473,org.gjt.sp.jedit.EditPane
1180,1536064,org.gjt.sp.jedit.GUIUtilities
939,1538051,org.gjt.sp.jedit.gui.StatusBar
4,1538702,org.gjt.sp.jedit.PluginJAR
1118,1538743,org.gjt.sp.jedit.options.ToolBarEditDialog
2,1541009,org.gjt.sp.jedit.search.SearchAndReplace
53,1541372,org.gjt.sp.jedit.textarea.JEditTextArea
594,1542026,org.gjt.sp.jedit.jEdit.MyFocusManager
1,1546200,org.gjt.sp.jedit.menu.RecentFilesProvider
47,1548902,org.gjt.sp.jedit.textarea.JEditTextArea
345,1549282,org.gjt.sp.jedit.Buffer
1,1560006,org.gjt.sp.jedit.search.SearchDialog
1114,1560584,org.gjt.sp.jedit.textarea.TextArea
1,1565447,org.gjt.sp.jedit.search.HyperSearchFileNode
3,1569735,org.gjt.sp.jedit.syntax.XModeHandler
95,1570554,org.gjt.sp.jedit.browser.VFSBrowser
167,1571629,org.gjt.sp.jedit.browser.VFSBrowser
1109,1571752,org.gjt.sp.jedit.textarea.TextArea
1,1574587,org.gjt.sp.jedit.buffer.UndoManager
1113,1575505,org.gjt.sp.jedit.textarea.TextArea
355,1576535,org.gjt.sp.jedit.EditPane
12,1578785,org.gjt.sp.jedit.jEdit
40,1584436,org.gjt.sp.jedit.textarea.Anchor
1167,1589360,org.gjt.sp.jedit.textarea.TextAreaMouseHandler
738,1593359,org.gjt.sp.jedit.gui.InputHandler
1095,1593375,org.gjt.sp.jedit.gui.LogViewer
1,1593389,org.gjt.sp.jedit.io.FileVFS
7,1593464,org.gjt.sp.jedit.browser.FileCellRenderer
5,1593523,org.gjt.sp.jedit.search.HyperSearchOperationNode
805,1593526,org.gjt.sp.jedit.search.HyperSearchResults
9,1593543,org.gjt.sp.jedit.BufferHistory
1156,1593576,org.gjt.sp.util.StandardUtilities
29,1593735,org.gjt.sp.jedit.gui.OptionsDialog
1,1594234,org.gjt.sp.jedit.search.SearchBar
351,1594910,org.gjt.sp.jedit.Buffer
1,1599024,org.gjt.sp.jedit.menu.ReloadWithEncodingProvider
1181,1599709,org.gjt.sp.jedit.buffer.JEditBuffer
1169,1600401,org.gjt.sp.jedit.syntax.TokenMarker
573,1601718,org.gjt.sp.jedit.search.SearchAndReplace
2,1608486,org.gjt.sp.jedit.options.TextAreaOptionPane
1,1608948,org.gjt.sp.jedit.browser.VFSBrowser.HistoryComboBoxEditor
3,1611766,org.gjt.sp.jedit.buffer.JEditBuffer
3,1617509,org.gjt.sp.jedit.io.GlobVFSFileFilter
1,1620694,org.gjt.sp.jedit.textarea.TextArea
3,1628053,org.gjt.sp.jedit.EditPane
1163,1630805,org.gjt.sp.jedit.syntax.ParserRule
1,1638642,org.gjt.sp.jedit.View
1138,1641997,org.gjt.sp.jedit.options.GeneralOptionPane
2,1642574,org.gjt.sp.jedit.EditPane
18,1645528,org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler
2,1646058,org.gjt.sp.jedit.search.HyperSearchResults
10,1649033,org.gjt.sp.jedit.search.SearchDialog.MultiFileActionHandler
1172,1654543,org.gjt.sp.jedit.gui.VariableGridLayout
963,1658252,org.gjt.sp.jedit.syntax.XModeHandler
1170,1659666,org.gjt.sp.jedit.syntax.TokenMarker
1005,1663617,org.gjt.sp.jedit.jEdit
18,1664900,org.gjt.sp.jedit.indent.IndentAction.Collapse
551,1668893,org.gjt.sp.jedit.bufferio.BufferIORequest
7,1671312,org.gjt.sp.jedit.search.PatternSearchMatcher
4,1676041,org.gjt.sp.jedit.options.EditingOptionPane
798,1687264,org.gjt.sp.jedit.search.HyperSearchResults
9,1694133,org.gjt.sp.jedit.browser.VFSBrowser
662,1708876,org.gjt.sp.jedit.MiscUtilities
16,1708881,org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.MouseHandler
819,1723506,org.gjt.sp.jedit.textarea.JEditTextArea
79,1724940,org.gjt.sp.jedit.textarea.BufferHandler
11,1730845,org.gjt.sp.jedit.options.GutterOptionPane
873,1739675,org.gjt.sp.jedit.indent.WhitespaceRule
4,1744674,org.gjt.sp.jedit.search.HyperSearchResults
11,1747300,org.gjt.sp.jedit.options.GutterOptionPane
3,1748509,org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton
95,1749475,org.gjt.sp.jedit.options.ShortcutsOptionPane.TableMouseHandler
3,1768638,org.gjt.sp.jedit.options.GeneralOptionPane
7,1781853,org.gjt.sp.jedit.pluginmgr.InstallPanel.HeaderRenderer
1,1788847,org.gjt.sp.jedit.options.SyntaxHiliteOptionPane.MouseHandler
1,1789707,org.gjt.sp.jedit.io.XMLEncodingDetector
1,1818140,org.gjt.sp.jedit.gui.HistoryText
65,1825720,org.gjt.sp.jedit.bufferio.BufferAutosaveRequest
11,1834620,org.gjt.sp.jedit.search.SearchAndReplace
61,1854542,org.gjt.sp.jedit.browser.VFSBrowser
817,1866836,org.gjt.sp.jedit.gui.CompleteWord.Words
998,1869978,org.gjt.sp.jedit.jEdit
1,1883809,org.gjt.sp.jedit.textarea.TextArea
6,1887293,org.gjt.sp.jedit.search.SearchBar
1,1894235,org.gjt.sp.jedit.search.SearchBar
37,1906288,org.gjt.sp.jedit.textarea.Anchor
1,1910061,org.gjt.sp.jedit.textarea.TextArea
124,1912735,org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget
34,1913979,org.gjt.sp.jedit.search.SearchDialog
1,1923613,org.gjt.sp.jedit.search.PatternSearchMatcher
