rank,id,item
109,950961,org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)
7032,981012,"org.gjt.sp.jedit.syntax.Chunk.init(Segment,TabExpander,float,FontRenderContext)"
74,1193683,org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)
5712,1292706,"org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,String)"
178,1382388,org.gjt.sp.jedit.indent.IndentAction.NoIncrease.keepChecking()
139,1500938,"org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)"
4,1520769,org.gjt.sp.jedit.options.SaveBackupOptionPane._init()
3964,1520774,org.gjt.sp.jedit.MiscUtilities.getPathStart(String)
171,1533473,org.gjt.sp.jedit.EditPane.saveCaretInfo()
1597,1536064,"org.gjt.sp.jedit.GUIUtilities.requestFocus(Window,Component)"
98,1538051,org.gjt.sp.jedit.jEdit.showMemoryDialog(View)
72,1538702,"org.gjt.sp.jedit.jEdit.getPlugin(String,boolean)"
636,1538743,org.gjt.sp.jedit.options.ToolBarEditDialog.updateList()
354,1541009,org.gjt.sp.jedit.search.SearchAndReplace.replace(View)
788,1541372,org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mousePressed(MouseEvent)
422,1542026,org.gjt.sp.jedit.jEdit.MyFocusManager.postProcessKeyEvent(KeyEvent)
83,1546200,org.gjt.sp.jedit.menu.RecentFilesProvider.update(JMenu)
737,1548902,org.gjt.sp.jedit.textarea.JEditTextArea.formatParagraph()
119,1549282,"org.gjt.sp.jedit.Buffer.save(View,String,boolean)"
69,1560006,"org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)"
3559,1560584,"org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)"
78,1565447,org.gjt.sp.jedit.search.HyperSearchResults.ResultCellRenderer.CountNodes.processNode(DefaultMutableTreeNode)
370,1569735,"org.gjt.sp.jedit.syntax.XModeHandler.endElement(String,String,String)"
232,1570554,org.gjt.sp.jedit.browser.VFSBrowser.setDirectory(String)
80,1571629,"org.gjt.sp.jedit.browser.VFSBrowser.VFSBrowser(View,String,int,boolean,String)"
13,1571752,"org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)"
80,1574587,org.gjt.sp.jedit.options.EditingOptionPane._save()
1490,1575505,org.gjt.sp.jedit.textarea.TextArea.joinLineAt(int)
7236,1576535,org.gjt.sp.jedit.EditPane.loadCaretInfo()
78,1578785,org.gjt.sp.jedit.Buffer.getAutoReloadDialog()
4216,1589360,org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doSingleClick(MouseEvent)
1201,1593359,"org.gjt.sp.jedit.gui.InputHandler.processKeyEvent(KeyEvent,int,boolean)"
71,1593375,org.gjt.sp.jedit.gui.LogViewer.LogViewer()
162,1593389,org.gjt.sp.jedit.io.FileVFS.recursiveDelete(File)
323,1593464,org.gjt.sp.jedit.browser.FileCellRenderer.propertiesChanged()
73,1593523,"org.gjt.sp.jedit.search.HyperSearchOperationNode.restoreFlatNodes(JTree,DefaultMutableTreeNode)"
180,1593526,org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()
