rank,id,item
899,950961,org.gjt.sp.jedit.buffer.BufferAdapter
1036,981012,org.gjt.sp.jedit.syntax.Chunk
1128,1193683,org.gjt.sp.jedit.textarea.BufferHandler
1177,1292706,org.gjt.sp.jedit.GUIUtilities
132,1382388,org.gjt.sp.jedit.indent.IndentAction.NoIncrease
1168,1500938,org.gjt.sp.jedit.search.SearchDialog
716,1520769,org.gjt.sp.jedit.Autosave
1172,1520774,org.gjt.sp.jedit.MiscUtilities
1179,1533473,org.gjt.sp.jedit.EditPane
1177,1536064,org.gjt.sp.jedit.GUIUtilities
1084,1538051,org.gjt.sp.jedit.gui.StatusBar
277,1538702,org.gjt.sp.jedit.gui.ErrorListDialog.ActionHandler
1121,1538743,org.gjt.sp.jedit.options.ToolBarEditDialog
291,1541009,org.gjt.sp.jedit.search.SearchMatcher
995,1541372,org.gjt.sp.jedit.textarea.Gutter.MouseHandler
606,1542026,org.gjt.sp.jedit.jEdit.MyFocusManager
947,1546200,org.gjt.sp.jedit.menu.RecentFilesProvider
630,1548902,org.gjt.sp.jedit.textarea.JEditTextArea
1175,1549282,org.gjt.sp.jedit.Buffer
1170,1560006,org.gjt.sp.jedit.search.SearchDialog
1182,1560584,org.gjt.sp.jedit.textarea.TextArea
400,1565447,org.gjt.sp.jedit.search.HyperSearchResults.ResultCellRenderer.CountNodes
1133,1569735,org.gjt.sp.jedit.syntax.XModeHandler
809,1570554,org.gjt.sp.jedit.browser.VFSBrowser.ActionHandler
806,1571629,org.gjt.sp.jedit.browser.VFSBrowser.ActionHandler
1182,1571752,org.gjt.sp.jedit.textarea.TextArea
983,1574587,org.gjt.sp.jedit.bufferio.BufferSaveRequest
1182,1575505,org.gjt.sp.jedit.textarea.TextArea
1179,1576535,org.gjt.sp.jedit.EditPane
192,1578785,org.gjt.sp.jedit.gui.BufferOptions.ActionHandler
934,1584436,org.gjt.sp.jedit.textarea.Anchor
1151,1589360,org.gjt.sp.jedit.textarea.TextAreaMouseHandler
1102,1593359,org.gjt.sp.jedit.gui.InputHandler
973,1593375,org.gjt.sp.jedit.gui.LogViewer
1107,1593389,org.gjt.sp.jedit.io.FileVFS
861,1593464,org.gjt.sp.jedit.io.FileVFS.LocalFile
1110,1593523,org.gjt.sp.jedit.search.HyperSearchOperationNode
1110,1593526,org.gjt.sp.jedit.search.HyperSearchResults
475,1593543,org.gjt.sp.jedit.BufferHistory.Entry
1121,1593576,org.gjt.sp.util.StandardUtilities
719,1593735,org.gjt.sp.jedit.gui.OptionsDialog.PaneNameRenderer
946,1594234,org.gjt.sp.jedit.OptionGroup
1071,1594910,org.gjt.sp.jedit.Mode
876,1599024,org.gjt.sp.jedit.menu.ReloadWithEncodingProvider
1175,1599709,org.gjt.sp.jedit.buffer.JEditBuffer
379,1600401,org.gjt.sp.jedit.syntax.TokenMarker
1165,1601718,org.gjt.sp.jedit.search.SearchAndReplace
588,1608486,org.gjt.sp.jedit.textarea.TextAreaPainter.PaintCaret
748,1608948,org.gjt.sp.jedit.browser.VFSBrowser.HistoryComboBoxEditor
1170,1611766,org.gjt.sp.jedit.buffer.JEditBuffer
688,1617509,org.gjt.sp.jedit.io.GlobVFSFileFilter
1128,1620694,org.gjt.sp.jedit.textarea.BufferHandler
561,1628053,org.gjt.sp.jedit.gui.BufferSwitcher
1135,1630805,org.gjt.sp.jedit.syntax.ParserRule
783,1638642,org.gjt.sp.jedit.GUIUtilities.SizeSaver
1105,1641997,org.gjt.sp.jedit.options.GeneralOptionPane
1102,1642574,org.gjt.sp.jedit.options.ViewOptionPane
883,1645528,org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler
1,1646058,org.gjt.sp.jedit.search.HyperSearchResults.RemoveTreeNodeAction
529,1649033,org.gjt.sp.jedit.search.SearchDialog.MultiFileActionHandler
1144,1654543,org.gjt.sp.jedit.gui.VariableGridLayout
1021,1658252,org.gjt.sp.jedit.syntax.XModeHandler.TagDecl
1152,1659666,org.gjt.sp.jedit.syntax.TokenMarker
1183,1663617,org.gjt.sp.jedit.jEdit
2,1664900,org.gjt.sp.jedit.indent.IndentAction.Collapse
1034,1668893,org.gjt.sp.jedit.bufferio.BufferIORequest
980,1671312,org.gjt.sp.jedit.search.PatternSearchMatcher
1045,1676041,org.gjt.sp.jedit.options.EditingOptionPane.ModeProperties
1111,1687264,org.gjt.sp.jedit.search.HyperSearchResults
926,1694133,org.gjt.sp.jedit.browser.BrowserView.ParentDirectoryList
1174,1708876,org.gjt.sp.jedit.MiscUtilities
604,1708881,org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.MouseHandler
1092,1723506,org.gjt.sp.jedit.textarea.JEditTextArea
1128,1724940,org.gjt.sp.jedit.textarea.BufferHandler
1000,1730845,org.gjt.sp.jedit.textarea.Gutter.MouseHandler
591,1739675,org.gjt.sp.jedit.indent.WhitespaceRule
687,1744674,org.gjt.sp.jedit.search.HyperSearchFileNode
61,1747300,org.gjt.sp.jedit.textarea.CircleFoldPainter
50,1748509,org.gjt.sp.jedit.pluginmgr.InstallPanel.StringMapHandler
407,1749475,org.gjt.sp.jedit.options.ShortcutsOptionPane.TableMouseHandler
15,1768638,org.gjt.sp.jedit.View.WindowHandler
265,1781853,org.gjt.sp.jedit.pluginmgr.InstallPanel.HeaderMouseHandler
196,1788847,org.gjt.sp.jedit.options.SyntaxHiliteOptionPane.MouseHandler
789,1789707,org.gjt.sp.jedit.io.XMLEncodingDetector
770,1818140,org.gjt.sp.jedit.gui.ListModelEditor
605,1825720,org.gjt.sp.jedit.bufferio.BufferAutosaveRequest
1165,1834620,org.gjt.sp.jedit.search.SearchAndReplace
1172,1854542,org.gjt.sp.jedit.browser.VFSBrowser
636,1866836,org.gjt.sp.jedit.gui.CompleteWord.Words
1183,1869978,org.gjt.sp.jedit.jEdit
1182,1883809,org.gjt.sp.jedit.textarea.TextArea
280,1887293,org.gjt.sp.jedit.search.SearchBar.KeyHandler
230,1894235,org.gjt.sp.jedit.search.SearchBar.KeyHandler
125,1906288,org.gjt.sp.jedit.textarea.Anchor
1182,1910061,org.gjt.sp.jedit.textarea.TextArea
396,1912735,org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory
1166,1913979,org.gjt.sp.jedit.search.SearchDialog
982,1923613,org.gjt.sp.jedit.search.PatternSearchMatcher
1099,1931333,org.gjt.sp.jedit.gui.CompleteWord
291,1936518,org.gjt.sp.jedit.gui.FilePropertiesDialog.ButtonActionHandler
1161,1942313,org.gjt.sp.jedit.textarea.DisplayManager
1010,1947676,org.gjt.sp.jedit.search.HyperSearchRequest
888,1961989,org.gjt.sp.jedit.gui.AbstractContextOptionPane.ActionHandler
1129,1965114,org.gjt.sp.jedit.browser.VFSDirectoryEntryTable
1124,1984000,org.gjt.sp.jedit.bufferset.BufferSet
1112,1984974,org.gjt.sp.jedit.options.StatusBarOptionPane
1127,1999448,org.gjt.sp.jedit.textarea.BufferHandler
1052,2015210,org.gjt.sp.jedit.options.SaveBackupOptionPane
876,2017514,org.gjt.sp.jedit.textarea.MouseHandler
1180,2060078,org.gjt.sp.jedit.View
881,2068307,org.gjt.sp.jedit.gui.CloseDialog
984,2069249,org.gjt.sp.jedit.search.PatternSearchMatcher
1052,2077326,org.gjt.sp.jedit.options.SaveBackupOptionPane
1175,2089713,org.gjt.sp.jedit.Buffer
624,2091052,org.gjt.sp.jedit.bufferset.BufferSetManager.BufferSetClosed
412,2122926,org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorHighlight.MyMouseAdapter
758,2129419,org.gjt.sp.jedit.gui.CloseDialog.ListHandler
1165,2169354,org.gjt.sp.jedit.search.SearchAndReplace
987,2173091,org.gjt.sp.jedit.search.PatternSearchMatcher
1014,2173112,org.gjt.sp.jedit.search.HyperSearchRequest
181,2183929,org.gjt.sp.jedit.bufferset.BufferSetAdapter
925,2199003,org.gjt.sp.jedit.options.WindowTableModel
1173,2218621,org.gjt.sp.jedit.MiscUtilities
1086,2220025,org.gjt.sp.jedit.gui.StatusBar
34,2220033,org.gjt.sp.jedit.gui.StatusBar.MouseHandler
511,2446121,org.gjt.sp.jedit.search.HyperSearchResults.ActionHandler
969,2555956,org.gjt.sp.jedit.gui.AboutDialog.AboutPanel
1099,2569381,org.gjt.sp.jedit.gui.CompleteWord
1182,2596087,org.gjt.sp.jedit.textarea.TextArea
1093,2646484,org.gjt.sp.jedit.textarea.JEditTextArea
1106,2668434,org.gjt.sp.jedit.options.ViewOptionPane
327,2688862,org.gjt.sp.jedit.search.HyperSearchResults.RedoSearchAction
1000,2696564,org.gjt.sp.jedit.textarea.Gutter.MouseHandler
1175,2744708,org.gjt.sp.jedit.Buffer
639,2759434,org.gjt.sp.util.StandardUtilities
749,2762745,org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton
1147,2777073,org.gjt.sp.jedit.textarea.Gutter
921,2781716,org.gjt.sp.jedit.search.HyperSearchResults.HighlightingTree
1182,2814857,org.gjt.sp.jedit.textarea.TextArea
1180,2823909,org.gjt.sp.jedit.View
1180,2824045,org.gjt.sp.jedit.View
548,2842444,org.gjt.sp.jedit.search.HyperSearchResults.ActionHandler
776,2844750,org.gjt.sp.jedit.textarea.TextAreaPainter.PaintLineBackground
914,2846169,org.gjt.sp.jedit.buffer.FoldHandler
1178,2882702,org.gjt.sp.jedit.GUIUtilities
701,2887515,org.gjt.sp.jedit.gui.AboutDialog
513,2887516,org.gjt.sp.jedit.search.HyperSearchResults.ResultTreeTransferHandler
518,2896464,org.gjt.sp.jedit.search.HyperSearchResults.ResultTreeTransferHandler
1090,2911122,org.gjt.sp.jedit.JARClassLoader
