rank,id,item
15,950961,"org.gjt.sp.jedit.buffer.JEditBuffer.firePreContentRemoved(int,int,int,int)"
6758,981012,"org.gjt.sp.jedit.syntax.Chunk.init(Segment,TabExpander,float,FontRenderContext)"
116,1193683,org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)
1108,1292706,"org.gjt.sp.jedit.GUIUtilities.saveGeometry(Window,String)"
630,1382388,"org.gjt.sp.jedit.indent.WhitespaceRule.apply(JEditBuffer,int,int,int,List<IndentAction>)"
5650,1500938,"org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)"
3107,1520769,org.gjt.sp.jedit.Buffer.removeAutosaveFile()
3080,1520774,org.gjt.sp.jedit.MiscUtilities.getPathStart(String)
6890,1533473,org.gjt.sp.jedit.EditPane.saveCaretInfo()
1059,1536064,"org.gjt.sp.jedit.GUIUtilities.requestFocus(Window,Component)"
2648,1538051,"org.gjt.sp.jedit.gui.StatusBar.statusUpdate(WorkThreadPool,int)"
610,1538702,org.gjt.sp.jedit.PluginJAR.getDependentPlugins()
6434,1538743,org.gjt.sp.jedit.options.ToolBarEditDialog.updateList()
6612,1541009,"org.gjt.sp.jedit.search.SearchAndReplace._replace(View,JEditBuffer,SearchMatcher,int,int,boolean)"
7139,1541372,org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mousePressed(MouseEvent)
6240,1542026,org.gjt.sp.jedit.jEdit.MyFocusManager.postProcessKeyEvent(KeyEvent)
7150,1546200,org.gjt.sp.jedit.menu.RecentFilesProvider.update(JMenu)
310,1548902,"org.gjt.sp.jedit.TextUtilities.formatParagraph(String,int,int,StringBuilder)"
4532,1549282,"org.gjt.sp.jedit.Buffer.save(View,String,boolean)"
5737,1560006,"org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)"
7249,1560584,"org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)"
888,1565447,org.gjt.sp.jedit.search.HyperSearchFileNode.getCount()
7301,1569735,"org.gjt.sp.jedit.syntax.XModeHandler.endElement(String,String,String)"
4909,1570554,org.gjt.sp.jedit.browser.VFSBrowser.setDirectory(String)
22,1571629,org.gjt.sp.jedit.browser.VFSBrowser.updateFilterEnabled()
5048,1571752,org.gjt.sp.jedit.textarea.TextArea.userInput(char)
2518,1574587,org.gjt.sp.jedit.buffer.UndoManager.resetClearDirty()
5069,1575505,org.gjt.sp.jedit.textarea.TextArea.joinLineAt(int)
7100,1576535,org.gjt.sp.jedit.EditPane.loadCaretInfo()
173,1578785,org.gjt.sp.jedit.Buffer.getAutoReloadDialog()
7120,1589360,org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doSingleDrag(MouseEvent)
7075,1593359,"org.gjt.sp.jedit.gui.InputHandler.processKeyEvent(KeyEvent,int,boolean)"
