rank,id,item
6,950961,org.gjt.sp.jedit.textarea.BufferHandler
510,981012,org.gjt.sp.jedit.syntax.Chunk
86,1193683,org.gjt.sp.jedit.textarea.BufferHandler
83,1292706,org.gjt.sp.jedit.GUIUtilities
163,1382388,org.gjt.sp.jedit.indent.IndentAction.NoIncrease
4,1500938,org.gjt.sp.jedit.search.SearchDialog
2,1520769,org.gjt.sp.jedit.options.SaveBackupOptionPane
31,1520774,org.gjt.sp.jedit.MiscUtilities
41,1533473,org.gjt.sp.jedit.EditPane
185,1536064,org.gjt.sp.jedit.GUIUtilities
20,1538051,org.gjt.sp.jedit.gui.StatusBar
3,1538702,org.gjt.sp.jedit.PluginJAR
59,1538743,org.gjt.sp.jedit.options.ToolBarEditDialog
1,1541009,org.gjt.sp.jedit.search.SearchAndReplace
2,1541372,org.gjt.sp.jedit.textarea.JEditTextArea
61,1542026,org.gjt.sp.jedit.jEdit.MyFocusManager
5,1546200,org.gjt.sp.jedit.menu.RecentFilesProvider
379,1548902,org.gjt.sp.jedit.TextUtilities
9,1549282,org.gjt.sp.jedit.Buffer
11,1560006,org.gjt.sp.jedit.search.SearchDialog
159,1560584,org.gjt.sp.jedit.textarea.TextArea
2,1565447,org.gjt.sp.jedit.search.HyperSearchResults.ResultCellRenderer.CountNodes
4,1569735,org.gjt.sp.jedit.syntax.XModeHandler
77,1570554,org.gjt.sp.jedit.browser.VFSBrowser
8,1571629,org.gjt.sp.jedit.browser.VFSBrowser
40,1571752,org.gjt.sp.jedit.textarea.TextArea
4,1574587,org.gjt.sp.jedit.buffer.UndoManager
322,1575505,org.gjt.sp.jedit.textarea.TextArea
20,1576535,org.gjt.sp.jedit.EditPane
2,1578785,org.gjt.sp.jedit.options.GeneralOptionPane
364,1584436,org.gjt.sp.jedit.textarea.Anchor
1,1589360,org.gjt.sp.jedit.textarea.TextAreaMouseHandler
71,1593359,org.gjt.sp.jedit.gui.InputHandler
44,1593375,org.gjt.sp.jedit.gui.LogViewer
18,1593389,org.gjt.sp.jedit.browser.VFSBrowser
10,1593464,org.gjt.sp.jedit.browser.FileCellRenderer
35,1593523,org.gjt.sp.jedit.search.HyperSearchOperationNode
14,1593526,org.gjt.sp.jedit.search.HyperSearchResults
17,1593543,org.gjt.sp.jedit.jEdit
7,1593576,org.gjt.sp.jedit.buffer.JEditBuffer
560,1593735,org.gjt.sp.jedit.gui.OptionsDialog.PaneNameRenderer
5,1594234,org.gjt.sp.jedit.search.SearchBar
48,1594910,org.gjt.sp.jedit.Mode
1,1599024,org.gjt.sp.jedit.menu.ReloadWithEncodingProvider
723,1599709,org.gjt.sp.jedit.buffer.JEditBuffer
329,1600401,org.gjt.sp.jedit.syntax.TokenMarker
10,1601718,org.gjt.sp.jedit.search.SearchAndReplace
38,1608486,org.gjt.sp.jedit.options.TextAreaOptionPane
1,1608948,org.gjt.sp.jedit.browser.VFSBrowser.HistoryComboBoxEditor
46,1611766,org.gjt.sp.jedit.buffer.JEditBuffer
16,1617509,org.gjt.sp.jedit.io.GlobVFSFileFilter
92,1620694,org.gjt.sp.jedit.textarea.TextAreaPainter
4,1628053,org.gjt.sp.jedit.gui.BufferSwitcher
6,1630805,org.gjt.sp.jedit.syntax.TokenMarker
2,1638642,org.gjt.sp.jedit.options.AppearanceOptionPane
7,1641997,org.gjt.sp.jedit.options.GeneralOptionPane
33,1642574,org.gjt.sp.jedit.options.ViewOptionPane
54,1645528,org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler
7,1646058,org.gjt.sp.jedit.search.HyperSearchResults.RemoveTreeNodeAction
2,1649033,org.gjt.sp.jedit.browser.VFSFileChooserDialog
583,1654543,org.gjt.sp.jedit.gui.VariableGridLayout
178,1658252,org.gjt.sp.jedit.syntax.XModeHandler
9,1659666,org.gjt.sp.jedit.syntax.TokenMarker
49,1663617,org.gjt.sp.jedit.jEdit
1,1664900,org.gjt.sp.jedit.indent.IndentAction.Collapse
1,1668893,org.gjt.sp.jedit.bufferio.BufferIORequest
1,1671312,org.gjt.sp.jedit.search.PatternSearchMatcher
2,1676041,org.gjt.sp.jedit.TextUtilities
13,1687264,org.gjt.sp.jedit.search.HyperSearchResults
27,1694133,org.gjt.sp.jedit.browser.VFSBrowser
53,1708876,org.gjt.sp.jedit.MiscUtilities
9,1708881,org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.MouseHandler
101,1723506,org.gjt.sp.jedit.textarea.JEditTextArea
184,1724940,org.gjt.sp.jedit.textarea.BufferHandler
4,1730845,org.gjt.sp.jedit.textarea.Gutter
426,1739675,org.gjt.sp.jedit.indent.WhitespaceRule
8,1744674,org.gjt.sp.jedit.search.HyperSearchFileNode
8,1747300,org.gjt.sp.jedit.textarea.Gutter
15,1748509,org.gjt.sp.jedit.pluginmgr.InstallPanel.PluginTableModel
1,1749475,org.gjt.sp.jedit.options.ShortcutsOptionPane.TableMouseHandler
1,1768638,org.gjt.sp.jedit.EditServer
8,1781853,org.gjt.sp.jedit.pluginmgr.InstallPanel.EntryCompare
4,1788847,org.gjt.sp.jedit.gui.StyleEditor
1,1789707,org.gjt.sp.jedit.io.XMLEncodingDetector
1,1818140,org.gjt.sp.jedit.gui.ListModelEditor
107,1825720,org.gjt.sp.jedit.bufferio.BufferAutosaveRequest
10,1834620,org.gjt.sp.jedit.search.SearchAndReplace
4,1854542,org.gjt.sp.jedit.browser.VFSBrowser
159,1866836,org.gjt.sp.jedit.gui.CompleteWord
1,1869978,org.gjt.sp.jedit.jEdit
89,1883809,org.gjt.sp.jedit.textarea.TextArea
1,1887293,org.gjt.sp.jedit.search.SearchBar
1,1894235,org.gjt.sp.jedit.search.SearchBar
62,1906288,org.gjt.sp.jedit.textarea.Anchor
63,1910061,org.gjt.sp.jedit.textarea.TextArea
22,1912735,org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget
143,1913979,org.gjt.sp.jedit.search.SearchDialog
1,1923613,org.gjt.sp.jedit.search.PatternSearchMatcher
113,1931333,org.gjt.sp.jedit.gui.CompleteWord
2,1936518,org.gjt.sp.jedit.browser.VFSBrowser
164,1942313,org.gjt.sp.jedit.textarea.DisplayManager
8,1947676,org.gjt.sp.jedit.search.HyperSearchRequest
20,1961989,org.gjt.sp.jedit.options.ToolBarOptionPane
157,1965114,org.gjt.sp.jedit.browser.VFSDirectoryEntryTable
1,1984000,org.gjt.sp.jedit.bufferset.BufferSet
2,1984974,org.gjt.sp.jedit.View
41,1999448,org.gjt.sp.jedit.textarea.DisplayManager
1,2015210,org.gjt.sp.jedit.options.SaveBackupOptionPane
