rank,id,item
100,950961,org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)
3177,981012,"org.gjt.sp.jedit.syntax.Chunk.init(Segment,TabExpander,float,FontRenderContext)"
698,1193683,org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)
1273,1292706,"org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,String)"
329,1382388,org.gjt.sp.jedit.indent.IndentAction.NoIncrease.keepChecking()
86,1500938,"org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)"
81,1520769,org.gjt.sp.jedit.options.SaveBackupOptionPane._init()
637,1520774,org.gjt.sp.jedit.MiscUtilities.getPathStart(String)
5566,1533473,org.gjt.sp.jedit.EditPane.loadCaretInfo()
235,1536064,"org.gjt.sp.jedit.GUIUtilities.requestFocus(Window,Component)"
76,1538051,org.gjt.sp.jedit.gui.StatusBar.MemoryStatus.paintComponent(Graphics)
1,1538702,org.gjt.sp.jedit.PluginJAR.getDependentPlugins()
88,1538743,org.gjt.sp.jedit.options.ToolBarEditDialog.updateList()
260,1541009,org.gjt.sp.jedit.search.SearchAndReplace.find(View)
85,1541372,org.gjt.sp.jedit.textarea.JEditTextArea.collapseFold()
235,1542026,org.gjt.sp.jedit.jEdit.MyFocusManager.postProcessKeyEvent(KeyEvent)
85,1546200,org.gjt.sp.jedit.menu.RecentFilesProvider.update(JMenu)
1264,1548902,"org.gjt.sp.jedit.TextUtilities.format(String,int,int)"
2355,1549282,"org.gjt.sp.jedit.Buffer.save(View,String,boolean)"
75,1560006,"org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)"
849,1560584,"org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)"
13,1565447,org.gjt.sp.jedit.search.HyperSearchResults.ResultCellRenderer.CountNodes.processNode(DefaultMutableTreeNode)
202,1569735,"org.gjt.sp.jedit.syntax.XModeHandler.endElement(String,String,String)"
5163,1570554,org.gjt.sp.jedit.browser.VFSBrowser.setDirectory(String)
95,1571629,org.gjt.sp.jedit.browser.VFSBrowser.updateFilterEnabled()
85,1571752,"org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)"
2,1574587,org.gjt.sp.jedit.buffer.JEditBuffer.setDirty(boolean)
5696,1575505,org.gjt.sp.jedit.textarea.TextArea.joinLines(Selection)
5404,1576535,org.gjt.sp.jedit.EditPane.loadCaretInfo()
69,1578785,org.gjt.sp.jedit.Buffer.getAutoReloadDialog()
273,1584436,"org.gjt.sp.jedit.textarea.Anchor.preContentRemoved(int,int)"
6567,1589360,org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doSingleDrag(MouseEvent)
523,1593359,"org.gjt.sp.jedit.gui.InputHandler.processKeyEvent(KeyEvent,int,boolean)"
349,1593375,org.gjt.sp.jedit.gui.LogViewer.LogViewer()
98,1593389,org.gjt.sp.jedit.io.FileVFS.recursiveDelete(File)
