rank,id,item
106,950961,"org.gjt.sp.jedit.buffer.JEditBuffer.firePreContentInserted(int,int,int,int)"
4797,981012,"org.gjt.sp.jedit.syntax.Chunk.init(Segment,TabExpander,float,FontRenderContext)"
3564,1193683,"org.gjt.sp.jedit.textarea.BufferHandler.preContentInserted(JEditBuffer,int,int,int,int)"
172,1292706,"org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,String)"
1712,1382388,org.gjt.sp.jedit.Mode.setProperties(Map)
3289,1500938,"org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)"
761,1520769,org.gjt.sp.jedit.Buffer.removeAutosaveFile()
3826,1520774,org.gjt.sp.jedit.MiscUtilities.getPathStart(String)
419,1533473,org.gjt.sp.jedit.EditPane.loadCaretInfo()
3856,1536064,"org.gjt.sp.jedit.GUIUtilities.requestFocus(Window,Component)"
2,1538051,org.gjt.sp.jedit.jEdit.showMemoryDialog(View)
10,1538702,org.gjt.sp.jedit.pluginmgr.Roster.Remove.unloadPluginJAR(PluginJAR)
50,1538743,"org.gjt.sp.jedit.options.ToolBarEditDialog.ToolBarEditDialog(Component,DefaultComboBoxModel,ToolBarOptionPane.Button)"
19,1541009,"org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int,DefaultMutableTreeNode)"
83,1541372,org.gjt.sp.jedit.textarea.JEditTextArea.collapseFold(int)
3748,1542026,org.gjt.sp.jedit.jEdit.MyFocusManager.postProcessKeyEvent(KeyEvent)
4664,1546200,org.gjt.sp.jedit.menu.RecentFilesProvider.update(JMenu)
2890,1548902,org.gjt.sp.jedit.textarea.JEditTextArea.formatParagraph()
3774,1549282,"org.gjt.sp.jedit.Buffer.finishSaving(View,String,String,String,boolean,boolean)"
790,1560006,"org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)"
2414,1560584,"org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)"
118,1565447,"org.gjt.sp.jedit.search.HyperSearchResults.ResultCellRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)"
3955,1569735,"org.gjt.sp.jedit.syntax.XModeHandler.endElement(String,String,String)"
236,1570554,org.gjt.sp.jedit.browser.VFSBrowser.setDirectory(String)
1535,1571629,"org.gjt.sp.jedit.browser.VFSBrowser.VFSBrowser(View,String,int,boolean,String)"
21,1571752,org.gjt.sp.jedit.textarea.TextArea.userInput(char)
2083,1574587,org.gjt.sp.jedit.bufferio.BufferSaveRequest.run()
435,1575505,org.gjt.sp.jedit.textarea.TextArea.joinLineAt(int)
3870,1576535,org.gjt.sp.jedit.EditPane.loadCaretInfo()
93,1578785,org.gjt.sp.jedit.jEdit.checkBufferStatus(View)
4548,1584436,"org.gjt.sp.jedit.textarea.Anchor.preContentRemoved(int,int)"
3505,1589360,org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doSingleClick(MouseEvent)
3352,1593359,"org.gjt.sp.jedit.gui.InputHandler.processKeyEvent(KeyEvent,int,boolean)"
1304,1593375,org.gjt.sp.jedit.gui.LogViewer.setFilter()
1279,1593389,org.gjt.sp.jedit.io.FileVFS.recursiveDelete(File)
8,1593464,"org.gjt.sp.jedit.io.FileVFS.LocalFile.getIcon(boolean,boolean)"
5761,1593523,"org.gjt.sp.jedit.search.HyperSearchOperationNode.restoreFlatNodes(JTree,DefaultMutableTreeNode)"
660,1593526,org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()
741,1593543,"org.gjt.sp.jedit.BufferHistory.setEntry(String,int,Selection[],String,String)"
5395,1593576,"org.gjt.sp.jedit.buffer.JEditBuffer.indentLine(int,boolean)"
