rank,id,item
5503,1,org.apache.lucene.index.DocumentsWriterFlushControl
1224,2,org.apache.lucene.search.highlight.TokenSources
6315,3,org.apache.lucene.facet.search.StandardFacetsAccumulator
1483,4,org.apache.lucene.queries.TermsFilterTest
2332,5,org.apache.lucene.util.PagedBytes.PagedBytesDataInput
52,6,org.apache.lucene.spatial.prefix.RecursivePrefixTreeFilter
1431,7,org.apache.lucene.facet.taxonomy.directory.DirectoryTaxonomyWriter
5115,8,org.apache.lucene.codecs.pulsing.TestPulsingReuse
5779,9,org.apache.lucene.index.DocumentsWriterFlushControl
2180,10,org.apache.lucene.util.TestWeakIdentityMap
3105,11,org.apache.lucene.index.CheckIndex
208,12,org.apache.lucene.index.ConcurrentMergeScheduler
4265,13,org.apache.lucene.util.fst.Util
3399,14,org.apache.lucene.util.TestCharsRef
1864,15,org.apache.lucene.spatial.prefix.PrefixTreeStrategy
2951,16,org.apache.lucene.analysis.fr.FrenchAnalyzer
6047,17,org.apache.lucene.search.join.TestBlockJoin
3076,18,org.apache.lucene.codecs.block.BlockPostingsReader
3188,19,org.apache.lucene.search.vectorhighlight.BaseFragListBuilder
6456,21,org.apache.lucene.index.DocumentsWriterPerThread
6274,22,org.apache.lucene.search.suggest.fst.WFSTCompletionTest
2224,26,org.apache.lucene.facet.taxonomy.directory.DirectoryTaxonomyWriter
1650,27,org.apache.lucene.util.TestMaxFailuresRule.Nested
2857,28,org.apache.lucene.index.IndexWriter
2273,29,org.apache.lucene.search.TestSearcherManager
2161,30,org.apache.lucene.analysis.EmptyTokenizer
940,31,org.apache.lucene.search.highlight.HighlighterTest
1738,32,org.apache.lucene.index.IndexWriter
980,33,org.apache.lucene.search.spell.WordBreakSpellChecker
1080,34,org.apache.lucene.index.TestTermVectorsReader
2793,35,org.apache.lucene.facet.search.TopKInEachNodeHandler
302,36,org.apache.lucene.store.TestNRTCachingDirectory
2172,37,org.apache.lucene.facet.taxonomy.directory.DirectoryTaxonomyWriter
