rank,id,item
469,1,org.apache.lucene.index.DocumentsWriterFlushControl
1722,2,org.apache.lucene.search.highlight.TokenSources
2521,3,org.apache.lucene.facet.search.StandardFacetsAccumulator
165,4,org.apache.lucene.queries.TermsFilter
3600,5,org.apache.lucene.util.PagedBytes.PagedBytesDataInput
1427,6,org.apache.lucene.spatial.prefix.RecursivePrefixTreeFilter
1710,7,org.apache.lucene.facet.taxonomy.directory.DirectoryTaxonomyWriter
720,8,org.apache.lucene.index.Test2BPostings
852,9,org.apache.lucene.index.DocumentsWriterFlushControl
4522,10,org.apache.lucene.util.TestWeakIdentityMap
1674,11,org.apache.lucene.index.TestCheckIndex
63,12,org.apache.lucene.index.ReadersAndLiveDocs
4613,13,org.apache.lucene.util.fst.Util
562,14,org.apache.lucene.util.TestCharsRef
4106,15,org.apache.lucene.spatial.prefix.PrefixTreeStrategy
3948,16,org.apache.lucene.analysis.fr.FrenchAnalyzer
2245,17,org.apache.lucene.search.join.ToParentBlockJoinQuery
546,18,org.apache.lucene.codecs.block.BlockPostingsWriter
910,19,org.apache.lucene.search.vectorhighlight.FieldPhraseList
670,21,org.apache.lucene.index.DocumentsWriterPerThread
2617,22,org.apache.lucene.search.suggest.fst.WFSTCompletionTest
2720,26,org.apache.lucene.facet.taxonomy.directory.DirectoryTaxonomyWriter
2562,27,org.apache.lucene.util.TestMaxFailuresRule
2180,28,org.apache.lucene.index.TestIndexWriterDelete
2481,29,org.apache.lucene.search.TestSearcherManager
220,30,org.apache.lucene.queryparser.classic.TestMultiFieldQueryParser.AnalyzerReturningNull
2397,31,org.apache.lucene.search.highlight.HighlighterTest
122,32,org.apache.lucene.index.BufferedDeletesStream
2153,33,org.apache.lucene.search.spell.TestWordBreakSpellChecker
262,34,org.apache.lucene.codecs.lucene40.Lucene40TermVectorsReader
9,35,org.apache.lucene.facet.search.sampling.SamplingAccumulator
1667,36,org.apache.lucene.index.TestDirectoryReader
58,37,org.apache.lucene.facet.taxonomy.directory.DirectoryTaxonomyReader.ChildrenArraysImpl
