rank,id,item
519,1,org.apache.lucene.index.DocumentsWriterFlushControl
1781,2,org.apache.lucene.search.highlight.TokenSources
2399,3,org.apache.lucene.facet.search.StandardFacetsAccumulator
161,4,org.apache.lucene.queries.TermsFilter
3531,5,org.apache.lucene.util.PagedBytes.PagedBytesDataInput
1459,6,org.apache.lucene.spatial.prefix.RecursivePrefixTreeFilter
1703,7,org.apache.lucene.facet.taxonomy.directory.DirectoryTaxonomyWriter
763,8,org.apache.lucene.index.Test2BPostings
792,9,org.apache.lucene.index.DocumentsWriterFlushControl
4374,10,org.apache.lucene.util.TestWeakIdentityMap
1683,11,org.apache.lucene.index.TestCheckIndex
59,12,org.apache.lucene.index.ReadersAndLiveDocs
4656,13,org.apache.lucene.util.fst.Util
549,14,org.apache.lucene.util.TestCharsRef
4838,15,org.apache.lucene.spatial.prefix.PrefixTreeStrategy
3757,16,org.apache.lucene.analysis.fr.FrenchAnalyzer
2192,17,org.apache.lucene.search.join.ToParentBlockJoinQuery
535,18,org.apache.lucene.codecs.block.BlockPostingsWriter
809,19,org.apache.lucene.search.vectorhighlight.FieldPhraseList
496,21,org.apache.lucene.index.DocumentsWriterPerThread
2549,22,org.apache.lucene.search.suggest.fst.WFSTCompletionTest
2954,26,org.apache.lucene.facet.taxonomy.directory.DirectoryTaxonomyWriter
2633,27,org.apache.lucene.util.TestMaxFailuresRule
2143,28,org.apache.lucene.index.TestIndexWriterDelete
3088,29,org.apache.lucene.search.TestSearcherManager
216,30,org.apache.lucene.queryparser.classic.TestMultiFieldQueryParser.AnalyzerReturningNull
2376,31,org.apache.lucene.search.highlight.HighlighterTest
135,32,org.apache.lucene.index.BufferedDeletesStream
2354,33,org.apache.lucene.search.spell.TestWordBreakSpellChecker
210,34,org.apache.lucene.codecs.lucene40.Lucene40TermVectorsReader
12,35,org.apache.lucene.facet.search.sampling.SamplingAccumulator
1654,36,org.apache.lucene.index.TestDirectoryReader
50,37,org.apache.lucene.facet.taxonomy.directory.DirectoryTaxonomyReader.ChildrenArraysImpl
