rank,id,item
1067,1,org.apache.mahout.clustering.classify.ClusterClassificationDriverTest
1185,2,org.apache.mahout.math.MatrixVectorViewTest
588,3,org.apache.mahout.cf.taste.impl.model.file.FileDataModel
1156,4,org.apache.mahout.classifier.sgd.TPrior
681,5,org.apache.mahout.classifier.naivebayes.test.TestNaiveBayesDriver
937,6,org.apache.mahout.clustering.streaming.tools.ClusterQualitySummarizer
728,7,org.apache.mahout.classifier.df.data.Dataset
164,8,org.apache.mahout.utils.vectors.arff.ARFFIterator
50,9,org.apache.mahout.math.stats.OnlineSummarizerTest
577,10,org.apache.mahout.text.wikipedia.WikipediaXmlSplitter
369,11,org.apache.mahout.clustering.TestClusterDumper
1841,12,org.apache.mahout.clustering.streaming.mapreduce.StreamingKMeansThread
1531,13,org.apache.mahout.vectorizer.encoders.InteractionValueEncoder
438,14,org.apache.mahout.clustering.kmeans.TestKmeansClustering
713,15,org.apache.mahout.utils.vectors.VectorHelper
90,16,org.apache.mahout.math.neighborhood.LocalitySensitiveHashSearch
1246,17,org.apache.mahout.vectorizer.HighDFWordsPrunerTest
662,18,org.apache.mahout.clustering.streaming.cluster.BallKMeansTest
342,19,org.apache.mahout.text.WholeFileRecordReader
366,20,org.apache.mahout.cf.taste.impl.common.WeightedRunningAverage
937,21,org.apache.mahout.clustering.streaming.mapreduce.StreamingKMeansReducer
1457,22,org.apache.mahout.cf.taste.impl.recommender.AbstractCandidateItemsStrategy
71,23,org.apache.mahout.math.RandomAccessSparseVector
205,24,org.apache.mahout.driver.MahoutDriver
626,25,org.apache.mahout.utils.vectors.arff.MapBackedARFFModel
207,27,org.apache.mahout.cf.taste.hadoop.als.ParallelALSFactorizationJob
281,28,org.apache.mahout.cf.taste.hadoop.TasteHadoopUtils
1872,29,org.apache.mahout.math.map.HashFunctions
503,30,org.apache.mahout.clustering.kmeans.TestKmeansClustering
