rank,id,item
1582,1,org.apache.mahout.clustering.classify.ClusterClassificationMapper
601,2,org.apache.mahout.math.MatrixVectorViewTest
1597,3,org.apache.mahout.cf.taste.impl.model.file.FileDataModelTest
673,4,org.apache.mahout.classifier.sgd.TPrior
1514,5,org.apache.mahout.classifier.naivebayes.test.TestNaiveBayesDriver
1894,6,org.apache.mahout.clustering.streaming.tools.ClusterQualitySummarizer
1885,7,org.apache.mahout.classifier.df.data.Dataset
1312,8,org.apache.mahout.utils.vectors.arff.ARFFIterator
1076,9,org.apache.mahout.math.stats.OnlineSummarizerTest
1795,10,org.apache.mahout.text.wikipedia.WikipediaXmlSplitter
677,11,org.apache.mahout.vectorizer.encoders.LuceneTextValueEncoder
1260,12,org.apache.mahout.clustering.streaming.mapreduce.StreamingKMeansThread
1474,13,org.apache.mahout.vectorizer.encoders.InteractionValueEncoderTest
1805,14,org.apache.mahout.clustering.AbstractCluster
1738,15,org.apache.mahout.utils.vectors.VectorHelper
305,16,org.apache.mahout.math.hadoop.similarity.cooccurrence.MutableElement
1631,17,org.apache.mahout.vectorizer.HighDFWordsPrunerTest
1334,18,org.apache.mahout.clustering.streaming.cluster.DataUtils
245,19,org.apache.mahout.text.TestSequenceFilesFromDirectory.ExcludeDotFiles
206,20,org.apache.mahout.math.neighborhood.SearchQualityTest.StripWeight
1421,21,org.apache.mahout.clustering.streaming.mapreduce.StreamingKMeansReducer
935,22,org.apache.mahout.cf.taste.impl.recommender.AbstractCandidateItemsStrategy
676,23,org.apache.mahout.math.TestDenseVector
1878,24,org.apache.mahout.driver.MahoutDriver
1771,25,org.apache.mahout.utils.vectors.arff.ARFFVectorIterable
1837,27,org.apache.mahout.cf.taste.hadoop.als.ParallelALSFactorizationJob
973,28,org.apache.mahout.cf.taste.hadoop.TasteHadoopUtils
1601,29,org.apache.mahout.math.map.HashFunctions
826,30,org.apache.mahout.clustering.iterator.AbstractClusteringPolicy
