rank,id,item
1551,1,org.apache.mahout.clustering.classify.ClusterClassificationMapper
641,2,org.apache.mahout.math.MatrixVectorViewTest
1557,3,org.apache.mahout.cf.taste.impl.model.file.FileDataModelTest
665,4,org.apache.mahout.classifier.sgd.TPrior
1531,5,org.apache.mahout.classifier.naivebayes.test.TestNaiveBayesDriver
1896,6,org.apache.mahout.clustering.streaming.tools.ClusterQualitySummarizer
1897,7,org.apache.mahout.classifier.df.data.Dataset
1295,8,org.apache.mahout.utils.vectors.arff.ARFFIterator
1141,9,org.apache.mahout.math.stats.OnlineSummarizerTest
1796,10,org.apache.mahout.text.wikipedia.WikipediaXmlSplitter
698,11,org.apache.mahout.vectorizer.encoders.LuceneTextValueEncoder
1266,12,org.apache.mahout.clustering.streaming.mapreduce.StreamingKMeansThread
1442,13,org.apache.mahout.vectorizer.encoders.InteractionValueEncoderTest
1783,14,org.apache.mahout.clustering.AbstractCluster
1740,15,org.apache.mahout.utils.vectors.VectorHelper
501,16,org.apache.mahout.math.hadoop.similarity.cooccurrence.MutableElement
1648,17,org.apache.mahout.vectorizer.HighDFWordsPrunerTest
1448,18,org.apache.mahout.clustering.streaming.cluster.DataUtils
484,19,org.apache.mahout.text.TestSequenceFilesFromDirectory.ExcludeDotFiles
248,20,org.apache.mahout.math.neighborhood.SearchQualityTest.StripWeight
1380,21,org.apache.mahout.clustering.streaming.mapreduce.StreamingKMeansReducer
870,22,org.apache.mahout.cf.taste.impl.recommender.AbstractCandidateItemsStrategy
585,23,org.apache.mahout.math.TestDenseVector
1852,24,org.apache.mahout.driver.MahoutDriver
1790,25,org.apache.mahout.utils.vectors.arff.ARFFVectorIterable
1851,27,org.apache.mahout.cf.taste.hadoop.als.ParallelALSFactorizationJob
940,28,org.apache.mahout.cf.taste.hadoop.TasteHadoopUtils
1626,29,org.apache.mahout.math.map.HashFunctions
756,30,org.apache.mahout.clustering.iterator.AbstractClusteringPolicy
