rank,id,item
417,1,com.mucommander.file.impl.http.HTTPProtocolProvider
27,7,com.mucommander.file.impl.local.LocalFile
6,10,com.mucommander.ui.dialog.auth.AuthDialog
44,11,com.mucommander.ui.main.DrivePopupButton.CustomOpenLocationAction
394,13,com.mucommander.ui.main.table.FileTable.QuickSearch
3,16,com.mucommander.ui.main.table.FileTableConfiguration
3,20,com.mucommander.ui.viewer.ViewerRegistrar
64,21,com.mucommander.ui.main.table.FileTable
1,24,com.mucommander.ui.viewer.text.TextFactory
11,30,com.mucommander.file.FileFactory
1187,31,com.mucommander.auth.Credentials
1,37,com.mucommander.ui.main.menu.MainMenuBar
59,39,com.mucommander.ui.dialog.server.ShowServerConnectionsDialog
2,43,com.mucommander.file.impl.local.LocalFileTest
277,45,com.mucommander.ui.main.FolderPanel
134,48,com.mucommander.file.FileFactory
25,52,com.mucommander.job.TransferFileJob
2,59,com.mucommander.ui.main.menu.MainMenuBar
9,60,com.mucommander.ui.dialog.pref.component.PrefRadioButton
4,66,com.mucommander.ui.dialog.pref.general.MiscPanel
12,67,com.mucommander.ui.main.FolderPanel
3,77,com.mucommander.ui.main.LocationTextField
1,78,com.mucommander.ui.main.LocationTextField
24,85,com.mucommander.Launcher
23,86,com.mucommander.ui.main.tree.TreeIOThreadManager
99,87,com.mucommander.ui.autocomplete.completers.Completer
18,89,com.mucommander.ui.main.WindowManager
227,91,com.mucommander.ui.dialog.pref.general.AppearancePanel
28,94,com.mucommander.file.DefaultSchemeParser
62,98,com.mucommander.file.impl.zip.provider.ZipFile
1,102,com.mucommander.ui.viewer.image.ImageViewer
51,103,com.mucommander.ui.main.DrivePopupButton
1,107,com.mucommander.file.impl.zip.provider.ZipEntry
164,108,com.mucommander.ui.main.WindowManager
1,110,com.mucommander.command.CommandManager
256,111,com.mucommander.file.impl.rar.provider.de.innosystec.unrar.Archive
230,116,com.mucommander.ui.main.FolderPanel
20,117,com.mucommander.ui.main.tree.FoldersTreePanel
28,137,com.mucommander.file.util.PathUtils
23,138,com.mucommander.ui.main.DrivePopupButton
4,139,com.mucommander.file.impl.local.LocalFile
625,140,com.mucommander.ui.dialog.pref.general.ShortcutsTable.ShortcutsTableCellRenderer
5,142,com.mucommander.ui.main.DrivePopupButton.RefreshDriveNamesAndIcons
1,145,com.mucommander.extension.ClassFinder
18,147,com.mucommander.job.CopyJob
19,151,com.mucommander.ui.main.table.FileTableModel
52,153,com.mucommander.Launcher
52,163,com.mucommander.ui.layout.ProportionalSplitPane
13,164,com.mucommander.ui.dnd.ClipboardNotifier
17,165,com.mucommander.ui.button.ToolbarMoreButton
2,166,com.mucommander.ui.button.ToolbarMoreButton
24,167,com.mucommander.ui.dialog.file.FileCollisionRenameDialog
3,173,com.mucommander.ui.dialog.auth.AuthDialog
43,176,com.mucommander.ui.main.table.FileTable
54,177,com.mucommander.ui.action.ActionKeymapWriter.Writer
23,178,com.mucommander.ui.chooser.PreviewLabel
40,179,com.mucommander.ui.theme.ThemeData
116,212,com.mucommander.ui.dialog.shell.RunDialog
94,213,com.mucommander.ui.action.impl.GoToDocumentationAction
3,214,com.mucommander.ui.theme.ThemeManager
9,217,com.mucommander.job.ArchiveJob
13,221,com.mucommander.ui.main.table.FileTable
3,225,com.mucommander.ui.icon.FileIcons
1,226,com.mucommander.ui.main.table.FileTableHeader
75,227,com.mucommander.file.impl.local.LocalFile
27,231,com.mucommander.job.TransferFileJob
1,233,com.mucommander.ui.main.table.FolderChangeMonitor
417,235,com.mucommander.io.BinaryDetector
70,237,com.mucommander.ui.dialog.pref.general.ShortcutsTable.ShortcutsTableCellRenderer
3,238,com.mucommander.ui.action.impl.ToggleToolBarAction
1,243,com.mucommander.ui.viewer.FileViewer
3,244,com.mucommander.ui.viewer.text.TextEditorImpl
12,245,com.mucommander.ui.viewer.text.TextEditorImpl
5,247,com.mucommander.ui.action.ActionProperties
87,248,com.mucommander.ui.viewer.text.TextEditor
19,250,com.mucommander.ui.main.table.FileTable.FolderChangeThread
9,251,com.mucommander.ui.viewer.text.TextEditorImpl
187,254,com.mucommander.Launcher
149,258,com.mucommander.ui.viewer.text.TextEditor
6,261,com.mucommander.ui.main.toolbar.ToolBarReader
155,274,com.mucommander.ui.dialog.about.AboutDialog
25,277,com.mucommander.ui.main.table.FileTable
127,309,com.mucommander.ui.main.table.FileTable.QuickSearch
1,311,com.mucommander.ui.main.StatusBar.VolumeSpaceLabel
24,313,com.mucommander.ui.main.DrivePopupButton
22,317,com.mucommander.ui.dialog.file.PackDialog
72,321,com.mucommander.ui.main.table.FileTable
65,327,com.mucommander.file.impl.local.LocalFile
157,328,com.mucommander.ui.main.table.FileTable
1,330,com.mucommander.ui.dialog.file.BatchRenameDialog
24,331,com.mucommander.ui.dialog.file.BatchRenameDialog
162,334,com.mucommander.file.impl.sevenzip.SevenZipArchiveFile
