rank,id,item
3842,1,com.mucommander.file.impl.http.HTTPProtocolProvider.disableCertificateVerifications()
121,7,com.mucommander.file.impl.local.LocalFile.LocalFile(FileURL)
4038,10,com.mucommander.ui.dialog.auth.AuthDialog.setCredentialMapping()
6132,11,com.mucommander.ui.main.DrivePopupButton.getPopupMenu()
6161,13,com.mucommander.ui.main.table.FileTable.QuickSearch.isValidQuickSearchInput(KeyEvent)
375,16,com.mucommander.bonjour.BonjourDirectory.createBonjourService(ServiceInfo)
1125,20,com.mucommander.file.impl.http.HTTPFile.exists()
6462,21,com.mucommander.ui.main.table.FileTable.setColumnModel(TableColumnModel)
6164,24,com.mucommander.ui.action.impl.AbstractViewerAction.performAction()
4412,30,"com.mucommander.file.archiver.Archiver.getArchiver(AbstractFile,int)"
3532,31,com.mucommander.auth.Credentials.equals(Object)
5459,37,com.mucommander.ui.main.menu.MainMenuBar.MainMenuBar(MainFrame)
2,39,com.mucommander.file.impl.local.LocalFile.changeDate(long)
529,43,com.mucommander.file.impl.local.LocalFile.isSymlink()
5570,45,"com.mucommander.ui.main.FolderPanel.FolderPanel(MainFrame,AbstractFile,FileTableConfiguration)"
5266,48,com.mucommander.file.FileURL.getParent()
3546,52,"com.mucommander.job.TransferFileJob.copyFile(AbstractFile,AbstractFile,boolean)"
4681,59,com.mucommander.ui.main.menu.MainMenuBar.MainMenuBar(MainFrame)
4377,60,com.mucommander.ui.dialog.pref.PreferencesDialog.setCommitButtonsEnabled(boolean)
2246,66,com.mucommander.Launcher.printStartupMessage(String)
5797,67,"com.mucommander.ui.main.FolderPanel.setCurrentFolder(AbstractFile,AbstractFile,AbstractFile)"
4757,77,com.mucommander.ui.main.LocationTextField.enableAutoCompletion()
5064,78,com.mucommander.ui.main.LocationTextField.textFieldValidated()
39,85,com.mucommander.Launcher.main(String)
704,86,com.mucommander.ShutdownHook.performShutdownTasks()
2586,87,com.mucommander.ui.autocomplete.completers.ComboboxOptionsCompleter.getUpdatedSuggestions(AutocompleterTextComponent)
5996,89,com.mucommander.ui.main.WindowManager.windowDeactivated(WindowEvent)
4284,91,"com.mucommander.ui.dialog.pref.general.AppearancePanel.createIconSizeCombo(String,float)"
24,94,"com.mucommander.file.DefaultSchemeParser.parse(String,FileURL)"
5826,98,"com.mucommander.file.impl.zip.provider.ZipFile.setFilename(ZipEntry,String)"
4925,102,com.mucommander.ui.viewer.image.ImageViewer.updateFrame()
4641,103,com.mucommander.ui.main.DrivePopupButton.configurationChanged(ConfigurationEvent)
1665,107,com.mucommander.file.impl.zip.provider.ZipEntry.ZipEntry(java.util.zip.ZipEntry)
6532,108,"com.mucommander.ui.main.WindowManager.getInitialAbstractPath(String,int)"
159,110,"com.mucommander.command.Command.Command(String,String,int,String)"
6276,111,"com.mucommander.file.impl.rar.provider.de.innosystec.unrar.Archive.readHeaders(InputStream,byte[])"
1414,116,com.mucommander.ui.action.ActionManager.registerActions()
6160,117,com.mucommander.ui.main.tree.FoldersTreePanel.FoldersTreePanel(FolderPanel)
1096,137,"com.mucommander.file.util.PathUtils.resolveDestination(String,AbstractFile)"
5002,138,com.mucommander.ui.main.DrivePopupButton.getPopupMenu()
140,139,com.mucommander.file.impl.local.LocalFile.getVolumes()
6014,140,com.mucommander.ui.dialog.pref.general.ShortcutsTable.ShortcutsTableCellRenderer.ShortcutsTableCellRenderer()
6177,142,com.mucommander.ui.main.DrivePopupButton.RefreshDriveNamesAndIcons.run()
281,145,"com.mucommander.extension.ClassFinder.find(AbstractFile,ClassFilter,ClassLoader)"
601,147,"com.mucommander.job.TempOpenWithJob.processFile(AbstractFile,Object)"
4009,151,com.mucommander.ui.action.impl.InvertSelectionAction.performAction()
98,153,com.mucommander.Launcher.main(String)
5248,163,com.mucommander.ui.layout.ProportionalSplitPane.componentResized(ComponentEvent)
5962,164,com.mucommander.ui.dnd.ClipboardNotifier.toggleActionState()
5503,165,com.mucommander.ui.button.ToolbarMoreButton.wrapToolBar(JToolBar)
5475,166,com.mucommander.ui.main.toolbar.ToolBarAttributes.getActions()
3291,167,"com.mucommander.ui.dialog.file.AbstractCopyDialog.selectDestinationFilename(AbstractFile,String,int)"
3971,173,com.mucommander.auth.CredentialsManager.addCredentials(CredentialsMapping)
6337,176,com.mucommander.ui.main.table.FileTable.mouseDragged(MouseEvent)
6905,177,com.mucommander.ui.text.KeyStrokeUtils.getKeyStrokeRepresentation(KeyStroke)
5642,178,com.mucommander.ui.chooser.PreviewLabel.clone()
5019,179,com.mucommander.ui.theme.ThemeData.getFont(int)
6585,212,com.mucommander.ui.dialog.shell.RunDialog.processDied(int)
5711,214,com.mucommander.ui.theme.ThemeManager.predefinedThemeNames()
151,217,com.mucommander.job.ArchiveJob.jobStopped()
5343,221,com.mucommander.ui.main.table.FileTable.mouseClicked(MouseEvent)
5745,225,"com.mucommander.ui.icon.FileIcons.getFileIcon(AbstractFile,Dimension)"
4016,226,com.mucommander.ui.main.table.FileTableHeader.mouseClicked(MouseEvent)
3,227,com.mucommander.file.impl.local.LocalFile.getVolumes()
3991,231,"com.mucommander.ui.dialog.file.MoveDialog.createTransferFileJob(ProgressDialog,PathUtils.ResolvedDestination,int)"
5139,233,com.mucommander.ui.main.table.FolderChangeMonitor.FolderChangeMonitor(FolderPanel)
4246,235,"com.mucommander.io.BinaryDetector.guessBinary(byte,int,int)"
6650,237,"com.mucommander.ui.dialog.pref.general.ShortcutsTable.ShortcutsTableCellRenderer.getTableCellRendererComponent(JTable,Object,boolean,boolean,int,int)"
5120,238,com.mucommander.ui.main.MainFrame.getToolBarPanel()
4534,243,com.mucommander.ui.viewer.ViewerFrame.createMenuBar()
5634,244,"com.mucommander.ui.viewer.text.TextEditorImpl.startEditing(AbstractFile,DocumentListener)"
6281,245,"com.mucommander.ui.viewer.text.TextEditorImpl.loadDocument(InputStream,String)"
3,247,com.mucommander.ui.action.AcceleratorMap.ActionIdAndAcceleratorType.getActionId()
5598,248,com.mucommander.ui.viewer.text.TextEditor.saveAs(AbstractFile)
6601,250,"com.mucommander.ui.main.table.FileTable.setCurrentFolder(AbstractFile,AbstractFile,AbstractFile)"
6104,251,com.mucommander.ui.viewer.text.TextEditorImpl.write(OutputStream)
1322,254,com.mucommander.ui.action.ActionManager.registerActions()
6004,258,com.mucommander.ui.viewer.text.TextEditor.saveAs(AbstractFile)
785,261,"com.mucommander.ui.main.toolbar.ToolBarAttributes.equals(Object,Object)"
6433,274,com.mucommander.ui.dialog.about.AboutDialog.createCreditsPanel()
4991,277,"com.mucommander.ui.main.table.FileTable.FileTable(MainFrame,FolderPanel,FileTableConfiguration)"
5459,309,com.mucommander.ui.action.MuAction.isAccelerator(KeyStroke)
5118,311,com.mucommander.ui.main.StatusBar.VolumeSpaceLabel.paint(Graphics)
5921,313,com.mucommander.ui.main.DrivePopupButton.getPopupMenu()
5108,317,"com.mucommander.ui.dialog.file.PackDialog.PackDialog(MainFrame,FileSet,boolean)"
5124,321,com.mucommander.ui.main.table.FileTable.mouseClicked(MouseEvent)
554,327,com.mucommander.file.impl.local.LocalFile.renameTo(AbstractFile)
6351,328,com.mucommander.ui.main.table.FileTable.configurationChanged(ConfigurationEvent)
4087,330,"com.mucommander.ui.dialog.file.BatchRenameDialog.BatchRenameDialog(MainFrame,FileSet)"
5137,331,com.mucommander.ui.dialog.file.BatchRenameDialog.compilePattern(String)
3162,334,com.mucommander.file.impl.sevenzip.SevenZipArchiveFile.openSevenZipFile()
