rank,id,item
1223,1,com.mucommander.file.impl.http.HTTPProtocolProvider
75,7,com.mucommander.file.impl.local.LocalFile
174,10,com.mucommander.ui.dialog.auth.AuthDialog
45,11,com.mucommander.ui.main.DrivePopupButton.CustomOpenLocationAction
35,13,com.mucommander.ui.main.table.FileTable.QuickSearch
36,16,com.mucommander.ui.action.impl.ToggleColumnAction
5,20,com.mucommander.ui.main.FolderPanel.ChangeFolderThread
1201,21,com.mucommander.ui.main.toolbar.ToolBar.HistoryPopupButton
14,24,com.mucommander.ui.viewer.image.ImageFactory
95,30,com.mucommander.file.FileFactory
1517,31,com.mucommander.auth.Credentials
3,37,com.mucommander.ui.action.impl.MinimizeWindowAction
174,39,com.mucommander.file.impl.local.LocalFile
12,43,com.mucommander.file.impl.local.LocalFileTest
587,45,com.mucommander.ui.main.FolderPanel
933,48,com.mucommander.file.FileFactory
985,52,com.mucommander.job.TransferFileJob
1,59,com.mucommander.ui.main.menu.MainMenuBar
4,60,com.mucommander.ui.dialog.pref.general.GeneralPreferencesDialog
1,66,com.mucommander.ui.dialog.pref.general.MiscPanel
641,67,com.mucommander.ui.main.FolderPanel
1,77,com.mucommander.ui.main.LocationTextField
19,78,com.mucommander.ui.main.LocationTextField
361,85,com.mucommander.Launcher
39,86,com.mucommander.ui.main.tree.TreeIOThreadManager
1,87,com.mucommander.ui.autocomplete.completers.PathCompleter
1285,89,com.mucommander.ui.main.WindowManager
1511,91,com.mucommander.ui.dialog.pref.general.AppearancePanel
40,94,com.mucommander.file.DefaultSchemeParser
1681,98,com.mucommander.file.impl.zip.provider.ZipFile
1,102,com.mucommander.ui.viewer.image.ImageViewer
1,103,com.mucommander.ui.main.DrivePopupButton
7,107,com.mucommander.file.impl.zip.provider.ZipEntry
1268,108,com.mucommander.ui.main.WindowManager
1,110,com.mucommander.command.CommandManager
1344,111,com.mucommander.file.impl.rar.provider.de.innosystec.unrar.Archive
361,116,com.mucommander.ui.action.impl.MarkNextRowAction.Factory
52,117,com.mucommander.ui.main.tree.FoldersTreePanel
20,137,com.mucommander.file.util.PathUtils
862,138,com.mucommander.ui.main.DrivePopupButton
131,139,com.mucommander.file.impl.local.LocalFile
814,140,com.mucommander.ui.dialog.pref.general.ShortcutsTable.RecordingKeyStrokeField
246,142,com.mucommander.ui.main.DrivePopupButton.RefreshDriveNamesAndIcons
5,145,com.mucommander.ui.dialog.pref.general.AppearancePanel
1150,147,com.mucommander.job.CopyJob
22,151,com.mucommander.ui.action.impl.MarkAllAction
42,153,com.mucommander.ui.macosx.EAWTHandler
1600,163,com.mucommander.ui.layout.ProportionalSplitPane
6,164,com.mucommander.ui.dnd.ClipboardNotifier
163,165,com.mucommander.ui.button.ToolbarMoreButton
56,166,com.mucommander.ui.button.ToolbarMoreButton
105,167,com.mucommander.ui.action.impl.UnpackAction
203,173,com.mucommander.ui.dialog.auth.AuthDialog
1522,176,com.mucommander.ui.main.table.FileTable
17,177,com.mucommander.ui.action.ActionKeymapWriter.Writer
65,178,com.mucommander.ui.chooser.PreviewLabel
105,179,com.mucommander.ui.theme.ThemeData
313,212,com.mucommander.ui.dialog.shell.RunDialog
1,213,com.mucommander.ui.action.impl.GoToDocumentationAction
5,214,com.mucommander.ui.theme.ThemeManager
198,217,com.mucommander.job.ArchiveJob
1527,221,com.mucommander.ui.main.table.FileTable
4,225,com.mucommander.ui.icon.FileIcons
26,226,com.mucommander.ui.main.table.FileTableHeader
1,227,com.mucommander.file.impl.local.LocalFile
25,231,com.mucommander.job.TransferFileJob
1,233,com.mucommander.ui.main.table.FolderChangeMonitor
1,235,com.mucommander.io.BinaryDetector
32,237,com.mucommander.ui.dialog.pref.general.ShortcutsTable.ShortcutsTableCellRenderer
2,238,com.mucommander.ui.action.impl.ToggleToolBarAction
1,243,com.mucommander.ui.viewer.FileViewer
41,244,com.mucommander.ui.viewer.text.TextEditorImpl
122,245,com.mucommander.ui.viewer.text.TextEditorImpl
1,247,com.mucommander.ui.action.ActionKeymap
285,248,com.mucommander.ui.viewer.text.TextEditor
320,250,com.mucommander.ui.main.table.FileTable.FolderChangeThread
2,251,com.mucommander.ui.viewer.text.TextEditorImpl
12,254,com.mucommander.Launcher
19,258,com.mucommander.ui.viewer.text.TextEditor
1,261,com.mucommander.ui.action.ActionKeymapReader
1136,274,com.mucommander.ui.dialog.about.AboutDialog
522,277,com.mucommander.ui.main.FolderPanel
2,309,com.mucommander.ui.main.table.FileTable.QuickSearch
2,311,com.mucommander.ui.main.StatusBar.VolumeSpaceLabel
1,313,com.mucommander.ui.main.DrivePopupButton
362,317,com.mucommander.ui.dialog.file.PackDialog
1525,321,com.mucommander.ui.main.table.FileTable
790,327,com.mucommander.file.impl.local.LocalFile
1522,328,com.mucommander.ui.main.table.FileTable
483,330,com.mucommander.ui.dialog.file.BatchRenameDialog
1,331,com.mucommander.ui.dialog.file.BatchRenameDialog
29,334,com.mucommander.file.impl.sevenzip.SevenZipArchiveFile
