rank,id,item
8149,1,com.mucommander.file.impl.http.HTTPProtocolProvider.disableCertificateVerifications()
4844,7,com.mucommander.file.impl.local.LocalFile.LocalFile(FileURL)
75,10,com.mucommander.ui.dialog.auth.AuthDialog.comboBoxSelectionChanged(SaneComboBox)
1098,11,com.mucommander.ui.main.DrivePopupButton.getPopupMenu()
6962,13,com.mucommander.ui.main.table.FileTable.QuickSearch.matches(String)
154,16,com.mucommander.ui.main.table.FileTableConfiguration.FileTableConfiguration()
1057,20,com.mucommander.ui.viewer.ViewerRegistrar.createFileViewer(AbstractFile)
7691,21,com.mucommander.ui.main.table.FileTable.setColumnModel(TableColumnModel)
967,24,com.mucommander.ui.action.impl.AbstractViewerAction.performAction()
5295,30,com.mucommander.file.FileURL.getPath()
6063,31,com.mucommander.auth.Credentials.equals(Object)
2822,37,com.mucommander.ui.action.impl.MinimizeWindowAction.performAction()
403,39,com.mucommander.file.impl.local.LocalFile.changeDate(long)
7703,43,com.mucommander.file.impl.local.LocalFile.isSymlink()
8418,45,"com.mucommander.ui.main.FolderPanel.FolderPanel(MainFrame,AbstractFile,FileTableConfiguration)"
5241,48,com.mucommander.file.FileURL.getPath()
74,52,"com.mucommander.job.TransferFileJob.copyFile(AbstractFile,AbstractFile,boolean)"
39,59,com.mucommander.ui.main.menu.MainMenuBar.MainMenuBar(MainFrame)
6,60,com.mucommander.ui.dialog.pref.PreferencesDialog.setCommitButtonsEnabled(boolean)
31,66,com.mucommander.ui.dialog.pref.general.MiscPanel.MiscPanel(PreferencesDialog)
353,67,"com.mucommander.ui.main.FolderPanel.tryChangeCurrentFolder(AbstractFile,AbstractFile)"
153,77,com.mucommander.ui.main.LocationTextField.textFieldValidated()
1184,78,com.mucommander.ui.main.LocationTextField.enableAutoCompletion()
8796,85,com.mucommander.Launcher.main(String)
62,86,com.mucommander.ui.main.tree.TreeIOThreadManager.getInstance()
884,87,"com.mucommander.ui.autocomplete.completers.Completer.updateListData(JList,AutocompleterTextComponent)"
592,89,com.mucommander.ui.main.WindowManager.windowDeactivated(WindowEvent)
810,91,"com.mucommander.ui.dialog.pref.general.AppearancePanel.createIconSizeCombo(String,float)"
8152,94,"com.mucommander.file.DefaultSchemeParser.handleLocalFilePath(String,FileURL)"
7834,98,"com.mucommander.file.impl.zip.provider.ZipFile.setFilename(ZipEntry,String)"
39,102,com.mucommander.ui.viewer.image.ImageViewer.updateFrame()
57,103,com.mucommander.ui.main.DrivePopupButton.getDisplayableVolumes()
1,107,com.mucommander.file.impl.zip.provider.ZipEntry.ZipEntry(java.util.zip.ZipEntry)
8698,108,"com.mucommander.ui.main.WindowManager.getInitialAbstractPath(String,int)"
34,110,com.mucommander.command.CommandManager.loadAssociations()
93,111,"com.mucommander.file.impl.rar.provider.de.innosystec.unrar.Archive.readHeaders(InputStream,byte[])"
64,116,com.mucommander.ui.action.impl.SelectPreviousRowAction.getRowDecrement()
826,117,com.mucommander.ui.main.tree.FoldersTreePanel.FoldersTreePanel(FolderPanel)
368,137,"com.mucommander.file.util.PathUtils.pathEquals(String,String,String)"
60,138,com.mucommander.ui.main.DrivePopupButton.getDisplayableVolumes()
125,139,com.mucommander.file.AbstractFile.getAbsolutePath()
1726,140,"com.mucommander.ui.dialog.pref.general.ShortcutsTable.ShortcutsTableCellRenderer.getTableCellRendererComponent(JTable,Object,boolean,boolean,int,int)"
87,142,com.mucommander.ui.main.DrivePopupButton.getPopupMenu()
50,145,"com.mucommander.extension.ClassFinder.find(AbstractFile,ClassFilter,ClassLoader)"
329,147,"com.mucommander.job.TempCopyJob.TempCopyJob(ProgressDialog,MainFrame,AbstractFile)"
29,151,com.mucommander.ui.action.impl.MarkExtensionAction.performAction()
3930,153,com.mucommander.ui.macosx.EAWTHandler.handleOpenFile(ApplicationEvent)
438,163,com.mucommander.ui.layout.ProportionalSplitPane.componentResized(ComponentEvent)
62,164,com.mucommander.ui.dnd.ClipboardNotifier.toggleActionState()
55,165,"com.mucommander.ui.button.ToolbarMoreButton.isVisible(Component,Rectangle)"
294,166,com.mucommander.ui.main.toolbar.ToolBarReader.endDocument()
606,167,com.mucommander.ui.dialog.file.PackDialog.itemStateChanged(ItemEvent)
66,173,com.mucommander.ui.dialog.auth.AuthDialog.setCredentialMapping()
315,176,com.mucommander.ui.main.table.FileTable.mouseDragged(MouseEvent)
739,177,com.mucommander.ui.text.KeyStrokeUtils.getKeyStrokeRepresentation(KeyStroke)
258,178,com.mucommander.ui.chooser.PreviewLabel.clone()
773,179,com.mucommander.ui.theme.ThemeData.getFont(int)
1125,212,com.mucommander.ui.dialog.shell.RunDialog.processDied(int)
164,214,com.mucommander.ui.theme.ThemeManager.predefinedThemeNames()
2783,217,com.mucommander.job.ArchiveJob.jobStopped()
33,221,com.mucommander.ui.main.table.FileTable.mouseClicked(MouseEvent)
61,225,"com.mucommander.ui.icon.FileIcons.getFileIcon(AbstractFile,Dimension)"
1152,226,com.mucommander.ui.main.menu.MainMenuBar.menuSelected(MenuEvent)
1582,227,com.mucommander.file.impl.local.LocalFile.getVolumes()
99,231,com.mucommander.job.FileJob.setAutoSkipErrors(boolean)
8205,233,com.mucommander.ui.main.table.FolderChangeMonitor.FolderChangeMonitor(FolderPanel)
99,235,"com.mucommander.io.BinaryDetector.guessBinary(byte,int,int)"
119,237,"com.mucommander.ui.dialog.pref.general.ShortcutsTable.getCellEditor(int,int)"
60,238,com.mucommander.ui.main.MainFrame.getToolBarPanel()
1,243,com.mucommander.ui.viewer.FileEditor.getMenuBar()
2257,244,"com.mucommander.ui.viewer.text.TextEditorImpl.startEditing(AbstractFile,DocumentListener)"
401,245,"com.mucommander.ui.viewer.text.TextEditorImpl.loadDocument(InputStream,String)"
34,247,"com.mucommander.ui.action.AcceleratorMap.putAlternativeAccelerator(KeyStroke,String)"
932,248,com.mucommander.ui.viewer.text.TextEditor.requestFocus()
1,250,"com.mucommander.ui.main.FolderPanel.setCurrentFolder(AbstractFile,AbstractFile,AbstractFile)"
52,251,com.mucommander.ui.viewer.text.TextEditorImpl.write(OutputStream)
5760,254,com.mucommander.Launcher.main(String)
309,258,com.mucommander.ui.viewer.text.TextEditor.saveAs(AbstractFile)
48,261,"com.mucommander.ui.action.ActionKeymapReader.processKeystrokeAttribute(String,Attributes)"
8793,274,com.mucommander.ui.dialog.about.AboutDialog.createCreditsPanel()
1859,277,"com.mucommander.ui.main.table.FileTable.FileTable(MainFrame,FolderPanel,FileTableConfiguration)"
58,309,com.mucommander.ui.main.table.FileTable.QuickSearch.keyPressed(KeyEvent)
37,311,com.mucommander.ui.main.StatusBar.VolumeSpaceLabel.paint(Graphics)
262,313,com.mucommander.ui.main.DrivePopupButton.getPopupMenu()
8406,317,"com.mucommander.ui.dialog.file.PackDialog.PackDialog(MainFrame,FileSet,boolean)"
41,321,com.mucommander.ui.main.table.FileTable.mouseClicked(MouseEvent)
8444,327,com.mucommander.file.impl.local.LocalFile.renameTo(AbstractFile)
1597,328,com.mucommander.ui.main.table.FileTable.configurationChanged(ConfigurationEvent)
657,330,com.mucommander.ui.dialog.file.BatchRenameDialog.checkForDuplicates()
3146,331,com.mucommander.ui.dialog.file.BatchRenameDialog.AbstractToken.AbstractToken(String)
1793,334,com.mucommander.file.impl.sevenzip.SevenZipArchiveFile.openSevenZipFile()
