rank,id,item
451,1,com.mucommander.file.impl.http.HTTPProtocolProvider
19,7,com.mucommander.file.impl.local.LocalFile
6,10,com.mucommander.ui.dialog.auth.AuthDialog
45,11,com.mucommander.ui.main.DrivePopupButton.CustomOpenLocationAction
446,13,com.mucommander.ui.main.table.FileTable.QuickSearch
3,16,com.mucommander.ui.main.table.FileTableColumnModel
2,20,com.mucommander.ui.viewer.ViewerRegistrar
60,21,com.mucommander.ui.main.table.FileTable
4,24,com.mucommander.ui.viewer.text.TextFactory
11,30,com.mucommander.file.FileFactory
999,31,com.mucommander.auth.Credentials
1,37,com.mucommander.ui.main.menu.MainMenuBar
55,39,com.mucommander.ui.dialog.server.ShowServerConnectionsDialog
2,43,com.mucommander.file.impl.local.LocalFileTest
276,45,com.mucommander.ui.main.FolderPanel
134,48,com.mucommander.file.FileFactory
24,52,com.mucommander.job.TransferFileJob
2,59,com.mucommander.ui.main.menu.MainMenuBar
7,60,com.mucommander.ui.dialog.pref.component.PrefRadioButton
4,66,com.mucommander.ui.dialog.pref.general.MiscPanel
12,67,com.mucommander.ui.main.FolderPanel
3,77,com.mucommander.ui.main.LocationTextField
1,78,com.mucommander.ui.main.LocationTextField
23,85,com.mucommander.Launcher
17,86,com.mucommander.ui.main.tree.TreeIOThreadManager
25,87,com.mucommander.ui.autocomplete.completers.Completer
18,89,com.mucommander.ui.main.WindowManager
225,91,com.mucommander.ui.dialog.pref.general.AppearancePanel
25,94,com.mucommander.file.DefaultSchemeParser
63,98,com.mucommander.file.impl.zip.provider.ZipFile
1,102,com.mucommander.ui.viewer.image.ImageViewer
49,103,com.mucommander.ui.main.DrivePopupButton
1,107,com.mucommander.file.impl.zip.provider.ZipEntry
169,108,com.mucommander.ui.main.WindowManager
1,110,com.mucommander.command.CommandManager
272,111,com.mucommander.file.impl.rar.provider.de.innosystec.unrar.Archive
228,116,com.mucommander.ui.main.FolderPanel
18,117,com.mucommander.ui.main.tree.FoldersTreePanel
29,137,com.mucommander.file.util.PathUtils
22,138,com.mucommander.ui.main.DrivePopupButton
4,139,com.mucommander.file.impl.local.LocalFile
609,140,com.mucommander.ui.dialog.pref.general.ShortcutsTable.RecordingKeyStrokeField
4,142,com.mucommander.ui.main.DrivePopupButton.RefreshDriveNamesAndIcons
1,145,com.mucommander.extension.ClassFinder
16,147,com.mucommander.job.CopyJob
18,151,com.mucommander.ui.main.table.FileTableModel
49,153,com.mucommander.Launcher
59,163,com.mucommander.ui.layout.ProportionalSplitPane
5,164,com.mucommander.ui.dnd.ClipboardNotifier
16,165,com.mucommander.ui.button.ToolbarMoreButton
1,166,com.mucommander.ui.button.ToolbarMoreButton
25,167,com.mucommander.ui.dialog.file.FileCollisionRenameDialog
2,173,com.mucommander.ui.dialog.auth.AuthDialog
37,176,com.mucommander.ui.main.table.FileTable
67,177,com.mucommander.ui.action.ActionKeymapWriter.Writer
24,178,com.mucommander.ui.chooser.PreviewLabel
35,179,com.mucommander.ui.theme.ThemeData
120,212,com.mucommander.ui.dialog.shell.RunDialog
59,213,com.mucommander.ui.action.impl.GoToDocumentationAction
3,214,com.mucommander.ui.theme.ThemeManager
9,217,com.mucommander.job.ArchiveJob
13,221,com.mucommander.ui.main.table.FileTable
3,225,com.mucommander.ui.icon.FileIcons
1,226,com.mucommander.ui.main.table.FileTableHeader
55,227,com.mucommander.file.impl.local.LocalFile
28,231,com.mucommander.job.TransferFileJob
1,233,com.mucommander.ui.main.table.FolderChangeMonitor
13,235,com.mucommander.io.BinaryDetector
68,237,com.mucommander.ui.dialog.pref.general.ShortcutsTable
3,238,com.mucommander.ui.action.impl.ToggleToolBarAction
1,243,com.mucommander.ui.viewer.ViewerFrame
3,244,com.mucommander.ui.viewer.text.TextEditorImpl
15,245,com.mucommander.ui.viewer.text.TextEditorImpl
4,247,com.mucommander.ui.action.ActionProperties
76,248,com.mucommander.ui.viewer.text.TextEditor
20,250,com.mucommander.ui.main.table.FileTable.FolderChangeThread
10,251,com.mucommander.ui.viewer.text.TextEditorImpl
195,254,com.mucommander.Launcher
134,258,com.mucommander.ui.viewer.text.TextEditor
6,261,com.mucommander.ui.main.toolbar.ToolBarReader
151,274,com.mucommander.ui.dialog.about.AboutDialog
26,277,com.mucommander.ui.main.table.FileTable
106,309,com.mucommander.ui.main.table.FileTable.QuickSearch
1,311,com.mucommander.ui.main.StatusBar.VolumeSpaceLabel
19,313,com.mucommander.ui.main.DrivePopupButton
20,317,com.mucommander.ui.dialog.file.PackDialog
65,321,com.mucommander.ui.main.table.FileTable
68,327,com.mucommander.file.impl.local.LocalFile
148,328,com.mucommander.ui.main.table.FileTable
1,330,com.mucommander.ui.dialog.file.BatchRenameDialog
15,331,com.mucommander.ui.dialog.file.BatchRenameDialog
160,334,com.mucommander.file.impl.sevenzip.SevenZipArchiveFile
