rank,id,item
3535,1,com.mucommander.file.impl.http.HTTPProtocolProvider.disableCertificateVerifications()
940,7,com.mucommander.file.impl.local.LocalFile.LocalFile(FileURL)
3387,10,com.mucommander.ui.dialog.auth.AuthDialog.getCredentialsMapping()
8714,11,com.mucommander.ui.main.DrivePopupButton.getPopupMenu()
6697,13,com.mucommander.ui.main.table.FileTable.QuickSearch.matches(String)
802,16,com.mucommander.ui.main.table.SortInfo.clone()
282,20,com.mucommander.file.impl.http.HTTPFile.exists()
2514,21,com.mucommander.ui.main.table.FileTable.setColumnModel(TableColumnModel)
1844,24,com.mucommander.ui.viewer.image.ImageFactory.canViewFile(AbstractFile)
1704,30,com.mucommander.file.FileURL.getPathSeparator()
1794,31,com.mucommander.auth.Credentials.equals(Object)
531,37,com.mucommander.ui.action.impl.MinimizeWindowAction.performAction()
161,39,com.mucommander.file.impl.local.LocalFile.getTotalSpace()
6598,43,com.mucommander.file.impl.local.LocalFile.isSymlink()
8774,45,"com.mucommander.ui.main.FolderPanel.FolderPanel(MainFrame,AbstractFile,FileTableConfiguration)"
916,48,com.mucommander.file.FileURL.getPathSeparator()
2338,52,"com.mucommander.job.SendMailJob.processFile(AbstractFile,Object)"
8798,59,com.mucommander.ui.main.menu.MainMenuBar.MainMenuBar(MainFrame)
112,60,com.mucommander.ui.dialog.pref.component.PrefRadioButton.addDialogListener(PreferencesDialog)
29,66,com.mucommander.Launcher.printStartupMessage(String)
7235,67,com.mucommander.ui.main.FolderPanel.ChangeFolderThread.cleanup(boolean)
417,77,com.mucommander.ui.main.LocationTextField.enableAutoCompletion()
1903,78,com.mucommander.ui.main.LocationTextField.enableAutoCompletion()
8791,85,com.mucommander.Launcher.main(String)
22,86,com.mucommander.ui.main.tree.CachedDirectory.isCached()
568,87,com.mucommander.ui.autocomplete.completers.ComboboxOptionsCompleter.getUpdatedSuggestions(AutocompleterTextComponent)
4944,89,com.mucommander.ui.main.WindowManager.windowDeactivated(WindowEvent)
8133,91,"com.mucommander.ui.dialog.pref.general.AppearancePanel.createIconSizeCombo(String,float)"
7662,94,"com.mucommander.file.DefaultSchemeParser.handleLocalFilePath(String,FileURL)"
5905,98,"com.mucommander.file.impl.zip.provider.ZipFile.setFilename(ZipEntry,String)"
442,102,com.mucommander.ui.viewer.image.ImageViewer.updateFrame()
370,103,com.mucommander.ui.main.DrivePopupButton.locationChanged(LocationEvent)
5,107,com.mucommander.file.impl.zip.provider.ZipEntry.ZipEntry(java.util.zip.ZipEntry)
8564,108,"com.mucommander.ui.main.WindowManager.getInitialAbstractPath(String,int)"
52,110,"com.mucommander.command.CommandManager.registerDefaultAssociation(String,FileFilter)"
8784,111,"com.mucommander.file.impl.rar.provider.de.innosystec.unrar.Archive.readHeaders(InputStream,byte[])"
150,116,com.mucommander.ui.action.impl.MarkToFirstRowAction.getRowDecrement()
6132,117,com.mucommander.ui.main.tree.FoldersTreePanel.configurationChanged(ConfigurationEvent)
7846,137,"com.mucommander.file.util.PathUtils.getPathHashCode(String,String)"
6978,138,com.mucommander.ui.main.DrivePopupButton.getDisplayableVolumes()
88,139,com.mucommander.file.AbstractArchiveEntryFile.getAbsolutePath()
1911,140,com.mucommander.ui.dialog.pref.general.ShortcutsTable.ShortcutsTableCellRenderer.colorChanged(ColorChangedEvent)
7330,142,com.mucommander.ui.main.DrivePopupButton.RefreshDriveNamesAndIcons.run()
2772,145,com.mucommander.ui.dialog.pref.general.AppearancePanel.AppearancePanel(PreferencesDialog)
4235,147,com.mucommander.job.TempCopyJob.getTemporaryFileName(AbstractFile)
3265,151,com.mucommander.ui.main.table.FileTableModel.getFirstMarkableRow()
5417,153,com.mucommander.Launcher.waitUntilLaunched()
1283,163,com.mucommander.ui.layout.ProportionalSplitPane.componentResized(ComponentEvent)
1923,164,com.mucommander.ui.dnd.ClipboardNotifier.toggleActionState()
3149,165,"com.mucommander.ui.button.ToolbarMoreButton.isVisible(Component,Rectangle)"
342,166,com.mucommander.ui.main.toolbar.ToolBarReader.startDocument()
352,167,com.mucommander.ui.dialog.file.LocalCopyDialog.computeInitialPath(FileSet)
8096,173,com.mucommander.ui.dialog.auth.AuthDialog.setCredentialMapping()
7025,176,com.mucommander.ui.main.table.FileTable.mouseDragged(MouseEvent)
1204,177,com.mucommander.ui.text.KeyStrokeUtils.getKeyStrokeRepresentation(KeyStroke)
4678,178,com.mucommander.ui.chooser.PreviewLabel.clone()
5549,179,com.mucommander.ui.theme.ThemeData.getColor(int)
1966,212,com.mucommander.ui.dialog.shell.RunDialog.processDied(int)
5797,214,com.mucommander.ui.theme.ThemeManager.predefinedThemeNames()
4614,217,com.mucommander.job.ArchiveJob.jobStopped()
8689,221,com.mucommander.ui.main.table.FileTable.mouseClicked(MouseEvent)
8410,225,"com.mucommander.ui.icon.FileIcons.getFileIcon(AbstractFile,Dimension)"
6150,226,com.mucommander.ui.main.table.Columns.getToggleColumnActionId(int)
8402,227,com.mucommander.file.impl.local.LocalFile.getVolumes()
187,231,com.mucommander.ui.dialog.file.UnpackDialog.getProgressDialogTitle()
7938,233,com.mucommander.ui.main.table.FolderChangeMonitor.FolderChangeMonitor(FolderPanel)
8215,235,"com.mucommander.io.BinaryDetector.guessBinary(byte,int,int)"
1992,237,"com.mucommander.ui.dialog.pref.general.ShortcutsTable.getCellEditor(int,int)"
