rank,id,item
2674,7,com.mucommander.file.impl.local.LocalFile.LocalFile(FileURL)
81,10,com.mucommander.ui.dialog.auth.AuthDialog.comboBoxSelectionChanged(SaneComboBox)
162,11,com.mucommander.ui.main.DrivePopupButton.getPopupMenu()
470,13,com.mucommander.ui.main.table.FileTable.QuickSearch.isValidQuickSearchInput(KeyEvent)
23,16,com.mucommander.ui.main.table.FileTable.setTableHeaderRenderingProperties()
39,20,com.mucommander.ui.viewer.text.TextFactory.canViewFile(AbstractFile)
86,21,com.mucommander.ui.main.table.FileTable.setTableHeaderRenderingProperties()
98,24,com.mucommander.ui.viewer.image.ImageFactory.canViewFile(AbstractFile)
260,30,"com.mucommander.file.archiver.Archiver.getArchiver(AbstractFile,int)"
486,31,com.mucommander.auth.Credentials.equals(Object)
12,37,com.mucommander.ui.main.menu.MainMenuBar.MainMenuBar(MainFrame)
75,39,com.mucommander.file.impl.local.LocalFile.getSize()
344,43,com.mucommander.file.impl.local.LocalFileTest.testMoveToCaseVariation()
737,48,"com.mucommander.file.FileFactory.getFile(FileURL,AbstractFile)"
96,52,"com.mucommander.job.TransferFileJob.copyFile(AbstractFile,AbstractFile,boolean)"
4,59,com.mucommander.ui.main.menu.MainMenuBar.MainMenuBar(MainFrame)
1,60,com.mucommander.ui.dialog.pref.component.PrefRadioButton.addDialogListener(PreferencesDialog)
11,66,com.mucommander.ui.dialog.pref.general.MiscPanel.commit()
95,67,com.mucommander.ui.main.FolderPanel.ChangeFolderThread.cleanup(boolean)
10,77,com.mucommander.ui.main.LocationTextField.enableAutoCompletion()
44,78,com.mucommander.ui.main.LocationTextField.enableAutoCompletion()
187,85,com.mucommander.Launcher.main(String)
144,86,com.mucommander.ui.main.tree.CachedDirectory.isCached()
828,87,com.mucommander.ui.autocomplete.completers.PathCompleter.getUpdatedSuggestions(AutocompleterTextComponent)
32,89,com.mucommander.ui.main.WindowManager.windowDeactivated(WindowEvent)
168,91,"com.mucommander.ui.dialog.pref.general.AppearancePanel.createIconSizeCombo(String,float)"
212,94,"com.mucommander.file.DefaultSchemeParser.parse(String,FileURL)"
868,98,com.mucommander.file.impl.zip.provider.ZipFile.parseCentralDirectory()
86,102,com.mucommander.ui.viewer.image.ImageViewer.updateFrame()
190,103,com.mucommander.ui.main.DrivePopupButton.configurationChanged(ConfigurationEvent)
1,107,com.mucommander.file.impl.zip.provider.ZipEntry.ZipEntry(java.util.zip.ZipEntry)
2663,108,"com.mucommander.ui.main.WindowManager.getInitialAbstractPath(String,int)"
117,110,com.mucommander.command.CommandManager.loadAssociations()
319,116,com.mucommander.ui.action.impl.SelectPreviousRowAction.getRowDecrement()
82,117,com.mucommander.file.filter.FileFilterHelper.configureFileFilter()
484,137,"com.mucommander.file.util.PathUtils.resolveDestination(String,AbstractFile)"
65,138,com.mucommander.ui.main.DrivePopupButton.getPopupMenu()
101,139,com.mucommander.file.impl.local.LocalFileTest.testDrivePattern()
374,140,com.mucommander.ui.dialog.pref.general.ShortcutsTable.ShortcutsTableCellRenderer.ShortcutsTableCellRenderer()
137,142,com.mucommander.ui.main.DrivePopupButton.RefreshDriveNamesAndIcons.run()
273,145,com.mucommander.ui.dialog.pref.general.AppearancePanel.populateLookAndFeels()
256,147,"com.mucommander.job.TempExecJob.processFile(AbstractFile,Object)"
206,151,com.mucommander.ui.main.table.FileTableModel.getFirstMarkableRow()
141,153,com.mucommander.Launcher.main(String)
190,163,com.mucommander.ui.layout.ProportionalSplitPane.componentResized(ComponentEvent)
50,164,com.mucommander.ui.dnd.ClipboardNotifier.toggleActionState()
123,165,"com.mucommander.ui.main.MainFrame.init(FolderPanel,FolderPanel)"
86,166,com.mucommander.ui.main.toolbar.ToolBarAttributes.getActions()
133,167,com.mucommander.ui.dialog.file.PackDialog.itemStateChanged(ItemEvent)
99,173,com.mucommander.auth.CredentialsManager.addCredentials(CredentialsMapping)
220,176,com.mucommander.ui.main.table.FileTable.mouseDragged(MouseEvent)
1252,177,com.mucommander.ui.text.KeyStrokeUtils.getKeyStrokeRepresentation(KeyStroke)
